path,classification
TRADEBOT_READONLY_LIVE_VERIFICATION_AUTHORIZATION_PACKET_V2.json,AUTHORIZATION_PACKET
TRADEBOT_READONLY_LIVE_VERIFICATION_AUTHORIZATION_PACKET_V2.md,AUTHORIZATION_PACKET
TRADEBOT_READONLY_LIVE_VERIFICATION_RELEASE_MANIFEST_V2.json,RELEASE_MANIFEST
TRADEBOT_READONLY_LIVE_VERIFICATION_RELEASE_MANIFEST_V2.md,RELEASE_MANIFEST
V38_CANDIDATE_AUTHORITY_RECHECK.md,GOVERNANCE_ARTIFACT
V38_CANONICAL_LAUNCHER_AUTHORITY.md,GOVERNANCE_ARTIFACT
V38_CAS_CAMPAIGN_CONTINUITY.md,GOVERNANCE_ARTIFACT
V38_COMMITTED_STATE_REGRESSION.md,GOVERNANCE_ARTIFACT
V38_CONTRACT_REVALIDATION.md,GOVERNANCE_ARTIFACT
V38_FINAL_DECISION.md,GOVERNANCE_ARTIFACT
V38_LIVE_EVIDENCE_ROOT_CONTRACT.md,GOVERNANCE_ARTIFACT
V38_READINESS_RECONCILIATION.md,GOVERNANCE_ARTIFACT
V38_RELEASE_IMAGE_VERIFICATION.md,GOVERNANCE_ARTIFACT
V38_SAFETY_AUDIT.md,GOVERNANCE_ARTIFACT
V38_STARTUP_ORDER.md,GOVERNANCE_ARTIFACT
