main already running (pid 70957)
scheduler already running (pid 71044)
Port 8501 already in use; skipping streamlit start. (Set DASH_PORT to change.)
watchdog already running (pid 70968)
Open http://<tailscale-ip>:8501
Started PIDs: none
No new processes started.
Starting live soak at 2026-07-06 13:31:21.513375
Output directory: runtime/live_observation/20260706_133121
Collected metrics at 2026-07-06T13:32:21.525519: feed_ok=None executable=0
Collected metrics at 2026-07-06T13:33:21.534674: feed_ok=None executable=0
Collected metrics at 2026-07-06T13:34:21.542823: feed_ok=None executable=0
Collected metrics at 2026-07-06T13:35:21.547063: feed_ok=None executable=0
Collected metrics at 2026-07-06T13:36:21.551662: feed_ok=None executable=0
Collected metrics at 2026-07-06T13:37:21.557721: feed_ok=None executable=0
Collected metrics at 2026-07-06T13:38:21.563321: feed_ok=None executable=0
Collected metrics at 2026-07-06T13:39:21.569924: feed_ok=None executable=0
Collected metrics at 2026-07-06T13:40:21.576813: feed_ok=None executable=0
Collected metrics at 2026-07-06T13:41:21.588416: feed_ok=None executable=0
Collected metrics at 2026-07-06T13:42:21.596434: feed_ok=None executable=0
Collected metrics at 2026-07-06T13:43:21.603585: feed_ok=None executable=0
Collected metrics at 2026-07-06T13:44:21.611594: feed_ok=None executable=0
Collected metrics at 2026-07-06T13:45:21.619488: feed_ok=None executable=0
Collected metrics at 2026-07-06T13:46:21.625707: feed_ok=None executable=0
Collected metrics at 2026-07-06T13:47:21.632569: feed_ok=None executable=0
Collected metrics at 2026-07-06T13:48:21.636008: feed_ok=None executable=0
Collected metrics at 2026-07-06T13:49:21.643839: feed_ok=None executable=0
Collected metrics at 2026-07-06T13:50:21.649505: feed_ok=None executable=0
Collected metrics at 2026-07-06T13:51:21.795123: feed_ok=None executable=0
Collected metrics at 2026-07-06T13:52:21.800147: feed_ok=None executable=0
Collected metrics at 2026-07-06T13:53:21.808097: feed_ok=None executable=0
Collected metrics at 2026-07-06T13:54:21.812601: feed_ok=None executable=0
Collected metrics at 2026-07-06T13:55:21.819604: feed_ok=None executable=0
Collected metrics at 2026-07-06T13:56:21.824539: feed_ok=None executable=0
Collected metrics at 2026-07-06T13:57:21.835702: feed_ok=None executable=0
Collected metrics at 2026-07-06T13:58:21.839989: feed_ok=None executable=0
Collected metrics at 2026-07-06T13:59:21.846992: feed_ok=None executable=0
Collected metrics at 2026-07-06T14:00:21.853414: feed_ok=None executable=0
Collected metrics at 2026-07-06T14:01:21.864274: feed_ok=None executable=0
Collected metrics at 2026-07-06T14:02:21.877272: feed_ok=None executable=0
Collected metrics at 2026-07-06T14:03:21.888067: feed_ok=None executable=0
Collected metrics at 2026-07-06T14:04:21.903532: feed_ok=None executable=0
Collected metrics at 2026-07-06T14:05:21.909682: feed_ok=None executable=0
Collected metrics at 2026-07-06T14:06:21.915028: feed_ok=None executable=0
Collected metrics at 2026-07-06T14:07:21.923288: feed_ok=None executable=0
Collected metrics at 2026-07-06T14:08:21.930776: feed_ok=None executable=0
Collected metrics at 2026-07-06T14:09:21.938536: feed_ok=None executable=0
Collected metrics at 2026-07-06T14:10:21.945792: feed_ok=None executable=0
Collected metrics at 2026-07-06T14:11:21.959048: feed_ok=None executable=0
Collected metrics at 2026-07-06T14:12:21.968065: feed_ok=None executable=0
Collected metrics at 2026-07-06T14:13:21.976273: feed_ok=None executable=0
Collected metrics at 2026-07-06T14:14:21.985347: feed_ok=None executable=0
Collected metrics at 2026-07-06T14:15:21.997912: feed_ok=None executable=0
Collected metrics at 2026-07-06T14:16:22.009719: feed_ok=None executable=0
Collected metrics at 2026-07-06T14:17:22.022460: feed_ok=None executable=0
Collected metrics at 2026-07-06T14:18:22.034377: feed_ok=None executable=0
Collected metrics at 2026-07-06T14:19:22.044950: feed_ok=None executable=0
Collected metrics at 2026-07-06T14:20:22.052498: feed_ok=None executable=0
Collected metrics at 2026-07-06T14:21:22.062426: feed_ok=None executable=0
Collected metrics at 2026-07-06T14:22:22.067649: feed_ok=None executable=0
Collected metrics at 2026-07-06T14:23:22.077700: feed_ok=None executable=0
Collected metrics at 2026-07-06T14:24:22.088811: feed_ok=None executable=0
Collected metrics at 2026-07-06T14:25:22.098695: feed_ok=None executable=0
Collected metrics at 2026-07-06T14:26:22.107728: feed_ok=None executable=0
Collected metrics at 2026-07-06T14:27:22.116914: feed_ok=None executable=0
Collected metrics at 2026-07-06T14:28:22.125925: feed_ok=None executable=0
Collected metrics at 2026-07-06T14:29:22.131895: feed_ok=None executable=0
Collected metrics at 2026-07-06T14:30:22.140614: feed_ok=None executable=0
Collected metrics at 2026-07-06T14:31:22.150168: feed_ok=None executable=0
Collected metrics at 2026-07-06T14:32:22.158275: feed_ok=None executable=0
Collected metrics at 2026-07-06T14:33:22.161953: feed_ok=None executable=0
Collected metrics at 2026-07-06T14:34:22.169750: feed_ok=None executable=0
Collected metrics at 2026-07-06T14:35:22.177294: feed_ok=None executable=0
Collected metrics at 2026-07-06T14:36:22.185530: feed_ok=None executable=0
Collected metrics at 2026-07-06T14:37:22.201025: feed_ok=None executable=0
Collected metrics at 2026-07-06T14:38:22.205546: feed_ok=None executable=0
