entry_idx,side,entry_price,exit_price,qty,pl,outcome,ambiguous_exit_rows,is_oos,rr,wfa_window,test_year,cumulative_pl
0,BUY,14068.828534532538,14083.675092550515,1,965.0262711684627,TIMEOUT,0,False,1.3333333333333361,1,2022,965.0262711684627
2,SELL,13922.760109956118,14196.444299693912,1,-17789.47233295664,STOP,0,False,1.3333333333333333,1,2022,-16824.446061788178
3,BUY,14016.65495309318,13891.876317836884,1,-8110.611291659252,TIMEOUT,0,False,1.3333333333333361,1,2022,-24935.05735344743
4,BUY,13956.68738510205,14172.538782321879,1,14030.340819288876,TARGET,0,False,1.3333333333333304,1,2022,-10904.716534158555
8,SELL,13891.876317836884,14174.530191299966,1,-18372.50177510028,STOP,0,False,1.333333333333336,1,2022,-29277.21830925884
9,BUY,14157.917608404843,14264.432634362794,1,6923.476687266839,TIMEOUT,0,False,1.333333333333336,1,2022,-22353.741621991998
10,BUY,14192.867698376134,14283.314681107899,1,5879.053877564684,TIMEOUT,0,False,1.3333333333333386,1,2022,-16474.687744427312
11,BUY,14347.246023621532,14064.225792126492,1,-18396.315047177613,STOP,0,False,1.3333333333333386,1,2022,-34871.00279160493
12,BUY,14142.753960452266,14411.44179482026,1,17464.709233919646,TARGET,0,False,1.3333333333333384,1,2022,-17406.293557685283
13,BUY,14187.664756764072,14456.682724384424,1,17486.16789532285,TARGET,0,False,1.3333333333333284,1,2022,79.8743376375678
14,BUY,14321.604709049618,14610.560020522582,1,18782.095245742676,TARGET,0,False,1.333333333333331,1,2022,18861.969583380243
15,BUY,14340.562435340795,14617.305878164589,1,17988.323783546602,TARGET,0,False,1.3333333333333308,1,2022,36850.293366926846
16,BUY,14501.424117233879,14794.537520800133,1,19052.371231806537,TARGET,0,False,1.3333333333333333,1,2022,55902.66459873338
17,BUY,14433.818716367325,14714.332153710993,1,18233.373427338454,TARGET,0,False,1.333333333333331,1,2022,74136.03802607184
18,BUY,14646.002765858902,14947.740905596442,1,19612.979082940055,TARGET,0,False,1.3333333333333333,1,2022,93749.0171090119
19,BUY,14994.094607064233,15318.961154487322,1,21116.325582500802,TARGET,0,False,1.3333333333333375,1,2022,114865.34269151269
20,BUY,14947.260592968518,15284.563169729052,1,21924.667489434716,TARGET,0,False,1.3333333333333333,1,2022,136790.0101809474
21,BUY,14888.260550678067,15225.692391243541,1,21933.06963675581,TARGET,0,False,1.3333333333333333,1,2022,158723.0798177032
22,BUY,15113.779308142346,14942.503876704624,1,-11132.903043451906,TIMEOUT,0,False,1.3333333333333333,1,2022,147590.1767742513
23,BUY,15362.086926983737,14982.359305493337,1,-24682.29539687597,STOP,0,False,1.3333333333333333,1,2022,122907.88137737534
24,BUY,15289.617233708239,14895.310752193633,1,-25629.921298449408,STOP,0,False,1.3333333333333315,1,2022,97277.96007892593
25,BUY,15233.121720313107,14848.696314723495,1,-24987.65136332482,STOP,0,False,1.3333333333333295,1,2022,72290.3087156011
26,BUY,15197.854576411337,14832.631078726672,1,-23739.527349503216,STOP,0,False,1.3333333333333313,1,2022,48550.781366097886
27,BUY,15002.393671801638,14627.935155859192,1,-24339.803536258987,STOP,0,False,1.3333333333333275,1,2022,24210.9778298389
28,BUY,14872.63945928799,14847.094087461075,1,-1660.4491687494465,TIMEOUT,0,False,1.3333333333333333,1,2022,22550.528661089455
29,BUY,14731.408386190069,14706.956620714584,1,-1589.364755906554,TIMEOUT,0,False,1.3333333333333333,1,2022,20961.1639051829
30,BUY,14626.045294728729,14859.863378408278,1,15198.17543917069,TIMEOUT,0,False,1.3333333333333315,1,2022,36159.33934435359
31,BUY,14628.285461574134,14835.514830108583,1,13469.908954739149,TIMEOUT,0,False,1.3333333333333333,1,2022,49629.24829909274
32,BUY,14669.920342179183,14835.594391755974,1,10768.813222491463,TIMEOUT,0,False,1.3333333333333313,1,2022,60398.0615215842
33,BUY,14906.601478593184,14575.06643574624,1,-21549.777785051403,STOP,0,False,1.3333333333333288,1,2022,38848.283736532794
34,BUY,14765.902338633281,14784.070661764721,1,1180.941003543603,TIMEOUT,0,False,1.3333333333333355,1,2022,40029.224740076395
35,BUY,14919.42194906322,14848.136838560378,1,-4633.532182684739,TIMEOUT,0,False,1.3333333333333293,1,2022,35395.69255739165
36,BUY,14894.975811391585,14880.3107666532,1,-953.2279079950513,TIMEOUT,0,False,1.3333333333333377,1,2022,34442.4646493966
37,BUY,14895.055691923331,14961.248525976196,1,4302.534213436211,TIMEOUT,0,False,1.333333333333331,1,2022,38744.998862832814
38,BUY,15003.41017176425,14691.14318554319,1,-20297.354104368933,STOP,0,False,1.333333333333331,1,2022,18447.64475846388
39,BUY,14843.325453996242,15146.893324029192,1,19731.911552141748,TARGET,0,False,1.333333333333331,1,2022,38179.55631060563
40,BUY,14907.648409055611,15220.085561281583,1,20308.414894688158,TARGET,0,False,1.3333333333333355,1,2022,58487.97120529378
41,BUY,14939.951290768042,15239.082392355831,1,19443.52160320629,TARGET,0,False,1.3333333333333333,1,2022,77931.49280850007
42,BUY,15021.213449928004,15336.379028634694,1,20485.762615934866,TARGET,0,False,1.3333333333333355,1,2022,98417.25542443493
43,BUY,15072.247192188033,15379.543484248496,1,19974.25898393005,TARGET,0,False,1.3333333333333377,1,2022,118391.51440836498
44,BUY,15454.62204131637,15083.104709652638,1,-24148.626558142576,STOP,0,False,1.3333333333333333,1,2022,94242.88785022241
45,BUY,15364.055456888727,14992.69719331588,1,-24138.287132235062,STOP,0,False,1.3333333333333333,1,2022,70104.60071798734
46,BUY,15290.332263271594,14915.3677391055,1,-24372.69407079603,STOP,0,False,1.3333333333333315,1,2022,45731.90664719131
47,BUY,15202.947829455297,15309.115606395057,1,6900.905501084353,TIMEOUT,0,False,1.3333333333333293,1,2022,52632.81214827566
48,BUY,15126.294302970846,15438.348953302608,1,20283.55227156452,TARGET,0,False,1.3333333333333313,1,2022,72916.36441984019
49,BUY,15037.70483367811,15339.90505540333,1,19643.014412139255,TARGET,0,False,1.3333333333333355,1,2022,92559.37883197944
50,BUY,15225.183530074977,15192.726774298862,1,-2109.6891254474576,TIMEOUT,0,False,1.3333333333333375,1,2022,90449.68970653198
51,BUY,15450.724732928047,15296.837838575982,1,-10002.648132884206,TIMEOUT,0,False,1.3333333333333353,1,2022,80447.04157364777
52,BUY,15370.474787182213,15335.576031184817,1,-2268.419139830721,TIMEOUT,0,False,1.3333333333333333,1,2022,78178.62243381706
53,BUY,15250.692194935831,15112.435060791318,1,-8986.713719393329,TIMEOUT,0,False,1.3333333333333313,1,2022,69191.90871442373
54,BUY,15330.419350762191,15355.795670641932,1,1649.4607921831357,TIMEOUT,0,False,1.3333333333333355,1,2022,70841.36950660686
55,BUY,15253.619466781023,15579.795794392949,1,21201.461294775152,TARGET,0,False,1.3333333333333333,1,2022,92042.83080138202
56,BUY,15358.14780987288,15022.637127146567,1,-21808.194377210377,STOP,0,False,1.3333333333333355,1,2022,70234.63642417165
57,BUY,15397.041265778746,15036.456549923987,1,-23438.006530559305,STOP,0,False,1.3333333333333293,1,2022,46796.62989361235
58,BUY,15173.0059427985,15494.563808377441,1,20901.26126263119,TARGET,0,False,1.3333333333333333,1,2022,67697.89115624354
59,BUY,15417.341945874967,15613.7208121231,1,12764.626306128639,TIMEOUT,0,False,1.3333333333333273,1,2022,80462.51746237218
60,BUY,15704.57000245253,15724.74379570616,1,1311.2965614858786,TIMEOUT,0,False,1.3333333333333277,1,2022,81773.81402385807
61,BUY,15616.43469897615,15997.38180904351,1,24761.5621543784,TARGET,0,False,1.3333333333333333,1,2022,106535.37617823647
62,BUY,15563.786701979057,15934.909692200194,1,24122.99436437385,TARGET,0,False,1.3333333333333333,1,2022,130658.37054261033
63,BUY,15616.147957442876,15981.12101965519,1,23723.24904380037,TARGET,0,False,1.3333333333333353,1,2022,154381.6195864107
64,BUY,15676.300855458261,16024.489236101836,1,22632.244741832335,TARGET,0,False,1.3333333333333313,1,2022,177013.86432824304
65,BUY,15787.768820939451,15595.50322104299,1,-12497.263993269908,TIMEOUT,0,False,1.3333333333333355,1,2022,164516.60033497313
66,BUY,16116.402792943547,15731.960113733161,1,-24988.774148675082,STOP,0,False,1.3333333333333333,1,2022,139527.82618629804
67,BUY,16095.956447206525,15709.345230292272,1,-25129.72909942641,STOP,0,False,1.3333333333333295,1,2022,114398.09708687162
68,BUY,15975.960372221232,15586.821011603934,1,-25294.05844012442,STOP,0,False,1.3333333333333333,1,2022,89104.03864674721
69,BUY,15764.99417288518,15857.755601922516,1,6029.492887426768,TIMEOUT,0,False,1.3333333333333353,1,2022,95133.53153417398
70,BUY,15658.01024798104,15863.081071020615,1,13329.603497572425,TIMEOUT,0,False,1.333333333333339,1,2022,108463.13503174641
71,BUY,15660.65245120117,16004.385663582405,1,22342.658804780323,TARGET,0,False,1.3333333333333333,1,2022,130805.79383652673
72,BUY,15952.20288937007,16298.037023819861,1,22479.21873923643,TARGET,0,False,1.3333333333333333,1,2022,153285.01257576316
73,BUY,15877.782720379786,16205.237031152266,1,21284.530200211222,TARGET,0,False,1.3333333333333293,1,2022,174569.54277597438
74,BUY,15921.313740607577,16239.201118537309,1,20662.679565432572,TARGET,0,False,1.333333333333329,1,2022,195232.22234140694
75,BUY,15926.6605542712,16259.47678442837,1,21633.05496021606,TARGET,0,False,1.3333333333333333,1,2022,216865.27730162302
76,BUY,16125.121574869996,16488.483847923468,1,23618.547748475656,TARGET,0,False,1.3333333333333408,1,2022,240483.82505009868
77,BUY,16546.055357564648,16947.383340984747,1,26086.3189223064,TARGET,0,False,1.3333333333333368,1,2022,266570.14397240506
78,BUY,16466.681539103272,16865.3083406615,1,25910.74210128483,TARGET,0,False,1.3333333333333333,1,2022,292480.8860736899
79,BUY,16394.479204504685,16782.052141230208,1,25192.24088715897,TARGET,0,False,1.3333333333333386,1,2022,317673.12696084887
80,BUY,16574.84613471321,16935.244721638057,1,23425.90815011501,TARGET,0,False,1.3333333333333333,1,2022,341099.03511096386
81,BUY,16696.601036375232,17053.40940751515,1,23192.544124094766,TARGET,0,False,1.333333333333337,1,2022,364291.5792350586
82,BUY,17016.309069706225,17409.16903406625,1,25535.8976834016,TARGET,0,False,1.33333333333333,1,2022,389827.4769184602
83,BUY,17124.522885546536,17521.00465263603,1,25771.3148608172,TARGET,0,False,1.3333333333333264,1,2022,415598.79177927744
84,BUY,17071.639914257546,17463.862357741622,1,25494.458826464906,TARGET,0,False,1.33333333333333,1,2022,441093.25060574233
85,BUY,17181.36129241922,17564.098080212047,1,24877.891206533714,TARGET,0,False,1.3333333333333262,1,2022,465971.14181227604
86,BUY,17381.600188210527,17764.354865465208,1,24879.054021554275,TARGET,0,False,1.3333333333333297,1,2022,490850.19583383034
87,BUY,17533.56437164954,17923.228367989224,1,25328.159762079504,TARGET,0,False,1.33333333333333,1,2022,516178.3555959098
88,BUY,17631.547135293957,18021.189764681156,1,25326.770910167943,TARGET,0,False,1.33333333333333,1,2022,541505.1265060777
89,BUY,17829.537556614025,18207.04885539006,1,24538.234420442386,TARGET,0,False,1.3333333333333333,1,2022,566043.3609265201
90,BUY,18048.26306730539,18413.911418562042,1,23767.142831682377,TARGET,0,False,1.3333333333333408,1,2022,589810.5037582024
91,BUY,18308.602678328312,18664.83594837561,1,23155.16255307437,TARGET,0,False,1.3333333333333408,1,2022,612965.6663112768
92,BUY,18436.974647085866,18545.674045238484,1,7065.460879920138,TIMEOUT,0,False,1.333333333333326,1,2022,620031.127191197
93,BUY,18415.394256047304,18482.108732870853,1,4336.44099353065,TIMEOUT,0,False,1.3333333333333333,1,2022,624367.5681847277
94,BUY,18451.655510691857,18496.668168315675,1,2925.8227455481756,TIMEOUT,0,False,1.3333333333333373,1,2022,627293.3909302759
95,BUY,18684.964923906464,18744.02688407213,1,3839.027410768249,TIMEOUT,0,False,1.3333333333333333,1,2022,631132.4183410441
96,BUY,18542.2113764502,18884.124359241847,1,22224.343881457098,TARGET,0,False,1.3333333333333295,1,2022,653356.7622225012
97,BUY,18620.005404137235,18807.401546571167,1,12180.749258205597,TIMEOUT,0,False,1.3333333333333293,1,2022,665537.5114807069
98,BUY,18556.185320978555,18887.43913008768,1,21531.49759209322,TARGET,0,False,1.3333333333333373,1,2022,687069.0090728
99,BUY,18570.803110874058,18897.333195670923,1,21224.455511796205,TARGET,0,False,1.3333333333333415,1,2022,708293.4645845962
100,BUY,18819.15324432893,18841.639877761085,1,1461.6311730901361,TIMEOUT,0,False,1.3333333333333455,1,2022,709755.0957576863
101,BUY,18864.58078809718,19212.96111651168,1,22644.72134694248,TARGET,0,False,1.3333333333333295,1,2022,732399.8171046288
102,BUY,18882.78191349129,19224.23642572361,1,22194.543295100902,TARGET,0,False,1.3333333333333333,1,2022,754594.3603997297
103,BUY,18637.057466670416,18989.368724393506,1,22900.23175200082,TARGET,0,False,1.333333333333337,1,2022,777494.5921517306
104,BUY,18786.04808571915,19141.68755367841,1,23116.565417351867,TARGET,0,False,1.3333333333333408,1,2022,800611.1575690825
105,BUY,18917.15747246153,19240.621191155333,1,21025.141715097106,TARGET,0,False,1.3333333333333213,1,2022,821636.2992841796
106,BUY,19340.510007272667,19702.587786706088,1,23535.055663172352,TARGET,0,False,1.3333333333333333,1,2022,845171.354947352
107,BUY,19290.718585241284,19657.01796667204,1,23809.459792999114,TARGET,0,False,1.3333333333333406,1,2022,868980.814740351
108,BUY,19342.70955306628,19719.04186453493,1,24461.60024546225,TARGET,0,False,1.3333333333333297,1,2022,893442.4149858133
109,BUY,19400.70524095089,19739.238783629815,1,22004.680274130078,TARGET,0,False,1.3333333333333217,1,2022,915447.0952599434
110,BUY,19719.025888756125,19794.45653688606,1,4902.992128445803,TIMEOUT,0,False,1.3333333333333333,1,2022,920350.0873883892
111,BUY,19710.096073554636,19842.831840059942,1,8627.824822844887,TIMEOUT,0,False,1.3333333333333262,1,2022,928977.9122112341
112,BUY,19775.053335474127,20067.049530221615,1,18979.752658586694,TIMEOUT,0,False,1.33333333333333,1,2022,947957.6648698208
113,BUY,19905.581620877794,19872.045393634107,1,-2179.8547708396472,TIMEOUT,0,False,1.3333333333333302,1,2022,945777.8100989811
114,BUY,19952.73580656382,19908.438494353017,1,-2879.325293702095,TIMEOUT,0,False,1.3333333333333366,1,2022,942898.4848052791
115,BUY,19873.793036031897,19779.429403635877,1,-6133.636105741298,TIMEOUT,0,False,1.33333333333333,1,2022,936764.8486995378
116,BUY,19922.362228196453,20027.23195020664,1,6816.531930662077,TIMEOUT,0,False,1.3333333333333368,1,2022,943581.3806301999
117,BUY,20147.47858645497,19720.379538244288,1,-27761.438133694373,STOP,0,False,1.3333333333333333,1,2022,915819.9424965056
118,BUY,19951.6928701617,19634.17867296438,1,-20638.42281782585,TIMEOUT,0,False,1.3333333333333333,1,2022,895181.5196786798
119,BUY,19988.23183501175,19718.237642930904,1,-17549.62248525493,TIMEOUT,0,False,1.3333333333333297,1,2022,877631.8971934249
120,BUY,19858.705673790733,20201.369297156423,1,22273.13551876985,TARGET,0,False,1.3333333333333257,1,2022,899905.0327121947
121,BUY,20107.501416940933,19675.460839428044,1,-28082.637538337804,STOP,0,False,1.33333333333333,1,2022,871822.3951738569
122,BUY,19813.451608886975,19935.253928513426,1,7917.1507757193285,TIMEOUT,0,False,1.333333333333327,1,2022,879739.5459495762
123,BUY,19712.87277586203,20150.426539371143,1,28440.994628092358,TARGET,0,False,1.333333333333327,1,2022,908180.5405776686
124,BUY,19797.268655527823,20202.82776152246,1,26361.341889651485,TARGET,0,False,1.3333333333333366,1,2022,934541.8824673201
125,BUY,20119.695718592742,19669.60089185816,1,-29256.163737747775,STOP,0,False,1.3333333333333268,1,2022,905285.7187295723
126,BUY,20116.52706353224,19687.116322705984,1,-27911.69815370671,STOP,0,False,1.3333333333333264,1,2022,877374.0205758655
127,BUY,20015.15474586218,19594.984820512604,1,-27311.045147722398,STOP,0,False,1.3333333333333333,1,2022,850062.9754281432
128,BUY,20405.43515648252,19952.581048451837,1,-29435.517021994347,STOP,0,False,1.3333333333333302,1,2022,820627.4584061488
129,BUY,20122.149139374127,19673.944525378305,1,-29133.29990972843,STOP,0,False,1.3333333333333366,1,2022,791494.1584964204
130,BUY,19694.375670720863,19639.08938246047,1,-3593.608736925671,TIMEOUT,0,False,1.3333333333333333,1,2022,787900.5497594947
131,BUY,19791.117788958312,19538.388084376194,1,-16427.43079783766,TIMEOUT,0,False,1.3333333333333304,1,2022,771473.118961657
132,BUY,19701.853119314204,19198.49195983913,1,-32718.47536587973,STOP,0,False,1.3333333333333333,1,2022,738754.6435957773
133,BUY,19511.428486383134,19478.332216600662,1,-2151.2575358607137,TIMEOUT,0,False,1.333333333333336,1,2022,736603.3860599166
134,BUY,19659.957138747013,19146.259267661175,1,-33390.3616205795,STOP,0,False,1.3333333333333277,1,2022,703213.0244393371
135,BUY,19717.803167560513,19241.233342490326,1,-30977.038629562103,STOP,0,False,1.3333333333333273,1,2022,672235.985809775
136,BUY,19616.698257059063,19160.921202873596,1,-29625.508522055297,STOP,0,False,1.3333333333333302,1,2022,642610.4772877196
137,BUY,19376.83172538022,19838.74024404971,1,30024.05371351686,TARGET,0,False,1.3333333333333304,1,2022,672634.5310012365
138,BUY,19556.40168440267,20030.882499067695,1,30841.252953226613,TARGET,0,False,1.3333333333333333,1,2022,703475.7839544631
139,BUY,19693.816367546144,19363.776353645553,1,-21452.600903538387,TIMEOUT,0,False,1.3333333333333395,1,2022,682023.1830509247
140,BUY,19684.134144089905,19364.631086430505,1,-20767.698747860995,TIMEOUT,0,False,1.3333333333333246,1,2022,661255.4843030637
141,BUY,20061.033623881678,19541.458730520917,1,-33772.36806844947,STOP,0,False,1.3333333333333361,1,2022,627483.1162346143
142,BUY,19857.434284337025,19349.46272352822,1,-33018.15145257229,STOP,0,False,1.333333333333339,1,2022,594464.964782042
143,BUY,19566.583905362037,19462.506091219424,1,-6765.057919269821,TIMEOUT,0,False,1.333333333333325,1,2022,587699.9068627722
144,BUY,19441.38667971227,19230.055695729116,1,-13736.513958904925,TIMEOUT,0,False,1.3333333333333273,1,2022,573963.3929038673
145,BUY,19442.244838279927,19519.46361623651,1,5019.22056717789,TIMEOUT,0,False,1.3333333333333333,1,2022,578982.6134710452
146,BUY,19499.360342421536,19513.18888742166,1,898.8554250080597,TIMEOUT,0,False,1.3333333333333333,1,2022,579881.4688960533
147,BUY,19462.10616745687,19742.30012938983,1,18212.607525642434,TIMEOUT,0,False,1.3333333333333408,1,2022,598094.0764216956
148,BUY,19540.51212765718,19819.98559135842,1,18165.775140580645,TIMEOUT,0,False,1.333333333333326,1,2022,616259.8515622762
149,BUY,19307.130067255082,19682.13880914637,1,24375.568222933725,TARGET,0,False,1.3333333333333441,1,2022,640635.4197852099
150,BUY,19597.697939347676,19988.456478188742,1,25399.305024669302,TARGET,0,False,1.3333333333333368,1,2022,666034.7248098792
151,BUY,19591.398061319145,19941.22098393868,1,22738.489970269857,TARGET,0,False,1.333333333333337,1,2022,688773.214780149
152,BUY,19821.427584818248,20177.758503919013,1,23161.509741549708,TARGET,0,False,1.3333333333333408,1,2022,711934.7245216988
153,BUY,19899.424411363867,20245.83300151908,1,22516.558360088875,TARGET,0,False,1.3333333333333408,1,2022,734451.2828817876
154,BUY,20000.52132474673,20344.98426536354,1,22390.091140092627,TARGET,0,False,1.3333333333333295,1,2022,756841.3740218802
155,BUY,20124.86292807155,20449.306269840647,1,21088.81721499125,TARGET,0,False,1.3333333333333253,1,2022,777930.1912368714
156,BUY,20225.27576792566,20524.96704318938,1,19479.932892141678,TARGET,0,False,1.333333333333329,1,2022,797410.124129013
157,BUY,20365.867248802188,20643.076675795786,1,18018.61275458392,TARGET,0,False,1.3333333333333244,1,2022,815428.736883597
158,BUY,20648.689413907847,20954.88554517004,1,19902.74853204257,TARGET,0,False,1.3333333333333333,1,2022,835331.4854156396
159,BUY,20699.65559998681,21013.241963367578,1,20383.113619749893,TARGET,0,False,1.3333333333333415,1,2022,855714.5990353895
160,BUY,20857.364514977995,21187.313712902087,1,21446.69786506598,TARGET,0,False,1.3333333333333333,1,2022,877161.2969004555
161,BUY,20849.078342771005,21185.10387977526,1,21841.65990527652,TARGET,0,False,1.3333333333333333,1,2022,899002.956805732
162,BUY,21162.080304792733,21084.28771090249,1,-5056.51860286589,TIMEOUT,0,False,1.3333333333333333,1,2022,893946.4382028661
163,BUY,21029.936962741514,21420.317545354977,1,25374.737869875098,TARGET,0,False,1.33333333333333,1,2022,919321.1760727412
164,BUY,21422.81330605374,20968.490096226767,1,-29531.00863875323,STOP,0,False,1.3333333333333366,1,2022,889790.167433988
165,BUY,21424.92185367314,20951.0917401945,1,-30798.957376111466,STOP,0,False,1.3333333333333333,1,2022,858991.2100578765
166,BUY,21131.124872634202,20929.004031290075,1,-13137.854687368272,TIMEOUT,0,False,1.3333333333333364,1,2022,845853.3553705083
167,BUY,21168.79387407244,20677.246716409776,1,-31950.565248073053,STOP,0,False,1.3333333333333275,1,2022,813902.7901224352
168,BUY,21035.628462646655,20551.183057761424,1,-31488.95131754003,STOP,0,False,1.3333333333333395,1,2022,782413.8388048952
169,BUY,21223.817734341097,20732.04419681202,1,-31965.27993938993,STOP,0,False,1.3333333333333304,1,2022,750448.5588655053
170,BUY,21096.302523866998,20603.03136632041,1,-32062.625240528178,STOP,0,False,1.3333333333333333,1,2022,718385.9336249771
171,BUY,21012.88781498262,20519.532341298494,1,-32068.105789468136,STOP,0,False,1.3333333333333304,1,2022,686317.827835509
172,BUY,20629.880770620646,20113.195997724863,1,-33584.510238225936,STOP,0,False,1.3333333333333333,1,2022,652733.317597283
173,BUY,20547.05218066794,20026.576665875407,1,-33830.908461514555,STOP,0,False,1.3333333333333333,1,2022,618902.4091357685
174,BUY,20065.033859143754,19919.250380685193,1,-9475.926099806475,TIMEOUT,0,False,1.3333333333333308,1,2022,609426.4830359621
175,BUY,19759.60422372656,19919.706266602374,1,10406.63278692784,TIMEOUT,0,False,1.3333333333333308,1,2022,619833.11582289
176,BUY,19920.389586430603,19928.9506489442,1,556.4690633837381,TIMEOUT,0,False,1.3333333333333413,1,2022,620389.5848862737
177,BUY,20087.581957967086,19709.284795177216,1,-24589.315581341525,TIMEOUT,0,False,1.3333333333333388,1,2022,595800.2693049322
178,BUY,20183.31729546745,19685.39896379876,1,-32364.691558464638,STOP,0,False,1.3333333333333361,1,2022,563435.5777464675
179,BUY,19999.08705555768,20204.340145891645,1,13341.450871707711,TIMEOUT,0,False,1.3333333333333304,1,2022,576777.0286181753
180,BUY,19999.544768672928,20169.827473242673,1,11068.375797033423,TIMEOUT,0,False,1.3333333333333333,1,2022,587845.4044152087
