absolute_path,path_type,allocated_bytes,logical_bytes,owner,branch,HEAD,git_status,unique_commit_count,PR,active_pid_list,open_file_count,last_modified,evidence_references,classification,reason,proposed_action,estimated_reclaimable_bytes
/Users/madhuram/tradebot,canonical_repo,27917287424,,madhuram,data/combined-upstox-20260714,ebf0c59dcc8fa8d9bb57572c5331282dd89e473b,dirty,,,"25513,25519,25516,25094,1041,886",,,,KEEP_CANONICAL,Canonical repository is protected and dirty.,No action.,0
/Users/madhuram/.codex/worktrees,codex_worktrees_root,792809472,,madhuram,,,,0,,,,,,SAFE_DELETE_GENERATED_ARTIFACT,37 clean detached registered TradeBot worktrees passed all automatic removal gates.,Completed removal with git worktree remove.,792809472
/Users/madhuram/.codex/worktrees/b411/tradebot,orphan_directory,40194706,40194706,madhuram,,,,,,,,,,MANUAL_REVIEW,Exists under .codex/worktrees but is not part of the registered TradeBot worktree set.,Do not auto-delete.,0
/Users/madhuram/.codex/worktrees/b411/algotradify,non_tradebot_orphan,674612639,674612639,madhuram,,,,,,,,,,MANUAL_REVIEW,Outside TradeBot scope and not a registered TradeBot worktree.,Leave untouched unless scope widens.,0
/private/tmp/tradebot-four-strategy-baseline,registered_tmp_worktree,1681145856,,madhuram,,0d0a5301e0f623a3a12f67ef19acbffa5997e3b3,non-empty,84,,,,,,MANUAL_REVIEW,Registered tmp worktree has unique commits and non-empty status.,Do not auto-delete.,0
/private/tmp/orb_owner_audit,registered_tmp_worktree,283193344,,madhuram,fix/opening-range-retest-owner-integration,c8067877dc004f21aa2e4506643fbeb164d46588,non-empty,51,,,,,,MANUAL_REVIEW,Registered tmp worktree has branch and unique commits.,Do not auto-delete.,0
/private/tmp/tradebot-main-review,orphan_directory,,,madhuram,,4235c012874757707a14322e3d5457fe0cb1896a,broken gitdir previously pruned from registered metadata,,,,,,,MANUAL_REVIEW,"Broken registered metadata was pruned, but the directory still exists on disk.",Inspect manually before any deletion.,0
/Users/madhuram/tradebot-strategy-outcomes-foundation,registered_worktree,,,madhuram,research/strategy-outcomes-foundation,2219b0a6aa7294e2ff4124a80b5c7b182bd220ca,,,#674,,,,,KEEP_OPEN_PR,Associated with open PR #674.,No action.,0
/Users/madhuram/tradebot-trend-provenance-boundary,registered_worktree,,,madhuram,docs/trend-pullback-provenance-boundary,123b862e0060c133d160a768904662d1ddb8ff9c,,,#673,,,,,KEEP_OPEN_PR,Associated with open PR #673.,No action.,0
/Users/madhuram/.codex/worktrees/tradebot/orb-context-cycle-cutoff,registered_worktree,,,madhuram,fix/orb-context-cycle-cutoff,daef00eeab6c7aede9873d7015627a0d8858810c,,,#659,,,,,KEEP_OPEN_PR,Associated with open PR #659.,No action.,0
/private/tmp/orb-postmerge-final-140025d8-smoke-1784401556,evidence_root,45056,,madhuram,,,,,#672,,,,,KEEP_OPEN_PR,Known exact-main ORB evidence root protected while PR #672 remains open or uncertain.,No action.,0
/private/tmp/orb-postmerge-final-140025d8-12shard-1784401606,evidence_root,8798208,,madhuram,,,,,#672,,,,,KEEP_OPEN_PR,Known exact-main ORB evidence root protected while PR #672 remains open or uncertain.,No action.,0
