bytes,classifications,date,parquet_count,row_count
31503,{'UNDERLYING_5M_OHLCV': 3},2024-07-09,3,225
31609,{'UNDERLYING_5M_OHLCV': 3},2024-07-10,3,225
31649,{'UNDERLYING_5M_OHLCV': 3},2024-07-11,3,225
31663,{'UNDERLYING_5M_OHLCV': 3},2024-07-12,3,225
31639,{'UNDERLYING_5M_OHLCV': 3},2024-07-15,3,225
31516,{'UNDERLYING_5M_OHLCV': 3},2024-07-16,3,225
31697,{'UNDERLYING_5M_OHLCV': 3},2024-07-18,3,225
31682,{'UNDERLYING_5M_OHLCV': 3},2024-07-19,3,225
31666,{'UNDERLYING_5M_OHLCV': 3},2024-07-22,3,225
31713,{'UNDERLYING_5M_OHLCV': 3},2024-07-23,3,225
31721,{'UNDERLYING_5M_OHLCV': 3},2024-07-24,3,225
31637,{'UNDERLYING_5M_OHLCV': 3},2024-07-25,3,225
31723,{'UNDERLYING_5M_OHLCV': 3},2024-07-26,3,225
31713,{'UNDERLYING_5M_OHLCV': 3},2024-07-29,3,225
31666,{'UNDERLYING_5M_OHLCV': 3},2024-07-30,3,225
31531,{'UNDERLYING_5M_OHLCV': 3},2024-07-31,3,225
31641,{'UNDERLYING_5M_OHLCV': 3},2024-08-01,3,225
31629,{'UNDERLYING_5M_OHLCV': 3},2024-08-02,3,225
31711,{'UNDERLYING_5M_OHLCV': 3},2024-08-05,3,225
31714,{'UNDERLYING_5M_OHLCV': 3},2024-08-06,3,225
31620,{'UNDERLYING_5M_OHLCV': 3},2024-08-07,3,225
31689,{'UNDERLYING_5M_OHLCV': 3},2024-08-08,3,225
31487,{'UNDERLYING_5M_OHLCV': 3},2024-08-09,3,225
31645,{'UNDERLYING_5M_OHLCV': 3},2024-08-12,3,225
31708,{'UNDERLYING_5M_OHLCV': 3},2024-08-13,3,225
31449,{'UNDERLYING_5M_OHLCV': 3},2024-08-14,3,225
31738,{'UNDERLYING_5M_OHLCV': 3},2024-08-16,3,225
31587,{'UNDERLYING_5M_OHLCV': 3},2024-08-19,3,225
31531,{'UNDERLYING_5M_OHLCV': 3},2024-08-20,3,225
31592,{'UNDERLYING_5M_OHLCV': 3},2024-08-21,3,225
31464,{'UNDERLYING_5M_OHLCV': 3},2024-08-22,3,225
31431,{'UNDERLYING_5M_OHLCV': 3},2024-08-23,3,225
31533,{'UNDERLYING_5M_OHLCV': 3},2024-08-26,3,225
31628,{'UNDERLYING_5M_OHLCV': 3},2024-08-27,3,225
31670,{'UNDERLYING_5M_OHLCV': 3},2024-08-28,3,225
31689,{'UNDERLYING_5M_OHLCV': 3},2024-08-29,3,225
31456,{'UNDERLYING_5M_OHLCV': 3},2024-08-30,3,225
31590,{'UNDERLYING_5M_OHLCV': 3},2024-09-02,3,225
