symbol,row_count,session_count,instrument_key
ABB,30879,414,NSE_EQ|INE117A01022
ACC,30879,414,NSE_EQ|INE012A01025
ADANIENT,30879,414,NSE_EQ|INE423A01024
ADANIPORTS,30879,414,NSE_EQ|INE742F01042
AMBUJACEM,30879,414,NSE_EQ|INE079A01024
APOLLOHOSP,30879,414,NSE_EQ|INE437A01024
ASIANPAINT,30879,414,NSE_EQ|INE021A01026
AUROPHARMA,30879,414,NSE_EQ|INE406A01037
AXISBANK,30879,414,NSE_EQ|INE238A01034
BAJAJFINSV,30879,414,NSE_EQ|INE918I01026
BAJFINANCE,30879,414,NSE_EQ|INE296A01032
BANKBARODA,30878,414,NSE_EQ|INE028A01039
BEL,30879,414,NSE_EQ|INE263A01024
BHARTIARTL,30878,414,NSE_EQ|INE397D01024
BHEL,30879,414,NSE_EQ|INE257A01026
BOSCHLTD,30878,414,NSE_EQ|INE323A01026
BPCL,30879,414,NSE_EQ|INE029A01011
BRITANNIA,30879,414,NSE_EQ|INE216A01030
CIPLA,30879,414,NSE_EQ|INE059A01026
COALINDIA,30879,414,NSE_EQ|INE522F01014
DIVISLAB,30878,414,NSE_EQ|INE361B01024
DLF,30879,414,NSE_EQ|INE271C01023
DRREDDY,30879,414,NSE_EQ|INE089A01031
EICHERMOT,30879,414,NSE_EQ|INE066A01021
ETERNAL,30879,414,NSE_EQ|INE758T01015
GAIL,30879,414,NSE_EQ|INE129A01019
GLAXO,30879,414,NSE_EQ|INE159A01016
GRASIM,30879,414,NSE_EQ|INE047A01021
HCLTECH,30879,414,NSE_EQ|INE860A01027
HDFCBANK,30878,414,NSE_EQ|INE040A01034
HDFCLIFE,30879,414,NSE_EQ|INE795G01014
HEROMOTOCO,30879,414,NSE_EQ|INE158A01026
HINDALCO,30879,414,NSE_EQ|INE038A01020
HINDPETRO,30879,414,NSE_EQ|INE094A01015
HINDUNILVR,30879,414,NSE_EQ|INE030A01027
ICICIBANK,30878,414,NSE_EQ|INE090A01021
IDEA,30879,414,NSE_EQ|INE669E01016
INDUSINDBK,30879,414,NSE_EQ|INE095A01012
INFY,30879,414,NSE_EQ|INE009A01021
IOC,30878,414,NSE_EQ|INE242A01010
ITC,30875,414,NSE_EQ|INE154A01025
JINDALSTEL,30879,414,NSE_EQ|INE749A01030
JIOFIN,30879,414,NSE_EQ|INE758E01017
JSWSTEEL,30879,414,NSE_EQ|INE019A01038
KOTAKBANK,30879,414,NSE_EQ|INE237A01036
LT,30879,414,NSE_EQ|INE018A01030
LUPIN,30879,414,NSE_EQ|INE326A01037
M&M,30879,414,NSE_EQ|INE101A01026
MARUTI,30879,414,NSE_EQ|INE585B01010
NATIONALUM,30879,414,NSE_EQ|INE139A01034
NESTLEIND,30879,414,NSE_EQ|INE239A01024
NIFTY,30889,414,NSE_INDEX|Nifty 50
NMDC,30879,414,NSE_EQ|INE584A01023
NTPC,30879,414,NSE_EQ|INE733E01010
ONGC,30879,414,NSE_EQ|INE213A01029
PNB,30879,414,NSE_EQ|INE160A01022
POWERGRID,30879,414,NSE_EQ|INE752E01010
RELIANCE,30879,414,NSE_EQ|INE002A01018
RPOWER,30879,414,NSE_EQ|INE614G01033
SAIL,30879,414,NSE_EQ|INE114A01011
SBILIFE,30878,414,NSE_EQ|INE123W01016
SBIN,30879,414,NSE_EQ|INE062A01020
SHREECEM,30879,414,NSE_EQ|INE070A01015
SHRIRAMFIN,30879,414,NSE_EQ|INE721A01047
SIEMENS,30870,414,NSE_EQ|INE003A01024
SUNPHARMA,30879,414,NSE_EQ|INE044A01036
SUZLON,30879,414,NSE_EQ|INE040H01021
TATACOMM,30879,414,NSE_EQ|INE151A01013
TATACONSUM,30879,414,NSE_EQ|INE192A01025
TATAPOWER,30879,414,NSE_EQ|INE245A01021
TATASTEEL,30879,414,NSE_EQ|INE081A01020
TCS,30879,414,NSE_EQ|INE467B01029
TECHM,30879,414,NSE_EQ|INE669C01036
TITAN,30879,414,NSE_EQ|INE280A01028
TRENT,30879,414,NSE_EQ|INE849A01020
ULTRACEMCO,30879,414,NSE_EQ|INE481G01011
UNITECH,30879,414,NSE_EQ|INE694A01020
UPL,30878,414,NSE_EQ|INE628A01036
VEDL,30879,414,NSE_EQ|INE205A01025
WIPRO,30879,414,NSE_EQ|INE075A01022
YESBANK,30879,414,NSE_EQ|INE528G01035
ZEEL,30879,414,NSE_EQ|INE256A01028
