session_date,event_timestamp,minute_index,event_type,expiry,dte,strike_scope,side
2024-09-26,2024-09-26T09:19:00+05:30,0,call_non_confirmation,2024-10-03,7,limited_strike,CE
2024-09-26,2024-09-26T09:19:00+05:30,0,compression,2024-10-03,7,limited_strike,joint
2024-09-26,2024-09-26T09:24:00+05:30,1,call_non_confirmation,2024-10-03,7,limited_strike,CE
2024-09-26,2024-09-26T09:24:00+05:30,1,compression,2024-10-03,7,limited_strike,joint
2024-09-26,2024-09-26T09:29:00+05:30,2,call_non_confirmation,2024-10-03,7,limited_strike,CE
2024-09-26,2024-09-26T09:29:00+05:30,2,compression,2024-10-03,7,limited_strike,joint
2024-09-26,2024-09-26T09:29:00+05:30,2,volatility_expansion,2024-10-03,7,limited_strike,joint
2024-09-26,2024-09-26T09:34:00+05:30,3,compression,2024-10-03,7,limited_strike,joint
2024-09-26,2024-09-26T09:39:00+05:30,4,call_non_confirmation,2024-10-03,7,limited_strike,CE
2024-09-26,2024-09-26T09:39:00+05:30,4,compression,2024-10-03,7,limited_strike,joint
2024-09-26,2024-09-26T09:44:00+05:30,5,compression,2024-10-03,7,limited_strike,joint
2024-09-26,2024-09-26T09:49:00+05:30,6,call_non_confirmation,2024-10-03,7,limited_strike,CE
2024-09-26,2024-09-26T09:49:00+05:30,6,compression,2024-10-03,7,limited_strike,joint
2024-09-26,2024-09-26T09:54:00+05:30,7,compression,2024-10-03,7,limited_strike,joint
2024-09-26,2024-09-26T09:54:00+05:30,7,volatility_expansion,2024-10-03,7,limited_strike,joint
2024-09-26,2024-09-26T09:59:00+05:30,8,call_non_confirmation,2024-10-03,7,limited_strike,CE
2024-09-26,2024-09-26T09:59:00+05:30,8,compression,2024-10-03,7,limited_strike,joint
2024-09-26,2024-09-26T10:04:00+05:30,9,call_non_confirmation,2024-10-03,7,limited_strike,CE
2024-09-26,2024-09-26T10:04:00+05:30,9,compression,2024-10-03,7,limited_strike,joint
2024-09-26,2024-09-26T10:09:00+05:30,10,call_non_confirmation,2024-10-03,7,limited_strike,CE
2024-09-26,2024-09-26T10:09:00+05:30,10,compression,2024-10-03,7,limited_strike,joint
2024-09-26,2024-09-26T10:09:00+05:30,10,volatility_expansion,2024-10-03,7,limited_strike,joint
2024-09-26,2024-09-26T10:14:00+05:30,11,call_non_confirmation,2024-10-03,7,limited_strike,CE
2024-09-26,2024-09-26T10:14:00+05:30,11,compression,2024-10-03,7,limited_strike,joint
2024-09-26,2024-09-26T10:19:00+05:30,12,compression,2024-10-03,7,limited_strike,joint
