session_date,action,original_path,original_hash,repaired_path,repaired_hash,rows_before,rows_after,rows_removed,rows_added,source_authority,timestamp_semantics
2024-11-01,ACCEPT_SPECIAL_SESSION,/Users/madhuram/tradebot/runtime/upstox_candidate_replay/20241101/underlying/NIFTY_20241101.parquet,55fd3fd5e1a74871fc703f6111e9259a00c246363bce4e7753df347c36071afe,/Users/madhuram/tradebot-repair-11-nifty-sessions-v1/research/repair_11_nifty_sessions_v1/repaired_sessions/NIFTY_20241101.parquet,77a63271526014ff045644e29d3edb71713a3871cd8012f033ad69be42864ee8,60,60,0,0,local_upstox_raw_provider_candles,Asia/Kolkata completed one-minute bars
2024-12-12,EXCLUDE_REQUIRES_REFETCH,/Users/madhuram/tradebot/runtime/upstox_candidate_replay/20241212/underlying/NIFTY_20241212.parquet,a1010777a9cbf9cafd8cfa7a0a924b44c3c37123bf08d7cd747a968521ea48d4,,,374,0,0,0,none_available_locally,Asia/Kolkata completed one-minute bars
2025-03-25,EXCLUDE_REQUIRES_REFETCH,/Users/madhuram/tradebot/runtime/upstox_candidate_replay/20250325/underlying/NIFTY_20250325.parquet,abfee8d9caf33a92e71e496feeed8b74a0602aca4f7a50f27bcc94fa659a34c4,,,374,0,0,0,none_available_locally,Asia/Kolkata completed one-minute bars
2025-04-04,EXCLUDE_REQUIRES_REFETCH,/Users/madhuram/tradebot/runtime/upstox_candidate_replay/20250404/underlying/NIFTY_20250404.parquet,b58d9c786cd0c7ec6b5cb39b667e1f9e141be43290996fb762bf54537e2c5561,,,374,0,0,0,none_available_locally,Asia/Kolkata completed one-minute bars
2025-04-23,EXCLUDE_REQUIRES_REFETCH,/Users/madhuram/tradebot/runtime/upstox_candidate_replay/20250423/underlying/NIFTY_20250423.parquet,e107766853f113bbdb8162698b53982aa6f612b29a9fbec44a32366065ee2bab,,,374,0,0,0,none_available_locally,Asia/Kolkata completed one-minute bars
2025-04-25,USE_REPAIRED_FILE,/Users/madhuram/tradebot/runtime/upstox_candidate_replay/20250425/underlying/NIFTY_20250425.parquet,88dc75200c56b5aa09c51ed1c15d97aae0364f1ae32a7f2046ff7a9607a2bc25,/Users/madhuram/tradebot-repair-11-nifty-sessions-v1/research/repair_11_nifty_sessions_v1/repaired_sessions/NIFTY_20250425.parquet,f981af38fbadae32301f4292af57df783df563955f393eed2bb5ed015b9a2101,377,375,2,0,local_upstox_raw_provider_candles,Asia/Kolkata completed one-minute bars
2025-04-30,USE_REPAIRED_FILE,/Users/madhuram/tradebot/runtime/upstox_candidate_replay/20250430/underlying/NIFTY_20250430.parquet,6777fb461a20e02a0d34ed6fbe51e506ff046a9593ef597dafad003cef8174ed,/Users/madhuram/tradebot-repair-11-nifty-sessions-v1/research/repair_11_nifty_sessions_v1/repaired_sessions/NIFTY_20250430.parquet,908310a5da4dca149b667fa30b8d8c573fdbedc884564bb10780448a11830d3e,377,375,2,0,local_upstox_raw_provider_candles,Asia/Kolkata completed one-minute bars
2025-05-08,USE_REPAIRED_FILE,/Users/madhuram/tradebot/runtime/upstox_candidate_replay/20250508/underlying/NIFTY_20250508.parquet,aaac6441fb61429e73cbe421b69a02b4c7f7212fa3f9053e69222353902d4edc,/Users/madhuram/tradebot-repair-11-nifty-sessions-v1/research/repair_11_nifty_sessions_v1/repaired_sessions/NIFTY_20250508.parquet,91bdc572541f4f7928a660ad1988e5a863862ffb701a0b779f954f4dd9f20299,377,375,2,0,local_upstox_raw_provider_candles,Asia/Kolkata completed one-minute bars
2025-05-13,USE_REPAIRED_FILE,/Users/madhuram/tradebot/runtime/upstox_candidate_replay/20250513/underlying/NIFTY_20250513.parquet,269247b0d0df57c89fa3e8c54d1dc9e18bf093a93defd604ae488469fd254176,/Users/madhuram/tradebot-repair-11-nifty-sessions-v1/research/repair_11_nifty_sessions_v1/repaired_sessions/NIFTY_20250513.parquet,96daffab804a74d18bb45a6dfd0ad14bbb6e16036819f17451b0b6748081cc9c,377,375,2,0,local_upstox_raw_provider_candles,Asia/Kolkata completed one-minute bars
2025-05-21,USE_REPAIRED_FILE,/Users/madhuram/tradebot/runtime/upstox_candidate_replay/20250521/underlying/NIFTY_20250521.parquet,d6e713e50c0fed55f354dc4000bc7a2efcdd5dcf0cf185aaeaef1af77cde91dd,/Users/madhuram/tradebot-repair-11-nifty-sessions-v1/research/repair_11_nifty_sessions_v1/repaired_sessions/NIFTY_20250521.parquet,e0dee97b6246808567d3da4908fcf601b65394bc53d03864008d731989d8a0e4,377,375,2,0,local_upstox_raw_provider_candles,Asia/Kolkata completed one-minute bars
2025-10-21,ACCEPT_SPECIAL_SESSION,/Users/madhuram/tradebot/runtime/upstox_candidate_replay/20251021/underlying/NIFTY_20251021.parquet,131b84e732f228d97dd29747e530b999f35ded3243a899e756949e1294f4530a,/Users/madhuram/tradebot-repair-11-nifty-sessions-v1/research/repair_11_nifty_sessions_v1/repaired_sessions/NIFTY_20251021.parquet,e05db952d889c721269015c5df7e4edc6945674eee6c19dbfb96c6356f822f83,60,60,0,0,local_upstox_raw_provider_candles,Asia/Kolkata completed one-minute bars
