mechanism_id,session_date,event_timestamp,minute_index,direction,option_type,expiry,dte,option_confirmation,entry_close,future_close_5,underlying_ret_5
M4_HIGHEST_CLOSE_VERSUS_HIGHEST_WICK,2024-09-26,2024-09-26T10:09:00+05:30,10,1,CE,2024-10-03,7,False,26063.55,26074.35,0.0004143717950931194
M4_HIGHEST_CLOSE_VERSUS_HIGHEST_WICK,2024-09-26,2024-09-26T10:14:00+05:30,11,1,CE,2024-10-03,7,False,26061.15,26062.15,3.837129213407697e-05
M5_COMPRESSION_NEAR_BOUNDARY,2024-09-26,2024-09-26T10:14:00+05:30,11,1,CE,2024-10-03,7,False,26061.15,26062.15,3.837129213407697e-05
M4_HIGHEST_CLOSE_VERSUS_HIGHEST_WICK,2024-09-26,2024-09-26T10:19:00+05:30,12,1,CE,2024-10-03,7,False,26059.65,26065.9,0.0002398343799705675
M5_COMPRESSION_NEAR_BOUNDARY,2024-09-26,2024-09-26T10:19:00+05:30,12,1,CE,2024-10-03,7,False,26059.65,26065.9,0.0002398343799705675
M4_HIGHEST_CLOSE_VERSUS_HIGHEST_WICK,2024-09-26,2024-09-26T10:24:00+05:30,13,1,CE,2024-10-03,7,False,26065.95,26061.8,-0.0001592115384247056
M4_HIGHEST_CLOSE_VERSUS_HIGHEST_WICK,2024-09-26,2024-09-26T10:29:00+05:30,14,1,CE,2024-10-03,7,False,26074.35,26061.55,-0.0004909038959743684
M5_COMPRESSION_NEAR_BOUNDARY,2024-09-26,2024-09-26T10:29:00+05:30,14,1,CE,2024-10-03,7,False,26074.35,26061.55,-0.0004909038959743684
M4_HIGHEST_CLOSE_VERSUS_HIGHEST_WICK,2024-09-26,2024-09-26T10:34:00+05:30,15,1,CE,2024-10-03,7,False,26062.15,26064.4,8.633209462764967e-05
M4_HIGHEST_CLOSE_VERSUS_HIGHEST_WICK,2024-09-26,2024-09-26T10:39:00+05:30,16,1,CE,2024-10-03,7,False,26065.9,26072.25,0.00024361330320451412
M5_COMPRESSION_NEAR_BOUNDARY,2024-09-26,2024-09-26T10:39:00+05:30,16,1,CE,2024-10-03,7,False,26065.9,26072.25,0.00024361330320451412
M4_HIGHEST_CLOSE_VERSUS_HIGHEST_WICK,2024-09-26,2024-09-26T10:44:00+05:30,17,1,CE,2024-10-03,7,False,26061.8,26061.2,-2.3022201075848362e-05
M4_HIGHEST_CLOSE_VERSUS_HIGHEST_WICK,2024-09-26,2024-09-26T10:49:00+05:30,18,1,CE,2024-10-03,7,False,26061.55,26073.3,0.00045085576260813344
M5_COMPRESSION_NEAR_BOUNDARY,2024-09-26,2024-09-26T10:49:00+05:30,18,1,CE,2024-10-03,7,False,26061.55,26073.3,0.00045085576260813344
M4_HIGHEST_CLOSE_VERSUS_HIGHEST_WICK,2024-09-26,2024-09-26T10:54:00+05:30,19,1,CE,2024-10-03,7,False,26064.4,26062.1,-8.824296741927342e-05
M5_COMPRESSION_NEAR_BOUNDARY,2024-09-26,2024-09-26T10:54:00+05:30,19,1,CE,2024-10-03,7,False,26064.4,26062.1,-8.824296741927342e-05
M4_HIGHEST_CLOSE_VERSUS_HIGHEST_WICK,2024-09-26,2024-09-26T10:59:00+05:30,20,1,CE,2024-10-03,7,False,26072.25,26067.8,-0.00017067955393189032
M4_HIGHEST_CLOSE_VERSUS_HIGHEST_WICK,2024-09-26,2024-09-26T11:04:00+05:30,21,1,CE,2024-10-03,7,False,26061.2,26063.6,9.209092443931273e-05
M4_HIGHEST_CLOSE_VERSUS_HIGHEST_WICK,2024-09-26,2024-09-26T11:09:00+05:30,22,1,CE,2024-10-03,7,False,26073.3,26065.9,-0.0002838152439467891
M5_COMPRESSION_NEAR_BOUNDARY,2024-09-26,2024-09-26T11:09:00+05:30,22,1,CE,2024-10-03,7,False,26073.3,26065.9,-0.0002838152439467891
M4_HIGHEST_CLOSE_VERSUS_HIGHEST_WICK,2024-09-26,2024-09-26T11:14:00+05:30,23,1,CE,2024-10-03,7,False,26062.1,26073.4,0.00043357979594901836
M5_COMPRESSION_NEAR_BOUNDARY,2024-09-26,2024-09-26T11:14:00+05:30,23,1,CE,2024-10-03,7,False,26062.1,26073.4,0.00043357979594901836
M4_HIGHEST_CLOSE_VERSUS_HIGHEST_WICK,2024-09-26,2024-09-26T11:19:00+05:30,24,1,CE,2024-10-03,7,False,26067.8,26070.8,0.0001150845103921313
M5_COMPRESSION_NEAR_BOUNDARY,2024-09-26,2024-09-26T11:19:00+05:30,24,1,CE,2024-10-03,7,False,26067.8,26070.8,0.0001150845103921313
M4_HIGHEST_CLOSE_VERSUS_HIGHEST_WICK,2024-09-26,2024-09-26T11:24:00+05:30,25,1,CE,2024-10-03,7,False,26063.6,26075.2,0.00044506514832955477
M4_HIGHEST_CLOSE_VERSUS_HIGHEST_WICK,2024-09-26,2024-09-26T11:29:00+05:30,26,1,CE,2024-10-03,7,False,26065.9,26081.55,0.0006004012905749587
M5_COMPRESSION_NEAR_BOUNDARY,2024-09-26,2024-09-26T11:29:00+05:30,26,1,CE,2024-10-03,7,False,26065.9,26081.55,0.0006004012905749587
M4_HIGHEST_CLOSE_VERSUS_HIGHEST_WICK,2024-09-26,2024-09-26T11:34:00+05:30,27,1,CE,2024-10-03,7,False,26073.4,26080.95,0.0002895671450596881
M4_HIGHEST_CLOSE_VERSUS_HIGHEST_WICK,2024-09-26,2024-09-26T11:39:00+05:30,28,1,CE,2024-10-03,7,False,26070.8,26091.65,0.0007997453089280798
M5_COMPRESSION_NEAR_BOUNDARY,2024-09-26,2024-09-26T11:39:00+05:30,28,1,CE,2024-10-03,7,False,26070.8,26091.65,0.0007997453089280798
M4_HIGHEST_CLOSE_VERSUS_HIGHEST_WICK,2024-09-26,2024-09-26T11:44:00+05:30,29,1,CE,2024-10-03,7,False,26075.2,26088.35,0.0005043106093145141
M5_COMPRESSION_NEAR_BOUNDARY,2024-09-26,2024-09-26T11:44:00+05:30,29,1,CE,2024-10-03,7,False,26075.2,26088.35,0.0005043106093145141
M4_HIGHEST_CLOSE_VERSUS_HIGHEST_WICK,2024-09-26,2024-09-26T11:49:00+05:30,30,1,CE,2024-10-03,7,False,26081.55,26095.6,0.0005386949778674685
M5_COMPRESSION_NEAR_BOUNDARY,2024-09-26,2024-09-26T11:49:00+05:30,30,1,CE,2024-10-03,7,False,26081.55,26095.6,0.0005386949778674685
M4_HIGHEST_CLOSE_VERSUS_HIGHEST_WICK,2024-09-26,2024-09-26T11:54:00+05:30,31,1,CE,2024-10-03,7,False,26080.95,26096.2,0.0005847179646446928
M5_COMPRESSION_NEAR_BOUNDARY,2024-09-26,2024-09-26T11:54:00+05:30,31,1,CE,2024-10-03,7,False,26080.95,26096.2,0.0005847179646446928
M4_HIGHEST_CLOSE_VERSUS_HIGHEST_WICK,2024-09-26,2024-09-26T11:59:00+05:30,32,1,CE,2024-10-03,7,False,26091.65,26092.95,4.982436909889839e-05
M5_COMPRESSION_NEAR_BOUNDARY,2024-09-26,2024-09-26T11:59:00+05:30,32,1,CE,2024-10-03,7,False,26091.65,26092.95,4.982436909889839e-05
M4_HIGHEST_CLOSE_VERSUS_HIGHEST_WICK,2024-09-26,2024-09-26T12:04:00+05:30,33,1,CE,2024-10-03,7,False,26088.35,26092.9,0.0001744073504074773
M5_COMPRESSION_NEAR_BOUNDARY,2024-09-26,2024-09-26T12:04:00+05:30,33,1,CE,2024-10-03,7,False,26088.35,26092.9,0.0001744073504074773
M4_HIGHEST_CLOSE_VERSUS_HIGHEST_WICK,2024-09-26,2024-09-26T12:09:00+05:30,34,1,CE,2024-10-03,7,False,26095.6,26081.55,-0.000538404941829246
M5_COMPRESSION_NEAR_BOUNDARY,2024-09-26,2024-09-26T12:09:00+05:30,34,1,CE,2024-10-03,7,False,26095.6,26081.55,-0.000538404941829246
M4_HIGHEST_CLOSE_VERSUS_HIGHEST_WICK,2024-09-26,2024-09-26T12:14:00+05:30,35,1,CE,2024-10-03,7,False,26096.2,26093.45,-0.00010537932725837479
M5_COMPRESSION_NEAR_BOUNDARY,2024-09-26,2024-09-26T12:14:00+05:30,35,1,CE,2024-10-03,7,False,26096.2,26093.45,-0.00010537932725837479
M4_HIGHEST_CLOSE_VERSUS_HIGHEST_WICK,2024-09-26,2024-09-26T12:19:00+05:30,36,1,CE,2024-10-03,7,False,26092.95,26094.2,4.790566034120328e-05
M4_HIGHEST_CLOSE_VERSUS_HIGHEST_WICK,2024-09-26,2024-09-26T12:24:00+05:30,37,1,CE,2024-10-03,7,False,26092.9,26102.85,0.0003813297870300767
M5_COMPRESSION_NEAR_BOUNDARY,2024-09-26,2024-09-26T12:24:00+05:30,37,1,CE,2024-10-03,7,False,26092.9,26102.85,0.0003813297870300767
M4_HIGHEST_CLOSE_VERSUS_HIGHEST_WICK,2024-09-26,2024-09-26T12:29:00+05:30,38,1,CE,2024-10-03,7,False,26081.55,26103.2,0.0008300887025503261
M5_COMPRESSION_NEAR_BOUNDARY,2024-09-26,2024-09-26T12:29:00+05:30,38,1,CE,2024-10-03,7,False,26081.55,26103.2,0.0008300887025503261
M4_HIGHEST_CLOSE_VERSUS_HIGHEST_WICK,2024-09-26,2024-09-26T12:34:00+05:30,39,1,CE,2024-10-03,7,False,26093.45,26093.0,-1.7245707256063402e-05
M5_COMPRESSION_NEAR_BOUNDARY,2024-09-26,2024-09-26T12:34:00+05:30,39,1,CE,2024-10-03,7,False,26093.45,26093.0,-1.7245707256063402e-05
M4_HIGHEST_CLOSE_VERSUS_HIGHEST_WICK,2024-09-26,2024-09-26T12:39:00+05:30,40,1,CE,2024-10-03,7,False,26094.2,26090.3,-0.0001494585003564568
M5_COMPRESSION_NEAR_BOUNDARY,2024-09-26,2024-09-26T12:39:00+05:30,40,1,CE,2024-10-03,7,False,26094.2,26090.3,-0.0001494585003564568
M4_HIGHEST_CLOSE_VERSUS_HIGHEST_WICK,2024-09-26,2024-09-26T12:44:00+05:30,41,1,CE,2024-10-03,7,False,26102.85,26098.55,-0.00016473296977147217
M4_HIGHEST_CLOSE_VERSUS_HIGHEST_WICK,2024-09-26,2024-09-26T12:49:00+05:30,42,1,CE,2024-10-03,7,False,26103.2,26091.8,-0.00043672806399220997
