family,tested_definitions,event_cluster_occurrence_rate,matched_control_occurrence_rate,near_miss_occurrence_rate,lift,event_clusters,event_sessions,ce_event_rate,pe_event_rate,accepted_for_freeze,interpretation
sweep_reclaim_transition,1,0.005416925672675606,0.0016860761479041682,1.9805313765683334e-05,3.2127408239592086,11261,385,0.00625,0.004722357922162514,False,Breach/reclaim proxy using prior range compression and close recovery.
first_push_second_push_response,1,0.12894059142172098,0.00341136336901541,0.20780725468643238,37.79737819572586,11261,385,0.1265625,0.13092330239374694,False,Two-window option response acceleration or weakening.
option_elasticity_transition,1,0.1340911109137732,0.04945636647789336,0.17129615875939513,2.7113013038212377,11261,385,0.13046875,0.13711121967106335,False,Change in option response per robust prior option movement denominator.
cross_strike_acceleration_breadth,1,0.1531835538584495,0.19178696063768408,0.27584841012843747,0.7987172503757306,11261,385,0.1330078125,0.1700048851978505,False,Same timestamp/expiry/type breadth of positive option acceleration.
opposing_option_response_decay,1,0.3265251753840689,0.05672721976686216,0.32226216293831633,5.756058145032029,11261,385,0.2974609375,0.3507572056668295,False,Same strike/expiry mirror option response decay proxy.
failed_extension_directional_reversal,1,0.002575259746026108,0.0014059970535679276,6.931859817989166e-05,1.8316252793638519,11261,385,0.0041015625,0.0013027194268034523,False,Prior extension followed by close recovery through recent midpoint.
compression_to_expansion_sequence,1,0.03436639730041737,0.005954481545588474,0.003495637879643108,5.771517979743941,11261,385,0.038671875,0.030776746458231558,False,"Multi-step compression, muted response, displacement, participation."
underlying_option_divergence_catchup,1,0.008702601900364088,0.00027447751244951573,0.019617163284909343,31.70606518071219,11261,385,0.0037109375,0.012864354339684091,False,Muted prior option movement followed by recent catch-up.
acceptance_state_transition,1,0.15229553325637155,0.005663199287478784,0.17139518532822356,26.89213738126677,11261,385,0.1298828125,0.1709819247679531,False,"Local range acceptance, attempted extension, re-entry proxy."
time_to_expiry_session_interaction,1,0.15895568777195632,0.18091989177743795,0.13483457611677213,0.8785970752596883,11261,385,0.15,0.16642240677414102,False,Expiry/session strata interaction diagnostics only.
