stage,authority_before,authority_after,verdict
broker_feed_connection,unknown_or_read_only,see_module_policy,PARTIALLY_VERIFIED
raw_event_ingestion,unknown_or_read_only,see_module_policy,PARTIALLY_VERIFIED
quote_depth_candle_option_chain,unknown_or_read_only,see_module_policy,PARTIALLY_VERIFIED
market_state_regime,unknown_or_read_only,see_module_policy,PARTIALLY_VERIFIED
strategy_registry_execution,unknown_or_read_only,see_module_policy,PARTIALLY_VERIFIED
tradebuilder,unknown_or_read_only,see_module_policy,PARTIALLY_VERIFIED
phase1_gates,unknown_or_read_only,see_module_policy,PARTIALLY_VERIFIED
phase2_gates,unknown_or_read_only,see_module_policy,PARTIALLY_VERIFIED
candidate_pool,unknown_or_read_only,see_module_policy,PARTIALLY_VERIFIED
normalization_classification_policy,unknown_or_read_only,see_module_policy,PARTIALLY_VERIFIED
risk_liquidity_executable_truth,unknown_or_read_only,see_module_policy,PARTIALLY_VERIFIED
orchestration,unknown_or_read_only,see_module_policy,PARTIALLY_VERIFIED
scoring_ranking,unknown_or_read_only,see_module_policy,PARTIALLY_VERIFIED
ui_manual_approval,unknown_or_read_only,see_module_policy,PARTIALLY_VERIFIED
order_intent_broker_boundary,unknown_or_read_only,see_module_policy,PARTIALLY_VERIFIED
order_updates_reconciliation,unknown_or_read_only,see_module_policy,PARTIALLY_VERIFIED
observability_recovery_auditability,unknown_or_read_only,see_module_policy,PARTIALLY_VERIFIED
