identity,status,evidence
market_event_id,MISSING,lifecycle_entity_contracts.md
state_snapshot_id,DERIVABLE_ONLY,lifecycle_entity_contracts.md
strategy_evaluation_id,MISSING,lifecycle_entity_contracts.md
signal_id,DERIVABLE_ONLY,lifecycle_entity_contracts.md
trade_builder_result_id,AMBIGUOUS,lifecycle_entity_contracts.md
candidate_id,PRESENT_BUT_MUTABLE,lifecycle_entity_contracts.md
ranking_snapshot_id,PRESENT_BUT_NOT_END_TO_END_BOUND,lifecycle_entity_contracts.md
approval_id,DERIVABLE_ONLY,lifecycle_entity_contracts.md
order_intent_id,PRESENT_BUT_NOT_E2E_PROVEN,lifecycle_entity_contracts.md
broker_order_id,NOT_PROVEN,lifecycle_entity_contracts.md
reconciliation_id,NOT_PROVEN,lifecycle_entity_contracts.md
