module_id,path,module_size_class,runtime_role,pipeline_stage,current_responsibility,audit_status,robustness_score_0_to_5,ranking_pipeline_impact,finding_id,finding_summary,evidence,failure_mode,trigger_condition,current_observed_effect,worst_plausible_effect,row_integrity_impact,trading_safety_impact,severity,likelihood,detectability,recommended_fix,why_this_fix_is_needed,expected_benefit,what_behaviour_will_change,what_could_break_or_regress,compatibility_or_migration_risk,dependent_modules,prerequisites,recommended_tests,acceptance_criteria,estimated_effort,recommended_order,fix_now_or_later,confidence_in_recommendation
.agents:rules:tradebot-evidence-authority.md,.agents/rules/tradebot-evidence-authority.md,small,observability,observability,observability,VERIFIED,2,"Small helpers can silently mutate, drop, or misclassify rows without a contract test catching it.",F-P2-001,Many modules have no direct semantic test signal in static inventory.,.agents/rules/tradebot-evidence-authority.md; lines=10; tests=covered_by:0; side_effects=none_detected_by_static_scan,row_truth_or_observability_gap,See finding evidence or static row-surface/side-effect scan.,Audit-only observation; no production behavior changed.,defect becomes hard to detect during replay or runtime debugging,direct_or_indirect,low_or_indirect,P2,medium,low,"For P0/P1/P2-ranked modules, add focused contract tests for stale, fallback, duplicate, malformed, and deterministic ordering cases before refactoring.","Preserve row truth, deterministic ranking, and fail-closed decision boundaries.",More explainable accepted/degraded/rejected/ranked/displayed row lifecycle.,tests and logs become stricter; some legacy shape-only assumptions may fail,"callers may rely on current observability field names, ordering, or fallback availability",schema/UI/test updates possible,,freeze fixture and current behavior before fix,semantic contract test for malformed input and explicit fail-closed behavior,Specific row lifecycle invariant passes and audit evidence is updated.,M,1,fix_after_P1,medium
.agents:skills:audit-causal-candidate:SKILL.md,.agents/skills/audit-causal-candidate/SKILL.md,small,observability,observability,observability,VERIFIED,2,"Small helpers can silently mutate, drop, or misclassify rows without a contract test catching it.",F-P2-001,Many modules have no direct semantic test signal in static inventory.,.agents/skills/audit-causal-candidate/SKILL.md; lines=24; tests=covered_by:0; side_effects=none_detected_by_static_scan,row_truth_or_observability_gap,See finding evidence or static row-surface/side-effect scan.,Audit-only observation; no production behavior changed.,defect becomes hard to detect during replay or runtime debugging,direct_or_indirect,low_or_indirect,P2,medium,low,"For P0/P1/P2-ranked modules, add focused contract tests for stale, fallback, duplicate, malformed, and deterministic ordering cases before refactoring.","Preserve row truth, deterministic ranking, and fail-closed decision boundaries.",More explainable accepted/degraded/rejected/ranked/displayed row lifecycle.,tests and logs become stricter; some legacy shape-only assumptions may fail,"callers may rely on current observability field names, ordering, or fallback availability",schema/UI/test updates possible,,freeze fixture and current behavior before fix,semantic contract test for malformed input and explicit fail-closed behavior,Specific row lifecycle invariant passes and audit evidence is updated.,M,2,fix_after_P1,medium
.agents:skills:verify-research-handoff:SKILL.md,.agents/skills/verify-research-handoff/SKILL.md,small,observability,observability,observability,VERIFIED,2,"Small helpers can silently mutate, drop, or misclassify rows without a contract test catching it.",F-P2-001,Many modules have no direct semantic test signal in static inventory.,.agents/skills/verify-research-handoff/SKILL.md; lines=34; tests=covered_by:0; side_effects=none_detected_by_static_scan,row_truth_or_observability_gap,See finding evidence or static row-surface/side-effect scan.,Audit-only observation; no production behavior changed.,defect becomes hard to detect during replay or runtime debugging,direct_or_indirect,low_or_indirect,P2,medium,low,"For P0/P1/P2-ranked modules, add focused contract tests for stale, fallback, duplicate, malformed, and deterministic ordering cases before refactoring.","Preserve row truth, deterministic ranking, and fail-closed decision boundaries.",More explainable accepted/degraded/rejected/ranked/displayed row lifecycle.,tests and logs become stricter; some legacy shape-only assumptions may fail,"callers may rely on current observability field names, ordering, or fallback availability",schema/UI/test updates possible,,freeze fixture and current behavior before fix,semantic contract test for malformed input and explicit fail-closed behavior,Specific row lifecycle invariant passes and audit evidence is updated.,M,3,fix_after_P1,medium
.agents:workflows:verify-research-gates.md,.agents/workflows/verify-research-gates.md,small,observability,observability,observability,VERIFIED,2,"Small helpers can silently mutate, drop, or misclassify rows without a contract test catching it.",F-P2-001,Many modules have no direct semantic test signal in static inventory.,.agents/workflows/verify-research-gates.md; lines=12; tests=covered_by:0; side_effects=none_detected_by_static_scan,row_truth_or_observability_gap,See finding evidence or static row-surface/side-effect scan.,Audit-only observation; no production behavior changed.,defect becomes hard to detect during replay or runtime debugging,direct_or_indirect,low_or_indirect,P2,medium,low,"For P0/P1/P2-ranked modules, add focused contract tests for stale, fallback, duplicate, malformed, and deterministic ordering cases before refactoring.","Preserve row truth, deterministic ranking, and fail-closed decision boundaries.",More explainable accepted/degraded/rejected/ranked/displayed row lifecycle.,tests and logs become stricter; some legacy shape-only assumptions may fail,"callers may rely on current observability field names, ordering, or fallback availability",schema/UI/test updates possible,,freeze fixture and current behavior before fix,semantic contract test for malformed input and explicit fail-closed behavior,Specific row lifecycle invariant passes and audit evidence is updated.,M,4,fix_after_P1,medium
.github:ISSUE_TEMPLATE:bug_report.md,.github/ISSUE_TEMPLATE/bug_report.md,small,broker_execution_handoff,broker_execution_handoff,broker_execution_handoff,PARTIALLY_VERIFIED,4,none_detected,NONE,"No module-specific defect found by static audit/probes; evidence checked includes AST parse, imports, public symbols, row-surface keywords, side-effect tokens, callers, and direct-test signals.",.github/ISSUE_TEMPLATE/bug_report.md; lines=61; tests=covered_by:1; side_effects=none_detected_by_static_scan,none_found_by_audit,See finding evidence or static row-surface/side-effect scan.,Audit-only observation; no production behavior changed.,no immediate row-integrity effect identified,direct_or_indirect,low_or_indirect,NONE,low,medium,No immediate module-specific fix; keep covered by wave-level contract tests if row_surface=yes or runtime_criticality=high.,"Preserve row truth, deterministic ranking, and fail-closed decision boundaries.",More explainable accepted/degraded/rejected/ranked/displayed row lifecycle.,none,none_identified,none_expected,,none,semantic contract test for malformed input and explicit fail-closed behavior,Specific row lifecycle invariant passes and audit evidence is updated.,XS,9999,no_fix_required,low_static_scan_only
.github:ISSUE_TEMPLATE:feature_request.md,.github/ISSUE_TEMPLATE/feature_request.md,small,feed_ingestion_or_freshness,feed_ingestion_or_freshness,feed_ingestion_or_freshness,VERIFIED,2,"Small helpers can silently mutate, drop, or misclassify rows without a contract test catching it.",F-P2-001,Many modules have no direct semantic test signal in static inventory.,.github/ISSUE_TEMPLATE/feature_request.md; lines=56; tests=covered_by:0; side_effects=none_detected_by_static_scan,row_truth_or_observability_gap,See finding evidence or static row-surface/side-effect scan.,Audit-only observation; no production behavior changed.,defect becomes hard to detect during replay or runtime debugging,direct_or_indirect,high,P2,medium,low,"For P0/P1/P2-ranked modules, add focused contract tests for stale, fallback, duplicate, malformed, and deterministic ordering cases before refactoring.","Preserve row truth, deterministic ranking, and fail-closed decision boundaries.",More explainable accepted/degraded/rejected/ranked/displayed row lifecycle.,tests and logs become stricter; some legacy shape-only assumptions may fail,"callers may rely on current feed_ingestion_or_freshness field names, ordering, or fallback availability",schema/UI/test updates possible,,freeze fixture and current behavior before fix,"stale versus fresh precedence, malformed/partial response, duplicate/out-of-order data",Specific row lifecycle invariant passes and audit evidence is updated.,M,6,fix_after_P1,medium
.github:ISSUE_TEMPLATE:security_report.md,.github/ISSUE_TEMPLATE/security_report.md,small,broker_execution_handoff,broker_execution_handoff,broker_execution_handoff,VERIFIED,2,"Small helpers can silently mutate, drop, or misclassify rows without a contract test catching it.",F-P2-001,Many modules have no direct semantic test signal in static inventory.,.github/ISSUE_TEMPLATE/security_report.md; lines=56; tests=covered_by:0; side_effects=none_detected_by_static_scan,row_truth_or_observability_gap,See finding evidence or static row-surface/side-effect scan.,Audit-only observation; no production behavior changed.,defect becomes hard to detect during replay or runtime debugging,direct_or_indirect,low_or_indirect,P2,medium,low,"For P0/P1/P2-ranked modules, add focused contract tests for stale, fallback, duplicate, malformed, and deterministic ordering cases before refactoring.","Preserve row truth, deterministic ranking, and fail-closed decision boundaries.",More explainable accepted/degraded/rejected/ranked/displayed row lifecycle.,tests and logs become stricter; some legacy shape-only assumptions may fail,"callers may rely on current broker_execution_handoff field names, ordering, or fallback availability",schema/UI/test updates possible,,freeze fixture and current behavior before fix,semantic contract test for malformed input and explicit fail-closed behavior,Specific row lifecycle invariant passes and audit evidence is updated.,M,7,fix_after_P1,medium
.github:pull_request_template.md,.github/pull_request_template.md,medium,feed_ingestion_or_freshness,feed_ingestion_or_freshness,feed_ingestion_or_freshness,VERIFIED,1,"Small helpers can silently mutate, drop, or misclassify rows without a contract test catching it.",F-P2-001,Many modules have no direct semantic test signal in static inventory.,.github/pull_request_template.md; lines=122; tests=covered_by:0; side_effects=ui_render,row_truth_or_observability_gap,See finding evidence or static row-surface/side-effect scan.,Audit-only observation; no production behavior changed.,defect becomes hard to detect during replay or runtime debugging,direct_or_indirect,high,P2,medium,low,"For P0/P1/P2-ranked modules, add focused contract tests for stale, fallback, duplicate, malformed, and deterministic ordering cases before refactoring.","Preserve row truth, deterministic ranking, and fail-closed decision boundaries.",More explainable accepted/degraded/rejected/ranked/displayed row lifecycle.,tests and logs become stricter; some legacy shape-only assumptions may fail,"callers may rely on current feed_ingestion_or_freshness field names, ordering, or fallback availability",schema/UI/test updates possible,,freeze fixture and current behavior before fix,"stale versus fresh precedence, malformed/partial response, duplicate/out-of-order data",Specific row lifecycle invariant passes and audit evidence is updated.,M,8,fix_after_P1,medium
.github:workflows:agent-review-gate.yml,.github/workflows/agent-review-gate.yml,small,option_chain_or_quote,option_chain_or_quote,option_chain_or_quote,VERIFIED,2,"Small helpers can silently mutate, drop, or misclassify rows without a contract test catching it.",F-P2-001,Many modules have no direct semantic test signal in static inventory.,.github/workflows/agent-review-gate.yml; lines=26; tests=covered_by:0; side_effects=none_detected_by_static_scan,row_truth_or_observability_gap,See finding evidence or static row-surface/side-effect scan.,Audit-only observation; no production behavior changed.,defect becomes hard to detect during replay or runtime debugging,not_detected,low_or_indirect,P2,medium,low,"For P0/P1/P2-ranked modules, add focused contract tests for stale, fallback, duplicate, malformed, and deterministic ordering cases before refactoring.","Preserve row truth, deterministic ranking, and fail-closed decision boundaries.",More explainable accepted/degraded/rejected/ranked/displayed row lifecycle.,tests and logs become stricter; some legacy shape-only assumptions may fail,"callers may rely on current option_chain_or_quote field names, ordering, or fallback availability",schema/UI/test updates possible,,freeze fixture and current behavior before fix,"stale versus fresh precedence, malformed/partial response, duplicate/out-of-order data",Specific row lifecycle invariant passes and audit evidence is updated.,M,9,fix_after_P1,medium
.github:workflows:agentic-qa-evidence-auditor.yml,.github/workflows/agentic-qa-evidence-auditor.yml,small,observability,observability,observability,VERIFIED,2,"Small helpers can silently mutate, drop, or misclassify rows without a contract test catching it.",F-P2-001,Many modules have no direct semantic test signal in static inventory.,.github/workflows/agentic-qa-evidence-auditor.yml; lines=74; tests=covered_by:0; side_effects=none_detected_by_static_scan,row_truth_or_observability_gap,See finding evidence or static row-surface/side-effect scan.,Audit-only observation; no production behavior changed.,defect becomes hard to detect during replay or runtime debugging,not_detected,low_or_indirect,P2,medium,low,"For P0/P1/P2-ranked modules, add focused contract tests for stale, fallback, duplicate, malformed, and deterministic ordering cases before refactoring.","Preserve row truth, deterministic ranking, and fail-closed decision boundaries.",More explainable accepted/degraded/rejected/ranked/displayed row lifecycle.,tests and logs become stricter; some legacy shape-only assumptions may fail,"callers may rely on current observability field names, ordering, or fallback availability",schema/UI/test updates possible,,freeze fixture and current behavior before fix,semantic contract test for malformed input and explicit fail-closed behavior,Specific row lifecycle invariant passes and audit evidence is updated.,M,10,fix_after_P1,medium
