stage,input_events,accepted_or_proven,rejected_or_failed,not_proven,unexplained_delta,reconciles
broker_feed_connection,3,1,0,2,0,True
raw_event_ingestion,3,0,0,3,0,True
quote_depth_candle_option_chain,2,0,0,2,0,True
market_state_regime,1,0,0,1,0,True
strategy_registry_execution,2,2,0,0,0,True
tradebuilder,2,0,0,2,0,True
phase1_gates,1,0,0,1,0,True
phase2_gates,3,3,0,0,0,True
candidate_pool,3,1,0,2,0,True
normalization_classification_policy,1,1,0,0,0,True
risk_liquidity_executable_truth,5,4,0,1,0,True
orchestration,1,1,0,0,0,True
scoring_ranking,2,2,0,0,0,True
ui_manual_approval,3,2,1,0,0,True
order_intent_broker_boundary,3,2,0,1,0,True
order_updates_reconciliation,4,0,0,4,0,True
observability_recovery_auditability,0,0,0,0,0,True
