fixture_id,stage,authority_before,authority_after,reason_code
valid_ce_buy,market_feed_input,none,observed,fixture_loaded
valid_ce_buy,websocket_ingestion_contract,observed,snapshot,accepted
valid_ce_buy,freshness_quote_truth,snapshot,fresh_quote,fresh_live_quote
valid_ce_buy,market_state,fresh_quote,market_state,market_state_constructed
valid_ce_buy,strategy,market_state,signal,signal_emitted
valid_ce_buy,tradebuilder,signal,trade_intent,tradebuilder_built
valid_ce_buy,phase1,trade_intent,phase1_pass,phase1_pass
valid_ce_buy,phase2,phase1_pass,phase2_pass,phase2_pass
valid_ce_buy,candidate_creation,phase2_pass,phase2_pass,candidate_created
valid_ce_buy,candidate_pool,phase2_pass,phase2_pass,pool_built
valid_ce_buy,normalization,phase2_pass,phase2_pass,normalized
valid_ce_buy,classification,phase2_pass,classified,classified
valid_ce_buy,risk_executable_truth,classified,executable,executable_truth_pass
valid_ce_buy,scoring,classified,scored,setup_score
valid_ce_buy,ranking,scored,ranked,ranked
valid_ce_buy,ui_projection,ranked,actionable,actionable_ranked_row
valid_ce_buy,manual_approval,actionable,approved,approved
valid_ce_buy,order_intent,approved,broker_ready,ok
valid_ce_buy,mock_broker,broker_ready,accepted,mock_broker_accepted
valid_ce_buy,order_tracking,accepted,accepted,mock_broker_accepted
valid_ce_buy,reconciliation,accepted,reconciled,mock_broker_accepted
valid_pe_buy,market_feed_input,none,observed,fixture_loaded
valid_pe_buy,websocket_ingestion_contract,observed,snapshot,accepted
valid_pe_buy,freshness_quote_truth,snapshot,fresh_quote,fresh_live_quote
valid_pe_buy,market_state,fresh_quote,market_state,market_state_constructed
valid_pe_buy,strategy,market_state,signal,signal_emitted
valid_pe_buy,tradebuilder,signal,trade_intent,tradebuilder_built
valid_pe_buy,phase1,trade_intent,phase1_pass,phase1_pass
valid_pe_buy,phase2,phase1_pass,phase2_pass,phase2_pass
valid_pe_buy,candidate_creation,phase2_pass,phase2_pass,candidate_created
valid_pe_buy,candidate_pool,phase2_pass,phase2_pass,pool_built
valid_pe_buy,normalization,phase2_pass,phase2_pass,normalized
valid_pe_buy,classification,phase2_pass,classified,classified
valid_pe_buy,risk_executable_truth,classified,executable,executable_truth_pass
valid_pe_buy,scoring,classified,scored,setup_score
