fixture_id,scenario_kind,actual_outcome,certified,failure_classification
stale_quote,stale_quote,approval_blocked_or_advisory,False,INTENTIONAL_POLICY
missing_quote,missing_quote,approval_blocked_or_advisory,False,INTENTIONAL_POLICY
recovered_fallback_quote,fallback_quote,approval_blocked_or_advisory,False,INTENTIONAL_POLICY
excessive_spread,excessive_spread,approval_blocked_or_advisory,False,INTENTIONAL_POLICY
duplicate_market_event,duplicate_market_event,reconciled,True,NONE
out_of_order_tick,out_of_order_tick,quarantined,False,INTENTIONAL_POLICY
strategy_no_signal,no_signal,no_signal,False,INTENTIONAL_POLICY
strategy_exception,strategy_exception,strategy_exception_fail_closed,False,MISSING_TEST_ONLY
malformed_tradebuilder_output,malformed_tradebuilder,phase1_blocked,False,MISSING_TEST_ONLY
phase1_hard_reject,phase1_reject,phase1_rejected,False,INTENTIONAL_POLICY
phase2_contextual_reject,phase2_reject,phase2_rejected,False,INTENTIONAL_POLICY
phase2_downgrade_advisory,phase2_downgrade,approval_blocked_or_advisory,False,INTENTIONAL_POLICY
duplicate_candidate_insertion,duplicate_candidate,reconciled,True,NONE
candidate_mutation_reason_preservation,candidate_mutation,reconciled,True,NONE
risk_limit_rejection,risk_reject,approval_blocked_or_advisory,False,INTENTIONAL_POLICY
executable_truth_failure,executable_truth_failure,approval_blocked_or_advisory,False,INTENTIONAL_POLICY
ranking_tie,ranking_tie,reconciled,True,NONE
empty_ranked_snapshot_ui_fallback,ui_fallback,approval_blocked_or_advisory,False,INTENTIONAL_POLICY
approval_ranked_actionable_row,approval_valid,reconciled,True,NONE
approval_unranked_fallback_row,approval_unranked,approval_blocked_or_advisory,False,INTENTIONAL_POLICY
duplicate_approval_submission,duplicate_approval,approval_blocked_or_advisory,False,INTENTIONAL_POLICY
broker_acceptance,broker_accept,reconciled,True,NONE
broker_rejection,broker_reject,reconciled,True,NONE
broker_timeout_before_ack,broker_timeout,unresolved,False,MISSING_FIXTURE
retry_after_timeout,retry_after_timeout,unresolved,False,MISSING_FIXTURE
duplicate_broker_request_idempotency,duplicate_broker_request,unresolved,False,MISSING_FIXTURE
partial_fill,partial_fill,unresolved,False,MISSING_FIXTURE
multiple_partial_fills,multiple_partial_fills,reconciled,True,NONE
out_of_order_order_updates,out_of_order_order_updates,reconciled,True,NONE
restart_before_reconciliation,restart_before_reconciliation,unresolved,False,MISSING_FIXTURE
restart_recovery_final_reconciliation,restart_recovery,reconciled,True,NONE
