fixture_id,reason_codes,preserved
valid_ce_buy,fresh_live_quote;mock_broker_accepted,True
valid_pe_buy,fresh_live_quote;mock_broker_accepted,True
stale_quote,stale_option_quote,True
missing_quote,missing_option_quote,True
recovered_fallback_quote,recovered_fallback_quote,True
excessive_spread,excessive_spread,True
duplicate_market_event,duplicate_market_event;fresh_live_quote;mock_broker_accepted,True
out_of_order_tick,out_of_order_tick,True
strategy_no_signal,fresh_live_quote;strategy_no_signal,True
strategy_exception,RuntimeError;fresh_live_quote,True
malformed_tradebuilder_output,fresh_live_quote;malformed_tradebuilder_output,True
phase1_hard_reject,fresh_live_quote;phase1_hard_reject,True
phase2_contextual_reject,fresh_live_quote;phase2_contextual_reject,True
phase2_downgrade_advisory,fresh_live_quote,True
duplicate_candidate_insertion,fresh_live_quote;mock_broker_accepted,True
candidate_mutation_reason_preservation,fresh_live_quote;mock_broker_accepted;reason_code_preserved_after_mutation,True
risk_limit_rejection,fresh_live_quote,True
executable_truth_failure,fresh_live_quote,True
ranking_tie,fresh_live_quote;mock_broker_accepted,True
empty_ranked_snapshot_ui_fallback,fresh_live_quote,True
approval_ranked_actionable_row,fresh_live_quote;mock_broker_accepted,True
approval_unranked_fallback_row,approval_blocked_unranked;fresh_live_quote,True
duplicate_approval_submission,duplicate_approval_rejected;fresh_live_quote,True
broker_acceptance,fresh_live_quote;mock_broker_accepted,True
broker_rejection,fresh_live_quote;mock_broker_rejected,True
broker_timeout_before_ack,fresh_live_quote;mock_timeout_before_ack,True
retry_after_timeout,fresh_live_quote;mock_timeout_before_ack,True
duplicate_broker_request_idempotency,duplicate_idempotency_key;fresh_live_quote,True
partial_fill,fresh_live_quote;mock_partial_fill,True
multiple_partial_fills,fresh_live_quote;mock_fills_reconciled_monotonic,True
out_of_order_order_updates,fresh_live_quote;mock_fills_reconciled_monotonic,True
restart_before_reconciliation,fresh_live_quote;mock_restart_before_final_fill,True
restart_recovery_final_reconciliation,fresh_live_quote;mock_fills_reconciled_monotonic,True
