fixture_id,actual_outcome,certified,broker_status
valid_ce_buy,reconciled,True,accepted
valid_pe_buy,reconciled,True,accepted
stale_quote,approval_blocked_or_advisory,False,
missing_quote,approval_blocked_or_advisory,False,
recovered_fallback_quote,approval_blocked_or_advisory,False,
excessive_spread,approval_blocked_or_advisory,False,
duplicate_market_event,reconciled,True,accepted
out_of_order_tick,quarantined,False,
strategy_no_signal,no_signal,False,
strategy_exception,strategy_exception_fail_closed,False,
malformed_tradebuilder_output,phase1_blocked,False,
phase1_hard_reject,phase1_rejected,False,
phase2_contextual_reject,phase2_rejected,False,
phase2_downgrade_advisory,approval_blocked_or_advisory,False,
duplicate_candidate_insertion,reconciled,True,accepted
candidate_mutation_reason_preservation,reconciled,True,accepted
risk_limit_rejection,approval_blocked_or_advisory,False,
executable_truth_failure,approval_blocked_or_advisory,False,
ranking_tie,reconciled,True,accepted
empty_ranked_snapshot_ui_fallback,approval_blocked_or_advisory,False,
approval_ranked_actionable_row,reconciled,True,accepted
approval_unranked_fallback_row,approval_blocked_or_advisory,False,
duplicate_approval_submission,approval_blocked_or_advisory,False,
broker_acceptance,reconciled,True,accepted
broker_rejection,reconciled,True,rejected
broker_timeout_before_ack,unresolved,False,timeout_unresolved
retry_after_timeout,unresolved,False,timeout_unresolved
duplicate_broker_request_idempotency,unresolved,False,duplicate_collapsed
partial_fill,unresolved,False,partially_filled
multiple_partial_fills,reconciled,True,filled
out_of_order_order_updates,reconciled,True,filled
restart_before_reconciliation,unresolved,False,restart_recovered_unresolved
restart_recovery_final_reconciliation,reconciled,True,filled
