fixture_id,scenario_kind,expected_outcome,actual_outcome,certified,failure_classification,semantic_hash
valid_ce_buy,valid,broker_reconciled,reconciled,True,NONE,ee2c4119738c096ebe2f7cc604c3be6c7e1f190aafe6459723c26fe893bcc835
valid_pe_buy,valid,broker_reconciled,reconciled,True,NONE,6cbd3c77a630bd25b2f7252e26ffd497ad40c29523a608b617a5680c95555d9a
stale_quote,stale_quote,non_executable,approval_blocked_or_advisory,False,INTENTIONAL_POLICY,dfae7133383f2177409635f83446fc0d1345a1bec2806db556e929f2f188e600
missing_quote,missing_quote,non_executable,approval_blocked_or_advisory,False,INTENTIONAL_POLICY,223ff58b00b997292345e7d9a8707e07c3c8b7591e512746daba94ab163f424f
recovered_fallback_quote,fallback_quote,advisory_only,approval_blocked_or_advisory,False,INTENTIONAL_POLICY,e0e63f625db7cc577f1b700c3734003dc0b07fc613f9063655d5886a3619a6ed
excessive_spread,excessive_spread,non_executable,approval_blocked_or_advisory,False,INTENTIONAL_POLICY,694e8382f40aef9b3aa3a70a4f92873f59e264f1c56a345f8a5b5e92a3e73d90
duplicate_market_event,duplicate_market_event,deduplicated,reconciled,True,NONE,274b206ebc67c6a7bd1e15088b1bc1a6942c0a691156d90c40d3ae6a4c5920c4
out_of_order_tick,out_of_order_tick,quarantined,quarantined,False,INTENTIONAL_POLICY,60820df30b1d27bab8e991fccbf6d9f44e2ce9e3e3a04a1c2bbe22afbeaa3ca2
strategy_no_signal,no_signal,no_signal,no_signal,False,INTENTIONAL_POLICY,d1d8c9b6283c4c2f996ede6d048d18ae8c071d3e184a1a1f333d7bcd886ad9a8
strategy_exception,strategy_exception,fail_closed,strategy_exception_fail_closed,False,MISSING_TEST_ONLY,fade1364e9e910ba97e094837242c79eefe56d470976b83d0e4696f39653f20e
malformed_tradebuilder_output,malformed_tradebuilder,phase1_blocked,phase1_blocked,False,MISSING_TEST_ONLY,8bfe84a16e9c5dc9c41da5343e9a9d14f776c8a634b366b8e150c88fc3b0ec7f
phase1_hard_reject,phase1_reject,phase1_rejected,phase1_rejected,False,INTENTIONAL_POLICY,a92510c46a78581a9572f59e6c5e7d6e1056300808a83473dd3485b4ea319ad1
phase2_contextual_reject,phase2_reject,phase2_rejected,phase2_rejected,False,INTENTIONAL_POLICY,d4413f45a1ec24a55d6418edf4db755beef9eb485079936b251754fb2e1e476f
phase2_downgrade_advisory,phase2_downgrade,advisory_only,approval_blocked_or_advisory,False,INTENTIONAL_POLICY,6690a33ebebf1fac3a73a504cf68fcacfcefaba3318813b4530870ead9e4c9ba
duplicate_candidate_insertion,duplicate_candidate,deduplicated,reconciled,True,NONE,9a22ff35f0b5d19edff917efd571562a7817a3db9c14ddc648916882d48f408d
candidate_mutation_reason_preservation,candidate_mutation,reason_preserved,reconciled,True,NONE,e6bf7d0d634acaf96ddaf5d16a5ee2a2b81c92890590aea4746235399a24bbc7
risk_limit_rejection,risk_reject,risk_rejected,approval_blocked_or_advisory,False,INTENTIONAL_POLICY,6b8ad0bacf7c4d1047651770d2ad13be45682da7f0aef0030b0701ffc36f53d1
executable_truth_failure,executable_truth_failure,non_executable,approval_blocked_or_advisory,False,INTENTIONAL_POLICY,a9a5dfc4cc6404bb81b99b3c1b3fdc526d9ab79712de433e7951639f48f5e328
ranking_tie,ranking_tie,deterministic_tie,reconciled,True,NONE,6d0da85b0d81c2db48473fc93239ec4f33bbb5a5ef3a8693c4eb717445c36cb0
empty_ranked_snapshot_ui_fallback,ui_fallback,fallback_not_actionable,approval_blocked_or_advisory,False,INTENTIONAL_POLICY,221ede69c8790d975750df09f99fd1a4160d1209c76c637bb3edf4ae5165e8ef
