fixture_id,input_events,accepted,rejected,deduplicated,quarantined,unexplained_delta,reconciles
valid_ce_buy,1,1,0,0,0,0,True
valid_pe_buy,1,1,0,0,0,0,True
stale_quote,1,1,1,0,0,0,True
missing_quote,1,1,1,0,0,0,True
recovered_fallback_quote,1,1,1,0,0,0,True
excessive_spread,1,1,1,0,0,0,True
duplicate_market_event,1,1,0,1,0,0,True
out_of_order_tick,1,0,0,0,1,0,True
strategy_no_signal,1,1,0,0,0,0,True
strategy_exception,1,1,0,0,0,0,True
malformed_tradebuilder_output,1,1,1,0,0,0,True
phase1_hard_reject,1,1,1,0,0,0,True
phase2_contextual_reject,1,1,1,0,0,0,True
phase2_downgrade_advisory,1,1,1,0,0,0,True
duplicate_candidate_insertion,1,1,0,1,0,0,True
candidate_mutation_reason_preservation,1,1,0,0,0,0,True
risk_limit_rejection,1,1,1,0,0,0,True
executable_truth_failure,1,1,1,0,0,0,True
ranking_tie,1,1,0,0,0,0,True
empty_ranked_snapshot_ui_fallback,1,1,1,0,0,0,True
approval_ranked_actionable_row,1,1,0,0,0,0,True
approval_unranked_fallback_row,1,1,1,0,0,0,True
duplicate_approval_submission,1,1,1,0,0,0,True
broker_acceptance,1,1,0,0,0,0,True
broker_rejection,1,1,0,0,0,0,True
broker_timeout_before_ack,1,1,0,0,0,0,True
retry_after_timeout,1,1,0,0,0,0,True
duplicate_broker_request_idempotency,1,1,0,1,0,0,True
partial_fill,1,1,0,0,0,0,True
multiple_partial_fills,1,1,0,0,0,0,True
out_of_order_order_updates,1,1,0,0,0,0,True
restart_before_reconciliation,1,1,0,0,0,0,True
restart_recovery_final_reconciliation,1,1,0,0,0,0,True
