allowed_for_strategy_verdict,global_blocker_counts_json,lane,partition,per_unit_expectancy,per_unit_profit_factor,strategy_id,strike_distance_points,strike_offset_steps,trades
False,"{""ENTRY_OR_EXIT_TIMING_UNAVAILABLE"": 2, ""EXACT_ATM_CONTRACT_UNAVAILABLE"": 392, ""EXPIRY_UNIVERSE_COVERAGE_MISSING"": 94, ""SAME_SESSION_OPTION_AUTHORITY_MISSING"": 101}",ATM_PLUS_MINUS_50_SENSITIVITY_ONLY,development,-6.072471874999999,0.5662169023755814,EVENT_VOLATILITY_EXPANSION,-50,-1,7
False,"{""ENTRY_OR_EXIT_TIMING_UNAVAILABLE"": 2, ""EXACT_ATM_CONTRACT_UNAVAILABLE"": 392, ""EXPIRY_UNIVERSE_COVERAGE_MISSING"": 94, ""SAME_SESSION_OPTION_AUTHORITY_MISSING"": 101}",ATM_PLUS_MINUS_50_SENSITIVITY_ONLY,validation,,,EVENT_VOLATILITY_EXPANSION,-50,-1,0
False,"{""ENTRY_OR_EXIT_TIMING_UNAVAILABLE"": 2, ""EXACT_ATM_CONTRACT_UNAVAILABLE"": 392, ""EXPIRY_UNIVERSE_COVERAGE_MISSING"": 94, ""SAME_SESSION_OPTION_AUTHORITY_MISSING"": 101}",ATM_PLUS_MINUS_50_SENSITIVITY_ONLY,development,8.586030625,11.068814608289783,EXHAUSTION_REVERSAL,-50,-1,2
False,"{""ENTRY_OR_EXIT_TIMING_UNAVAILABLE"": 2, ""EXACT_ATM_CONTRACT_UNAVAILABLE"": 392, ""EXPIRY_UNIVERSE_COVERAGE_MISSING"": 94, ""SAME_SESSION_OPTION_AUTHORITY_MISSING"": 101}",ATM_PLUS_MINUS_50_SENSITIVITY_ONLY,validation,,,EXHAUSTION_REVERSAL,-50,-1,0
False,"{""ENTRY_OR_EXIT_TIMING_UNAVAILABLE"": 2, ""EXACT_ATM_CONTRACT_UNAVAILABLE"": 392, ""EXPIRY_UNIVERSE_COVERAGE_MISSING"": 94, ""SAME_SESSION_OPTION_AUTHORITY_MISSING"": 101}",ATM_PLUS_MINUS_50_SENSITIVITY_ONLY,development,4.663683619186046,1.9585817027568704,LATE_DAY_MOMENTUM,-50,-1,43
False,"{""ENTRY_OR_EXIT_TIMING_UNAVAILABLE"": 2, ""EXACT_ATM_CONTRACT_UNAVAILABLE"": 392, ""EXPIRY_UNIVERSE_COVERAGE_MISSING"": 94, ""SAME_SESSION_OPTION_AUTHORITY_MISSING"": 101}",ATM_PLUS_MINUS_50_SENSITIVITY_ONLY,validation,0.7020845833333315,1.1002038445857192,LATE_DAY_MOMENTUM,-50,-1,15
False,"{""ENTRY_OR_EXIT_TIMING_UNAVAILABLE"": 2, ""EXACT_ATM_CONTRACT_UNAVAILABLE"": 392, ""EXPIRY_UNIVERSE_COVERAGE_MISSING"": 94, ""SAME_SESSION_OPTION_AUTHORITY_MISSING"": 101}",ATM_PLUS_MINUS_50_SENSITIVITY_ONLY,development,-3.985354078947369,0.6087798958631438,MEAN_REVERSION_EXTENSION,-50,-1,38
False,"{""ENTRY_OR_EXIT_TIMING_UNAVAILABLE"": 2, ""EXACT_ATM_CONTRACT_UNAVAILABLE"": 392, ""EXPIRY_UNIVERSE_COVERAGE_MISSING"": 94, ""SAME_SESSION_OPTION_AUTHORITY_MISSING"": 101}",ATM_PLUS_MINUS_50_SENSITIVITY_ONLY,validation,-11.807260125000003,0.24652477619412785,MEAN_REVERSION_EXTENSION,-50,-1,10
False,"{""ENTRY_OR_EXIT_TIMING_UNAVAILABLE"": 2, ""EXACT_ATM_CONTRACT_UNAVAILABLE"": 392, ""EXPIRY_UNIVERSE_COVERAGE_MISSING"": 94, ""SAME_SESSION_OPTION_AUTHORITY_MISSING"": 101}",ATM_PLUS_MINUS_50_SENSITIVITY_ONLY,development,0.9026682812500003,1.0860777332298672,OPENING_DRIVE,-50,-1,56
False,"{""ENTRY_OR_EXIT_TIMING_UNAVAILABLE"": 2, ""EXACT_ATM_CONTRACT_UNAVAILABLE"": 392, ""EXPIRY_UNIVERSE_COVERAGE_MISSING"": 94, ""SAME_SESSION_OPTION_AUTHORITY_MISSING"": 101}",ATM_PLUS_MINUS_50_SENSITIVITY_ONLY,validation,-11.385846527777781,0.2545919516701033,OPENING_DRIVE,-50,-1,9
False,"{""ENTRY_OR_EXIT_TIMING_UNAVAILABLE"": 3, ""EXACT_ATM_CONTRACT_UNAVAILABLE"": 349, ""EXPIRY_UNIVERSE_COVERAGE_MISSING"": 94, ""SAME_SESSION_OPTION_AUTHORITY_MISSING"": 101}",ATM_PLUS_MINUS_50_SENSITIVITY_ONLY,development,3.829186458333337,1.357245738996796,EVENT_VOLATILITY_EXPANSION,50,1,6
False,"{""ENTRY_OR_EXIT_TIMING_UNAVAILABLE"": 3, ""EXACT_ATM_CONTRACT_UNAVAILABLE"": 349, ""EXPIRY_UNIVERSE_COVERAGE_MISSING"": 94, ""SAME_SESSION_OPTION_AUTHORITY_MISSING"": 101}",ATM_PLUS_MINUS_50_SENSITIVITY_ONLY,validation,-2.4762000000000057,0.0,EVENT_VOLATILITY_EXPANSION,50,1,1
False,"{""ENTRY_OR_EXIT_TIMING_UNAVAILABLE"": 3, ""EXACT_ATM_CONTRACT_UNAVAILABLE"": 349, ""EXPIRY_UNIVERSE_COVERAGE_MISSING"": 94, ""SAME_SESSION_OPTION_AUTHORITY_MISSING"": 101}",ATM_PLUS_MINUS_50_SENSITIVITY_ONLY,development,-2.079681666666664,0.05210498328775405,EXHAUSTION_REVERSAL,50,1,3
False,"{""ENTRY_OR_EXIT_TIMING_UNAVAILABLE"": 3, ""EXACT_ATM_CONTRACT_UNAVAILABLE"": 349, ""EXPIRY_UNIVERSE_COVERAGE_MISSING"": 94, ""SAME_SESSION_OPTION_AUTHORITY_MISSING"": 101}",ATM_PLUS_MINUS_50_SENSITIVITY_ONLY,validation,-7.838849999999988,0.0,EXHAUSTION_REVERSAL,50,1,1
False,"{""ENTRY_OR_EXIT_TIMING_UNAVAILABLE"": 3, ""EXACT_ATM_CONTRACT_UNAVAILABLE"": 349, ""EXPIRY_UNIVERSE_COVERAGE_MISSING"": 94, ""SAME_SESSION_OPTION_AUTHORITY_MISSING"": 101}",ATM_PLUS_MINUS_50_SENSITIVITY_ONLY,development,-0.02779257291666886,0.9964727827001033,LATE_DAY_MOMENTUM,50,1,60
False,"{""ENTRY_OR_EXIT_TIMING_UNAVAILABLE"": 3, ""EXACT_ATM_CONTRACT_UNAVAILABLE"": 349, ""EXPIRY_UNIVERSE_COVERAGE_MISSING"": 94, ""SAME_SESSION_OPTION_AUTHORITY_MISSING"": 101}",ATM_PLUS_MINUS_50_SENSITIVITY_ONLY,validation,1.149290039062502,1.158704299152533,LATE_DAY_MOMENTUM,50,1,16
False,"{""ENTRY_OR_EXIT_TIMING_UNAVAILABLE"": 3, ""EXACT_ATM_CONTRACT_UNAVAILABLE"": 349, ""EXPIRY_UNIVERSE_COVERAGE_MISSING"": 94, ""SAME_SESSION_OPTION_AUTHORITY_MISSING"": 101}",ATM_PLUS_MINUS_50_SENSITIVITY_ONLY,development,-4.527091432291667,0.5340316309667068,MEAN_REVERSION_EXTENSION,50,1,48
False,"{""ENTRY_OR_EXIT_TIMING_UNAVAILABLE"": 3, ""EXACT_ATM_CONTRACT_UNAVAILABLE"": 349, ""EXPIRY_UNIVERSE_COVERAGE_MISSING"": 94, ""SAME_SESSION_OPTION_AUTHORITY_MISSING"": 101}",ATM_PLUS_MINUS_50_SENSITIVITY_ONLY,validation,-3.2284744318181824,0.6697644751180531,MEAN_REVERSION_EXTENSION,50,1,11
False,"{""ENTRY_OR_EXIT_TIMING_UNAVAILABLE"": 3, ""EXACT_ATM_CONTRACT_UNAVAILABLE"": 349, ""EXPIRY_UNIVERSE_COVERAGE_MISSING"": 94, ""SAME_SESSION_OPTION_AUTHORITY_MISSING"": 101}",ATM_PLUS_MINUS_50_SENSITIVITY_ONLY,development,1.9729054664179115,1.1732592864339855,OPENING_DRIVE,50,1,67
False,"{""ENTRY_OR_EXIT_TIMING_UNAVAILABLE"": 3, ""EXACT_ATM_CONTRACT_UNAVAILABLE"": 349, ""EXPIRY_UNIVERSE_COVERAGE_MISSING"": 94, ""SAME_SESSION_OPTION_AUTHORITY_MISSING"": 101}",ATM_PLUS_MINUS_50_SENSITIVITY_ONLY,validation,10.276371527777776,7.254607063939275,OPENING_DRIVE,50,1,9
