blocker_counts_json,direction,intent_count,match_rate,matched_trade_count,partition,strategy_id,unmatched_count
"{""EXACT_ATM_CONTRACT_UNAVAILABLE"": 2, ""EXPIRY_UNIVERSE_COVERAGE_MISSING"": 3}",BUY_CALL,8,0.375,3,development,EVENT_VOLATILITY_EXPANSION,5
"{""ENTRY_OR_EXIT_TIMING_UNAVAILABLE"": 1, ""EXACT_ATM_CONTRACT_UNAVAILABLE"": 6, ""EXPIRY_UNIVERSE_COVERAGE_MISSING"": 5}",BUY_PUT,16,0.25,4,development,EVENT_VOLATILITY_EXPANSION,12
"{""EXACT_ATM_CONTRACT_UNAVAILABLE"": 1, ""SAME_SESSION_OPTION_AUTHORITY_MISSING"": 1}",BUY_CALL,2,0.0,0,validation,EVENT_VOLATILITY_EXPANSION,2
{},BUY_PUT,1,1.0,1,validation,EVENT_VOLATILITY_EXPANSION,0
"{""EXACT_ATM_CONTRACT_UNAVAILABLE"": 9, ""EXPIRY_UNIVERSE_COVERAGE_MISSING"": 3, ""SAME_SESSION_OPTION_AUTHORITY_MISSING"": 1}",BUY_CALL,15,0.13333333333333333,2,development,EXHAUSTION_REVERSAL,13
"{""EXACT_ATM_CONTRACT_UNAVAILABLE"": 8, ""EXPIRY_UNIVERSE_COVERAGE_MISSING"": 1}",BUY_PUT,10,0.1,1,development,EXHAUSTION_REVERSAL,9
"{""EXACT_ATM_CONTRACT_UNAVAILABLE"": 1}",BUY_CALL,1,0.0,0,validation,EXHAUSTION_REVERSAL,1
"{""EXACT_ATM_CONTRACT_UNAVAILABLE"": 1}",BUY_PUT,1,0.0,0,validation,EXHAUSTION_REVERSAL,1
"{""EXACT_ATM_CONTRACT_UNAVAILABLE"": 46, ""EXPIRY_UNIVERSE_COVERAGE_MISSING"": 19, ""SAME_SESSION_OPTION_AUTHORITY_MISSING"": 3}",BUY_CALL,92,0.2608695652173913,24,development,LATE_DAY_MOMENTUM,68
"{""EXACT_ATM_CONTRACT_UNAVAILABLE"": 62, ""EXPIRY_UNIVERSE_COVERAGE_MISSING"": 14, ""SAME_SESSION_OPTION_AUTHORITY_MISSING"": 6}",BUY_PUT,114,0.2807017543859649,32,development,LATE_DAY_MOMENTUM,82
"{""EXACT_ATM_CONTRACT_UNAVAILABLE"": 5, ""SAME_SESSION_OPTION_AUTHORITY_MISSING"": 21}",BUY_CALL,34,0.23529411764705882,8,validation,LATE_DAY_MOMENTUM,26
"{""EXACT_ATM_CONTRACT_UNAVAILABLE"": 12, ""SAME_SESSION_OPTION_AUTHORITY_MISSING"": 16}",BUY_PUT,38,0.2631578947368421,10,validation,LATE_DAY_MOMENTUM,28
"{""ENTRY_OR_EXIT_TIMING_UNAVAILABLE"": 1, ""EXACT_ATM_CONTRACT_UNAVAILABLE"": 58, ""EXPIRY_UNIVERSE_COVERAGE_MISSING"": 15, ""SAME_SESSION_OPTION_AUTHORITY_MISSING"": 3}",BUY_CALL,97,0.20618556701030927,20,development,MEAN_REVERSION_EXTENSION,77
"{""EXACT_ATM_CONTRACT_UNAVAILABLE"": 37, ""EXPIRY_UNIVERSE_COVERAGE_MISSING"": 9, ""SAME_SESSION_OPTION_AUTHORITY_MISSING"": 2}",BUY_PUT,68,0.29411764705882354,20,development,MEAN_REVERSION_EXTENSION,48
"{""EXACT_ATM_CONTRACT_UNAVAILABLE"": 7, ""SAME_SESSION_OPTION_AUTHORITY_MISSING"": 12}",BUY_CALL,26,0.2692307692307692,7,validation,MEAN_REVERSION_EXTENSION,19
"{""EXACT_ATM_CONTRACT_UNAVAILABLE"": 3, ""SAME_SESSION_OPTION_AUTHORITY_MISSING"": 8}",BUY_PUT,16,0.3125,5,validation,MEAN_REVERSION_EXTENSION,11
"{""EXACT_ATM_CONTRACT_UNAVAILABLE"": 41, ""EXPIRY_UNIVERSE_COVERAGE_MISSING"": 10}",BUY_CALL,76,0.32894736842105265,25,development,OPENING_DRIVE,51
"{""EXACT_ATM_CONTRACT_UNAVAILABLE"": 42, ""EXPIRY_UNIVERSE_COVERAGE_MISSING"": 15, ""SAME_SESSION_OPTION_AUTHORITY_MISSING"": 2}",BUY_PUT,102,0.4215686274509804,43,development,OPENING_DRIVE,59
"{""EXACT_ATM_CONTRACT_UNAVAILABLE"": 5, ""SAME_SESSION_OPTION_AUTHORITY_MISSING"": 17}",BUY_CALL,28,0.21428571428571427,6,validation,OPENING_DRIVE,22
"{""EXACT_ATM_CONTRACT_UNAVAILABLE"": 10, ""SAME_SESSION_OPTION_AUTHORITY_MISSING"": 9}",BUY_PUT,24,0.20833333333333334,5,validation,OPENING_DRIVE,19
