entity_id,exact_reason,final_verdict
COMPRESSION_BREAKOUT,KITE_REPLAY_HAS_UNDERLYING_CANDLES_BUT_NO_OPTION_PRICE_ROWS_WITH_EXPIRY_STRIKE_CE_PE_CONTRACT_IDENTITY,DATA_BLOCKED
EVENT_VOLATILITY_EXPANSION,KITE_REPLAY_HAS_UNDERLYING_CANDLES_BUT_NO_OPTION_PRICE_ROWS_WITH_EXPIRY_STRIKE_CE_PE_CONTRACT_IDENTITY,DATA_BLOCKED
EXHAUSTION_REVERSAL,KITE_REPLAY_HAS_UNDERLYING_CANDLES_BUT_NO_OPTION_PRICE_ROWS_WITH_EXPIRY_STRIKE_CE_PE_CONTRACT_IDENTITY,DATA_BLOCKED
FAILED_BREAKOUT_TRAP,KITE_REPLAY_HAS_UNDERLYING_CANDLES_BUT_NO_OPTION_PRICE_ROWS_WITH_EXPIRY_STRIKE_CE_PE_CONTRACT_IDENTITY,DATA_BLOCKED
LATE_DAY_MOMENTUM,KITE_REPLAY_HAS_UNDERLYING_CANDLES_BUT_NO_OPTION_PRICE_ROWS_WITH_EXPIRY_STRIKE_CE_PE_CONTRACT_IDENTITY,DATA_BLOCKED
MEAN_REVERSION_EXTENSION,KITE_REPLAY_HAS_UNDERLYING_CANDLES_BUT_NO_OPTION_PRICE_ROWS_WITH_EXPIRY_STRIKE_CE_PE_CONTRACT_IDENTITY,DATA_BLOCKED
OPENING_DRIVE,KITE_REPLAY_HAS_UNDERLYING_CANDLES_BUT_NO_OPTION_PRICE_ROWS_WITH_EXPIRY_STRIKE_CE_PE_CONTRACT_IDENTITY,DATA_BLOCKED
OPENING_RANGE_BREAKOUT,KITE_REPLAY_HAS_UNDERLYING_CANDLES_BUT_NO_OPTION_PRICE_ROWS_WITH_EXPIRY_STRIKE_CE_PE_CONTRACT_IDENTITY,DATA_BLOCKED
OPTION_PRESSURE,KITE_REPLAY_HAS_UNDERLYING_CANDLES_BUT_NO_OPTION_PRICE_ROWS_WITH_EXPIRY_STRIKE_CE_PE_CONTRACT_IDENTITY,DATA_BLOCKED
SIMPLE_ORB,KITE_REPLAY_HAS_UNDERLYING_CANDLES_BUT_NO_OPTION_PRICE_ROWS_WITH_EXPIRY_STRIKE_CE_PE_CONTRACT_IDENTITY,DATA_BLOCKED
TREND_PULLBACK,KITE_REPLAY_HAS_UNDERLYING_CANDLES_BUT_NO_OPTION_PRICE_ROWS_WITH_EXPIRY_STRIKE_CE_PE_CONTRACT_IDENTITY,DATA_BLOCKED
VWAP_RECLAIM,KITE_REPLAY_HAS_UNDERLYING_CANDLES_BUT_NO_OPTION_PRICE_ROWS_WITH_EXPIRY_STRIKE_CE_PE_CONTRACT_IDENTITY,DATA_BLOCKED
CONSTITUENT_BREADTH,KITE_REPLAY_HAS_UNDERLYING_CANDLES_BUT_NO_OPTION_PRICE_ROWS_WITH_EXPIRY_STRIKE_CE_PE_CONTRACT_IDENTITY,DATA_BLOCKED
CONSTITUENT_LEAD_LAG,KITE_REPLAY_HAS_UNDERLYING_CANDLES_BUT_NO_OPTION_PRICE_ROWS_WITH_EXPIRY_STRIKE_CE_PE_CONTRACT_IDENTITY,DATA_BLOCKED
CONTINUOUS_STRUCTURAL_EDGE_DISCOVERY,KITE_REPLAY_HAS_UNDERLYING_CANDLES_BUT_NO_OPTION_PRICE_ROWS_WITH_EXPIRY_STRIKE_CE_PE_CONTRACT_IDENTITY,DATA_BLOCKED
FIVE_MINUTE_GOVERNED_DISCOVERY,KITE_REPLAY_HAS_UNDERLYING_CANDLES_BUT_NO_OPTION_PRICE_ROWS_WITH_EXPIRY_STRIKE_CE_PE_CONTRACT_IDENTITY,DATA_BLOCKED
ML_STRATEGY_DISCOVERY,KITE_REPLAY_HAS_UNDERLYING_CANDLES_BUT_NO_OPTION_PRICE_ROWS_WITH_EXPIRY_STRIKE_CE_PE_CONTRACT_IDENTITY,DATA_BLOCKED
OPENING_RANGE_RETEST,KITE_REPLAY_HAS_UNDERLYING_CANDLES_BUT_NO_OPTION_PRICE_ROWS_WITH_EXPIRY_STRIKE_CE_PE_CONTRACT_IDENTITY,DATA_BLOCKED
OPENING_STATE_MOMENTUM,KITE_REPLAY_HAS_UNDERLYING_CANDLES_BUT_NO_OPTION_PRICE_ROWS_WITH_EXPIRY_STRIKE_CE_PE_CONTRACT_IDENTITY,DATA_BLOCKED
RESIDUAL_MEAN_REVERSION,KITE_REPLAY_HAS_UNDERLYING_CANDLES_BUT_NO_OPTION_PRICE_ROWS_WITH_EXPIRY_STRIKE_CE_PE_CONTRACT_IDENTITY,DATA_BLOCKED
RSI2_MEAN_REVERSION,KITE_REPLAY_HAS_UNDERLYING_CANDLES_BUT_NO_OPTION_PRICE_ROWS_WITH_EXPIRY_STRIKE_CE_PE_CONTRACT_IDENTITY,DATA_BLOCKED
STRUCTURAL_PATTERN_SUITE,KITE_REPLAY_HAS_UNDERLYING_CANDLES_BUT_NO_OPTION_PRICE_ROWS_WITH_EXPIRY_STRIKE_CE_PE_CONTRACT_IDENTITY,DATA_BLOCKED
STRUCTURAL_STATE_DISCOVERY,KITE_REPLAY_HAS_UNDERLYING_CANDLES_BUT_NO_OPTION_PRICE_ROWS_WITH_EXPIRY_STRIKE_CE_PE_CONTRACT_IDENTITY,DATA_BLOCKED
