logical_path,absolute_path,sha256,source_identity,file_kind,row_count,observed_tokens,reconstructed_nifty_option_tokens,has_timestamp,has_symbol_or_token,has_nifty,has_ce_pe,has_strike,has_expiry,has_provider_source,has_immutable_hash,has_quote_values,has_depth_values,has_no_post_expiry_rows,point_in_time_authority,proves_historical_contract_existence,blocker
/Users/madhuram/tradebot-ml-evidence/constituent-lead-lag-data-v1/proxy_campaign_2024_2025_v1/manifests/ambiguous_tickers.csv,/Users/madhuram/tradebot-ml-evidence/constituent-lead-lag-data-v1/proxy_campaign_2024_2025_v1/manifests/ambiguous_tickers.csv,01ba4719c80b6fe911b091a7c05124b64eeece964e09c058ef8f9805daca546b,unknown,unknown,0,0,0,False,False,False,False,False,False,False,True,False,False,False,False,False,NO_NIFTY_CE_PE_TOKEN_MATCH;NO_POINT_IN_TIME_INSTRUMENT_AUTHORITY;NO_POST_EXPIRY_PROOF_UNAVAILABLE_OR_FAILED;READ_FAILED:EmptyDataError
/Users/madhuram/tradebot-ml-evidence/constituent-lead-lag-data-v1/proxy_campaign_2024_2025_v1/manifests/ticker_resolution.csv,/Users/madhuram/tradebot-ml-evidence/constituent-lead-lag-data-v1/proxy_campaign_2024_2025_v1/manifests/ticker_resolution.csv,8ec27e7ee74e97e2593f42ba4136c902c62bea660a6d57234caca59aa6643e7c,unknown,unknown,1640,82,1,False,True,True,True,True,True,False,True,False,False,False,False,False,NO_POINT_IN_TIME_INSTRUMENT_AUTHORITY;NO_POST_EXPIRY_PROOF_UNAVAILABLE_OR_FAILED
/Users/madhuram/tradebot-ml-evidence/constituent-lead-lag-data-v1/proxy_campaign_2024_2025_v1/manifests/unresolved_tickers.csv,/Users/madhuram/tradebot-ml-evidence/constituent-lead-lag-data-v1/proxy_campaign_2024_2025_v1/manifests/unresolved_tickers.csv,01ba4719c80b6fe911b091a7c05124b64eeece964e09c058ef8f9805daca546b,unknown,unknown,0,0,0,False,False,False,False,False,False,False,True,False,False,False,False,False,NO_NIFTY_CE_PE_TOKEN_MATCH;NO_POINT_IN_TIME_INSTRUMENT_AUTHORITY;NO_POST_EXPIRY_PROOF_UNAVAILABLE_OR_FAILED;READ_FAILED:EmptyDataError
/Users/madhuram/tradebot-ml-evidence/constituent-lead-lag-data-v1/proxy_campaign_2024_2025_v2/manifests/ambiguous_tickers.csv,/Users/madhuram/tradebot-ml-evidence/constituent-lead-lag-data-v1/proxy_campaign_2024_2025_v2/manifests/ambiguous_tickers.csv,01ba4719c80b6fe911b091a7c05124b64eeece964e09c058ef8f9805daca546b,unknown,unknown,0,0,0,False,False,False,False,False,False,False,True,False,False,False,False,False,NO_NIFTY_CE_PE_TOKEN_MATCH;NO_POINT_IN_TIME_INSTRUMENT_AUTHORITY;NO_POST_EXPIRY_PROOF_UNAVAILABLE_OR_FAILED;READ_FAILED:EmptyDataError
/Users/madhuram/tradebot-ml-evidence/constituent-lead-lag-data-v1/proxy_campaign_2024_2025_v2/manifests/ticker_resolution.csv,/Users/madhuram/tradebot-ml-evidence/constituent-lead-lag-data-v1/proxy_campaign_2024_2025_v2/manifests/ticker_resolution.csv,8ec27e7ee74e97e2593f42ba4136c902c62bea660a6d57234caca59aa6643e7c,unknown,unknown,1640,82,1,False,True,True,True,True,True,False,True,False,False,False,False,False,NO_POINT_IN_TIME_INSTRUMENT_AUTHORITY;NO_POST_EXPIRY_PROOF_UNAVAILABLE_OR_FAILED
/Users/madhuram/tradebot-ml-evidence/constituent-lead-lag-data-v1/proxy_campaign_2024_2025_v2/manifests/unresolved_tickers.csv,/Users/madhuram/tradebot-ml-evidence/constituent-lead-lag-data-v1/proxy_campaign_2024_2025_v2/manifests/unresolved_tickers.csv,01ba4719c80b6fe911b091a7c05124b64eeece964e09c058ef8f9805daca546b,unknown,unknown,0,0,0,False,False,False,False,False,False,False,True,False,False,False,False,False,NO_NIFTY_CE_PE_TOKEN_MATCH;NO_POINT_IN_TIME_INSTRUMENT_AUTHORITY;NO_POST_EXPIRY_PROOF_UNAVAILABLE_OR_FAILED;READ_FAILED:EmptyDataError
/Users/madhuram/tradebot-ml-evidence/constituent-lead-lag-data-v1/reconstructed_nifty50_weights/normalized/ticker_map.csv,/Users/madhuram/tradebot-ml-evidence/constituent-lead-lag-data-v1/reconstructed_nifty50_weights/normalized/ticker_map.csv,4226c974125e9a3b7c73543030553423162dd684a8356c69831bbde6fb82cdfd,unknown,unknown,100,0,0,False,False,False,False,False,False,False,True,False,False,False,False,False,NO_NIFTY_CE_PE_TOKEN_MATCH;NO_POINT_IN_TIME_INSTRUMENT_AUTHORITY;NO_POST_EXPIRY_PROOF_UNAVAILABLE_OR_FAILED
configs/backtest_data_schema_examples/futures_candles.sample.csv,/Users/madhuram/tradebot-option-e2e-contract-reconstruction-v4/configs/backtest_data_schema_examples/futures_candles.sample.csv,7cd5dc71ed5313870a9fd5a995134e01a30f063dae4cea56d66ee23e22e8ec43,unknown,quote,1,0,0,True,True,True,False,False,False,False,True,True,False,False,False,False,NO_NIFTY_CE_PE_TOKEN_MATCH;NO_POINT_IN_TIME_INSTRUMENT_AUTHORITY;NO_POST_EXPIRY_PROOF_UNAVAILABLE_OR_FAILED
configs/backtest_data_schema_examples/index_candles.sample.csv,/Users/madhuram/tradebot-option-e2e-contract-reconstruction-v4/configs/backtest_data_schema_examples/index_candles.sample.csv,4c540e9c217fc281b89b7502454bc36b8ce6bbdfa3a2e6a10b314779431c570d,unknown,quote,1,0,0,True,True,True,False,False,False,False,True,True,False,False,False,False,NO_NIFTY_CE_PE_TOKEN_MATCH;NO_POINT_IN_TIME_INSTRUMENT_AUTHORITY;NO_POST_EXPIRY_PROOF_UNAVAILABLE_OR_FAILED
configs/backtest_data_schema_examples/option_chain_snapshot.sample.csv,/Users/madhuram/tradebot-option-e2e-contract-reconstruction-v4/configs/backtest_data_schema_examples/option_chain_snapshot.sample.csv,8e324b7595eb7437fe114923e28af5a9fe611c19bce29f02e53f7064e9baa292,unknown,unknown,1,0,0,True,False,False,False,False,False,False,True,False,False,False,False,False,NO_NIFTY_CE_PE_TOKEN_MATCH;NO_POINT_IN_TIME_INSTRUMENT_AUTHORITY;NO_POST_EXPIRY_PROOF_UNAVAILABLE_OR_FAILED
configs/backtest_data_schema_examples/options_eod.sample.csv,/Users/madhuram/tradebot-option-e2e-contract-reconstruction-v4/configs/backtest_data_schema_examples/options_eod.sample.csv,2577e7811a953e584291044e9b4234f00e58ea341ed1aafd630ead13a796b9f5,unknown,quote,1,0,0,False,False,False,False,False,False,False,True,True,False,False,False,False,NO_NIFTY_CE_PE_TOKEN_MATCH;NO_POINT_IN_TIME_INSTRUMENT_AUTHORITY;NO_POST_EXPIRY_PROOF_UNAVAILABLE_OR_FAILED
configs/backtest_data_schema_examples/options_intraday.sample.csv,/Users/madhuram/tradebot-option-e2e-contract-reconstruction-v4/configs/backtest_data_schema_examples/options_intraday.sample.csv,9159f2ec21ff4f5f2060cae92b3001698320be4e7fb16703640c1fda788f2258,unknown,quote,1,0,0,True,False,False,False,False,False,False,True,True,False,False,False,False,NO_NIFTY_CE_PE_TOKEN_MATCH;NO_POINT_IN_TIME_INSTRUMENT_AUTHORITY;NO_POST_EXPIRY_PROOF_UNAVAILABLE_OR_FAILED
runtime/market_data/upstox/20260713/ticks_1783918406.parquet,/Users/madhuram/tradebot-option-e2e-contract-reconstruction-v4/runtime/market_data/upstox/20260713/ticks_1783918406.parquet,aa5a4ace841e2d162e03024ff08c0b4ca076ddea430d2b9f858b6c9abb072e2b,upstox,quote,3996,1,0,True,True,False,False,False,False,True,True,True,False,False,False,False,NO_NIFTY_CE_PE_TOKEN_MATCH;NO_POINT_IN_TIME_INSTRUMENT_AUTHORITY;NO_POST_EXPIRY_PROOF_UNAVAILABLE_OR_FAILED
