average_r,development_profit_factor,exact_reason,expectancy_per_trade,final_verdict,gross_negative_points,gross_positive_points,holdout_profit_factor,index,losses,maximum_drawdown,monthly_stability,net_basis_points,net_points,pf_0_0bps,pf_10_0bps,pf_2_5bps,pf_5_0bps,profit_factor,quarterly_stability,ranking_eligibility,sessions,signals,strategy_id,trades,validation_profit_factor,win_rate,wins
,,NO_SIGNALS,,NO_SIGNALS,0,0,SEALED,BANKNIFTY,0,0.0,computed,0,0,,,,,,computed,False,493,0,COMPRESSION_BREAKOUT,0,,,0
-1.51558393994988,0.0854844254847287,NO_DIRECTIONAL_EDGE,-53.32575805620617,NO_DIRECTIONAL_EDGE,-17645.30518928571,1380.9489821428274,SEALED,BANKNIFTY,247,16190.125142857161,computed,-3024.2691038116,-16264.356207142882,1.0274034434247448,0.0038659182706439255,0.329378783222273,0.078261552709292,0.078261552709292,computed,False,493,305,EVENT_VOLATILITY_EXPANSION,305,0.05374386707400582,0.1901639344262295,58
-0.872704390643843,0.22067621051966815,INSUFFICIENT_SAMPLE,-67.23520394736857,INSUFFICIENT_SAMPLE,-1639.201692857142,361.7328178571391,SEALED,BANKNIFTY,13,1334.3157500000043,computed,-245.91022341994218,-1277.468875000003,0.695120970128272,0.024756217210037807,0.3965479727151133,0.22067621051966815,0.22067621051966815,computed,False,493,19,EXHAUSTION_REVERSAL,19,,0.3157894736842105,6
-1.282996612137206,0.14983677976511045,NO_DIRECTIONAL_EDGE,-49.99127610240515,NO_DIRECTIONAL_EDGE,-22360.064964285702,2763.4847321428824,SEALED,BANKNIFTY,292,19564.807860714234,computed,-3610.5658426855916,-19596.58023214282,1.1727133834297825,0.007136776954639235,0.41639562340953395,0.12359019245055054,0.12359019245055054,computed,False,493,392,FAILED_BREAKOUT_TRAP,392,0.04891491423215371,0.25510204081632654,100
-1.6362068334831876,0.05983014565721719,NO_DIRECTIONAL_EDGE,-58.15329714832366,NO_DIRECTIONAL_EDGE,-24009.444403571455,1213.3519214285795,SEALED,BANKNIFTY,322,22723.308817857178,computed,-4215.823163264731,-22796.092482142874,0.8310510640180689,0.0017888665675765331,0.2515256527111724,0.05053644311936226,0.05053644311936226,computed,False,493,392,LATE_DAY_MOMENTUM,392,0.023790321673987654,0.17857142857142858,70
-1.3808598751174392,0.08661894788795468,NO_DIRECTIONAL_EDGE,-55.31159852405245,NO_DIRECTIONAL_EDGE,-23511.641724999983,1829.4951035714246,SEALED,BANKNIFTY,311,21694.44722857143,computed,-4029.9094745018006,-21682.14662142856,0.9500921005309809,0.0024100817337303526,0.3194591126603918,0.07781230783327725,0.07781230783327725,computed,False,493,392,MEAN_REVERSION_EXTENSION,392,0.04909276254700876,0.2066326530612245,81
,,NO_SIGNALS,,NO_SIGNALS,0,0,SEALED,BANKNIFTY,0,0.0,computed,0,0,,,,,,computed,False,493,0,OPENING_DRIVE,0,,,0
-1.1959658542555296,0.141531688332109,NO_DIRECTIONAL_EDGE,-51.878794047619074,NO_DIRECTIONAL_EDGE,-21317.90685357142,2641.540996428555,SEALED,BANKNIFTY,265,18592.50179285715,computed,-3463.189433063216,-18676.365857142868,1.083674917365101,0.007112711252707134,0.3983445450405254,0.12391183686901294,0.12391183686901294,computed,False,493,360,OPENING_RANGE_BREAKOUT,360,0.06410406617961668,0.2638888888888889,95
,,historical_option_pressure_features_unavailable,,DATA_BLOCKED_REQUIRED_OPTION_FEATURE,,,SEALED,BANKNIFTY,,,,,,,,,,,,False,493,0,OPTION_PRESSURE,0,,,
-1.1959658542555296,0.141531688332109,NO_DIRECTIONAL_EDGE,-51.878794047619074,NO_DIRECTIONAL_EDGE,-21317.90685357142,2641.540996428555,SEALED,BANKNIFTY,265,18592.50179285715,computed,-3463.189433063216,-18676.365857142868,1.083674917365101,0.007112711252707134,0.3983445450405254,0.12391183686901294,0.12391183686901294,computed,False,493,360,SIMPLE_ORB,360,0.06410406617961668,0.2638888888888889,95
-1.2152597597574373,0.18068555533346853,NO_DIRECTIONAL_EDGE,-50.04722482689503,NO_DIRECTIONAL_EDGE,-23193.266724999983,3574.754592857129,SEALED,BANKNIFTY,278,19645.399764285714,computed,-3609.7269122904595,-19618.512132142852,1.1584186108429533,0.011309936228574412,0.4437155589855394,0.1541289821413517,0.1541289821413517,computed,False,493,392,TREND_PULLBACK,392,0.07904816181978634,0.29081632653061223,114
-1.4534992395664823,0.0945026622132851,NO_DIRECTIONAL_EDGE,-56.29244291175194,NO_DIRECTIONAL_EDGE,-20116.395274999995,1708.7664428571113,SEALED,BANKNIFTY,261,18327.213975000028,computed,-3428.542129362033,-18407.628832142884,0.907015837073248,0.005622159424054781,0.311293913052442,0.0849439683152732,0.0849439683152732,computed,False,493,327,VWAP_RECLAIM,327,0.05102711026646728,0.2018348623853211,66
,,NO_SIGNALS,,NO_SIGNALS,0,0,SEALED,NIFTY,0,0.0,computed,0,0,,,,,,computed,False,493,0,COMPRESSION_BREAKOUT,0,,,0
-1.8708338591010099,0.05259775777738625,NO_DIRECTIONAL_EDGE,-23.835553765645216,NO_DIRECTIONAL_EDGE,-8231.921185714284,342.3528892857181,SEALED,NIFTY,299,7884.344228571424,computed,-3198.0371843077974,-7889.568296428566,1.105910676662818,0.0013392288192657883,0.2566127081861877,0.0415884556669273,0.0415884556669273,computed,False,493,331,EVENT_VOLATILITY_EXPANSION,331,0.009942611656921401,0.09667673716012085,32
-1.2102694622603136,0.06235104273045811,INSUFFICIENT_SAMPLE,-38.93637525510186,INSUFFICIENT_SAMPLE,-577.4978928571442,32.38863928571813,SEALED,NIFTY,11,564.2178999999986,computed,-222.64144099511378,-545.109253571426,0.3631733328859495,0.0,0.15491638735027494,0.056084428508434606,0.056084428508434606,computed,False,493,14,EXHAUSTION_REVERSAL,14,0.0,0.21428571428571427,3
-1.687520399208225,0.06500917796352207,NO_DIRECTIONAL_EDGE,-23.807318066691035,NO_DIRECTIONAL_EDGE,-9959.128000000013,626.6593178571289,SEALED,NIFTY,329,9295.962110714327,computed,-3784.53134955818,-9332.468682142886,1.094649472991052,0.001951106769902812,0.29815211571851086,0.06292311112550497,0.06292311112550497,computed,False,493,392,FAILED_BREAKOUT_TRAP,392,0.05623107279814799,0.16071428571428573,63
-1.9462630134302445,0.0455739882101805,NO_DIRECTIONAL_EDGE,-24.788175391763872,NO_DIRECTIONAL_EDGE,-10071.75220357142,354.7874499999818,SEALED,NIFTY,351,9704.717160714288,computed,-3935.811510056928,-9716.964753571438,0.985302072861312,0.0016386111041824666,0.22766500514626548,0.0352259907540393,0.0352259907540393,computed,False,493,392,LATE_DAY_MOMENTUM,392,0.006441126813397305,0.10459183673469388,41
-1.9436906851369586,0.0398318842733468,NO_DIRECTIONAL_EDGE,-27.199574134475185,NO_DIRECTIONAL_EDGE,-11037.309957142857,375.0768964285863,SEALED,NIFTY,360,10629.067742857123,computed,-4332.3508980584675,-10662.233060714272,0.7441693759012156,0.0015817640136563129,0.17461221547511435,0.03398263688208313,0.03398263688208313,computed,False,493,392,MEAN_REVERSION_EXTENSION,392,0.016584210726290908,0.08163265306122448,32
,,NO_SIGNALS,,NO_SIGNALS,0,0,SEALED,NIFTY,0,0.0,computed,0,0,,,,,,computed,False,493,0,OPENING_DRIVE,0,,,0
-1.5341563917853436,0.08406292494462028,NO_DIRECTIONAL_EDGE,-23.261219813156817,NO_DIRECTIONAL_EDGE,-9140.005960714283,603.1382892857312,SEALED,NIFTY,299,8531.560871428546,computed,-3456.396685497616,-8536.867671428552,1.15426924951827,0.0003142915623844584,0.32349771885843953,0.06598882887802805,0.06598882887802805,computed,False,493,367,OPENING_RANGE_BREAKOUT,367,0.01297047789983502,0.18528610354223432,68
,,historical_option_pressure_features_unavailable,,DATA_BLOCKED_REQUIRED_OPTION_FEATURE,,,SEALED,NIFTY,,,,,,,,,,,,False,493,0,OPTION_PRESSURE,0,,,
-1.5341563917853436,0.08406292494462028,NO_DIRECTIONAL_EDGE,-23.261219813156817,NO_DIRECTIONAL_EDGE,-9140.005960714283,603.1382892857312,SEALED,NIFTY,299,8531.560871428546,computed,-3456.396685497616,-8536.867671428552,1.15426924951827,0.0003142915623844584,0.32349771885843953,0.06598882887802805,0.06598882887802805,computed,False,493,367,SIMPLE_ORB,367,0.01297047789983502,0.18528610354223432,68
-1.6661314289753686,0.05709625404356814,NO_DIRECTIONAL_EDGE,-25.46510789905259,NO_DIRECTIONAL_EDGE,-10613.651350000036,631.3290535714209,SEALED,NIFTY,330,9958.334046428614,computed,-4057.284391809508,-9982.322296428616,0.9206920244253317,0.0013076737890272184,0.266242672997945,0.05948273904544817,0.05948273904544817,computed,False,493,392,TREND_PULLBACK,392,0.06872004080831452,0.15816326530612246,62
-1.7897900637672137,0.06691615527899321,NO_DIRECTIONAL_EDGE,-23.934764497180435,NO_DIRECTIONAL_EDGE,-7728.500339285697,452.33193214284483,SEALED,NIFTY,256,7235.868942857145,computed,-2967.172493361695,-7276.168407142853,1.0779405691582689,0.0018119565508235664,0.28205770494169,0.05852777541375529,0.05852777541375529,computed,False,493,304,VWAP_RECLAIM,304,0.0315132313965905,0.15789473684210525,48
,,NO_SIGNALS,,NO_SIGNALS,0,0,SEALED,SENSEX,0,0.0,computed,0,0,,,,,,computed,False,493,0,COMPRESSION_BREAKOUT,0,,,0
-1.9396744637535497,0.042358260339487495,NO_DIRECTIONAL_EDGE,-77.77849504385978,NO_DIRECTIONAL_EDGE,-27596.616210714335,996.3709057142927,SEALED,SENSEX,307,26521.755945000055,computed,-3282.052215358273,-26600.245305000044,1.1271002440216034,0.0003562569649246587,0.24655152751778417,0.03610482162401684,0.03610482162401684,computed,False,493,342,EVENT_VOLATILITY_EXPANSION,342,0.0184920240998651,0.1023391812865497,35
-1.3158987696428512,0.04338178880770583,INSUFFICIENT_SAMPLE,-132.0079377619072,INSUFFICIENT_SAMPLE,-2061.787857142879,81.66879071427125,SEALED,SENSEX,12,1796.4035464286076,computed,-245.78099075606352,-1980.1190664286078,0.3026360506452867,0.0,0.12523235890741052,0.03961066626294119,0.03961066626294119,computed,False,493,15,EXHAUSTION_REVERSAL,15,0.0,0.2,3
-1.716599680543171,0.04289298117486017,NO_DIRECTIONAL_EDGE,-80.10543853498515,NO_DIRECTIONAL_EDGE,-32814.48486499998,1413.152959285798,SEALED,SENSEX,339,31362.718729285658,computed,-3873.7166200046745,-31401.33190571418,1.0270337524974524,0.0021319073637357756,0.25799219580210414,0.04306491371415893,0.04306491371415893,computed,False,493,392,FAILED_BREAKOUT_TRAP,392,0.043601677225694135,0.13520408163265307,53
-2.0662084006787813,0.03125635702165403,NO_DIRECTIONAL_EDGE,-82.83252094023331,NO_DIRECTIONAL_EDGE,-33320.88587571434,850.5376671428812,SEALED,SENSEX,355,32360.199725714327,computed,-4008.347991003712,-32470.348208571457,0.928693136527345,0.0008516420424090454,0.19434183097531885,0.02552566190212814,0.02552566190212814,computed,False,493,392,LATE_DAY_MOMENTUM,392,0.009570671760036495,0.09438775510204081,37
-1.894908565297284,0.03273631172303537,NO_DIRECTIONAL_EDGE,-85.82062843259064,NO_DIRECTIONAL_EDGE,-34622.10560214294,1066.2398850000018,SEALED,SENSEX,353,33433.06639714293,computed,-4157.363059693865,-33555.86571714294,0.8376116754819743,0.0010617491474461797,0.1861977815927402,0.030796506060394163,0.030796506060394163,computed,False,493,391,MEAN_REVERSION_EXTENSION,391,0.024826330782871057,0.09718670076726342,38
