session_date,one_minute_rows,five_minute_rows,expected_1m_rows,expected_5m_rows,missing_1m_bars,status
2024-09-26,375,75,375,75,0,COMPLETE
2024-09-27,375,75,375,75,0,COMPLETE
2024-09-30,375,75,375,75,0,COMPLETE
2024-10-01,375,75,375,75,0,COMPLETE
2024-10-03,375,75,375,75,0,COMPLETE
2024-10-04,375,75,375,75,0,COMPLETE
2024-10-07,375,75,375,75,0,COMPLETE
2024-10-08,375,75,375,75,0,COMPLETE
2024-10-09,375,75,375,75,0,COMPLETE
2024-10-10,375,75,375,75,0,COMPLETE
2024-10-11,375,75,375,75,0,COMPLETE
2024-10-14,375,75,375,75,0,COMPLETE
2024-10-15,375,75,375,75,0,COMPLETE
2024-10-16,375,75,375,75,0,COMPLETE
2024-10-17,375,75,375,75,0,COMPLETE
2024-10-18,375,75,375,75,0,COMPLETE
2024-10-21,375,75,375,75,0,COMPLETE
2024-10-22,375,75,375,75,0,COMPLETE
2024-10-23,375,75,375,75,0,COMPLETE
2024-10-24,375,75,375,75,0,COMPLETE
2024-10-25,375,75,375,75,0,COMPLETE
2024-10-28,375,75,375,75,0,COMPLETE
2024-10-29,375,75,375,75,0,COMPLETE
2024-10-30,375,75,375,75,0,COMPLETE
2024-10-31,375,75,375,75,0,COMPLETE
2024-11-01,60,12,60,12,0,COMPLETE
2024-11-04,375,75,375,75,0,COMPLETE
2024-11-05,375,75,375,75,0,COMPLETE
2024-11-06,375,75,375,75,0,COMPLETE
2024-11-07,375,75,375,75,0,COMPLETE
2024-11-08,375,75,375,75,0,COMPLETE
2024-11-11,375,75,375,75,0,COMPLETE
2024-11-12,375,75,375,75,0,COMPLETE
2024-11-13,375,75,375,75,0,COMPLETE
2024-11-14,375,75,375,75,0,COMPLETE
2024-11-18,375,75,375,75,0,COMPLETE
2024-11-19,375,75,375,75,0,COMPLETE
2024-11-21,375,75,375,75,0,COMPLETE
2024-11-22,375,75,375,75,0,COMPLETE
2024-11-25,375,75,375,75,0,COMPLETE
2024-11-26,375,75,375,75,0,COMPLETE
2024-11-27,375,75,375,75,0,COMPLETE
2024-11-28,375,75,375,75,0,COMPLETE
2024-11-29,375,75,375,75,0,COMPLETE
2024-12-02,375,75,375,75,0,COMPLETE
2024-12-03,375,75,375,75,0,COMPLETE
2024-12-04,375,75,375,75,0,COMPLETE
2024-12-05,375,75,375,75,0,COMPLETE
2024-12-06,375,75,375,75,0,COMPLETE
2024-12-09,375,75,375,75,0,COMPLETE
2024-12-10,375,75,375,75,0,COMPLETE
2024-12-11,375,75,375,75,0,COMPLETE
2024-12-13,375,75,375,75,0,COMPLETE
2024-12-16,375,75,375,75,0,COMPLETE
2024-12-17,375,75,375,75,0,COMPLETE
2024-12-18,375,75,375,75,0,COMPLETE
2024-12-19,375,75,375,75,0,COMPLETE
2024-12-20,375,75,375,75,0,COMPLETE
2024-12-23,375,75,375,75,0,COMPLETE
2024-12-24,375,75,375,75,0,COMPLETE
2024-12-26,375,75,375,75,0,COMPLETE
2024-12-27,375,75,375,75,0,COMPLETE
2024-12-30,375,75,375,75,0,COMPLETE
2024-12-31,375,75,375,75,0,COMPLETE
2025-01-01,375,75,375,75,0,COMPLETE
2025-01-02,375,75,375,75,0,COMPLETE
2025-01-03,375,75,375,75,0,COMPLETE
2025-01-06,375,75,375,75,0,COMPLETE
2025-01-07,375,75,375,75,0,COMPLETE
2025-01-08,375,75,375,75,0,COMPLETE
2025-01-09,375,75,375,75,0,COMPLETE
2025-01-10,375,75,375,75,0,COMPLETE
2025-01-13,375,75,375,75,0,COMPLETE
2025-01-14,375,75,375,75,0,COMPLETE
2025-01-15,375,75,375,75,0,COMPLETE
2025-01-16,375,75,375,75,0,COMPLETE
2025-01-17,375,75,375,75,0,COMPLETE
2025-01-20,375,75,375,75,0,COMPLETE
2025-01-21,375,75,375,75,0,COMPLETE
2025-01-22,375,75,375,75,0,COMPLETE
2025-01-23,375,75,375,75,0,COMPLETE
2025-01-24,375,75,375,75,0,COMPLETE
2025-01-27,375,75,375,75,0,COMPLETE
2025-01-28,375,75,375,75,0,COMPLETE
2025-01-29,375,75,375,75,0,COMPLETE
2025-01-30,375,75,375,75,0,COMPLETE
2025-01-31,375,75,375,75,0,COMPLETE
2025-02-03,375,75,375,75,0,COMPLETE
2025-02-04,375,75,375,75,0,COMPLETE
2025-02-05,375,75,375,75,0,COMPLETE
2025-02-06,375,75,375,75,0,COMPLETE
2025-02-07,375,75,375,75,0,COMPLETE
2025-02-10,375,75,375,75,0,COMPLETE
2025-02-11,375,75,375,75,0,COMPLETE
2025-02-12,375,75,375,75,0,COMPLETE
2025-02-13,375,75,375,75,0,COMPLETE
2025-02-14,375,75,375,75,0,COMPLETE
2025-02-17,375,75,375,75,0,COMPLETE
2025-02-18,375,75,375,75,0,COMPLETE
2025-02-19,375,75,375,75,0,COMPLETE
2025-02-20,375,75,375,75,0,COMPLETE
2025-02-21,375,75,375,75,0,COMPLETE
2025-02-24,375,75,375,75,0,COMPLETE
2025-02-25,375,75,375,75,0,COMPLETE
2025-02-27,375,75,375,75,0,COMPLETE
2025-02-28,375,75,375,75,0,COMPLETE
2025-03-03,375,75,375,75,0,COMPLETE
2025-03-04,375,75,375,75,0,COMPLETE
2025-03-05,375,75,375,75,0,COMPLETE
2025-03-06,375,75,375,75,0,COMPLETE
2025-03-07,375,75,375,75,0,COMPLETE
2025-03-10,375,75,375,75,0,COMPLETE
2025-03-11,375,75,375,75,0,COMPLETE
2025-03-12,375,75,375,75,0,COMPLETE
2025-03-13,375,75,375,75,0,COMPLETE
2025-03-17,375,75,375,75,0,COMPLETE
2025-03-18,375,75,375,75,0,COMPLETE
2025-03-19,375,75,375,75,0,COMPLETE
2025-03-20,375,75,375,75,0,COMPLETE
2025-03-21,375,75,375,75,0,COMPLETE
2025-03-24,375,75,375,75,0,COMPLETE
2025-03-26,375,75,375,75,0,COMPLETE
2025-03-27,375,75,375,75,0,COMPLETE
2025-03-28,375,75,375,75,0,COMPLETE
2025-04-01,375,75,375,75,0,COMPLETE
2025-04-02,375,75,375,75,0,COMPLETE
2025-04-03,375,75,375,75,0,COMPLETE
2025-04-07,375,75,375,75,0,COMPLETE
2025-04-08,375,75,375,75,0,COMPLETE
2025-04-09,375,75,375,75,0,COMPLETE
2025-04-11,375,75,375,75,0,COMPLETE
2025-04-15,375,75,375,75,0,COMPLETE
2025-04-16,375,75,375,75,0,COMPLETE
