strategy,module,callable,required_inputs,available_inputs,missing_inputs,capability_bucket,reason,test_mode
nifty_intraday.generate_signal,strategies.nifty_intraday,generate_signal,close|vwap|bias|regime,atr_proxy|close|date|high|instrument|low|open|orb_proxy|regime_proxy|rsi_proxy|time|vix|volume|vwap_proxy,,PARTIAL_PROXY,VWAP uses expanding typical-price proxy because volume is zero/missing,INVALID_VOLUME_PROXY
banknifty_intraday.generate_signal,strategies.banknifty_intraday,generate_signal,close|vwap|bias|regime,atr_proxy|close|date|high|instrument|low|open|orb_proxy|regime_proxy|rsi_proxy|time|vix|volume|vwap_proxy,,PARTIAL_PROXY,VWAP uses expanding typical-price proxy because volume is zero/missing,INVALID_VOLUME_PROXY
sensex_intraday.generate_signal,strategies.sensex_intraday,generate_signal,close|vwap|bias|regime,atr_proxy|close|date|high|instrument|low|open|orb_proxy|regime_proxy|rsi_proxy|time|vix|volume|vwap_proxy,,PARTIAL_PROXY,VWAP uses expanding typical-price proxy because volume is zero/missing,INVALID_VOLUME_PROXY
vwap_orb_strategy,strategies.vwap_orb,vwap_orb_strategy,close|vwap|volume/CVD|option_contract_proxy,atr_proxy|close|date|high|instrument|low|open|orb_proxy|regime_proxy|rsi_proxy|time|vix|volume|vwap_proxy,option_ltp|bid_ask_spread|zero_volume,UNSUPPORTED_EXECUTABLE,emits option trade shape but available data has no option truth,SKIP_PNL
volatility_scaled_trend_strategy,strategies.volatility_trend,volatility_scaled_trend_strategy,close|vwap|atr|option_contract_proxy,atr_proxy|close|date|high|instrument|low|open|orb_proxy|regime_proxy|rsi_proxy|time|vix|volume|vwap_proxy,option_ltp,UNSUPPORTED_EXECUTABLE,option premium is derived from index price,SKIP_PNL
zero_hero_strategy,strategies.zero_hero,zero_hero_strategy,close|bias|expiry|option_premium,atr_proxy|close|date|high|instrument|low|open|orb_proxy|regime_proxy|rsi_proxy|time|vix|volume|vwap_proxy,option_ltp,UNSUPPORTED_EXECUTABLE,manual option-premium advisory without option LTP,SKIP_PNL
ensemble.trend_vwap_signal,strategies.ensemble,trend_vwap_signal,close|vwap|vwap_slope|atr,atr_proxy|close|date|high|instrument|low|open|orb_proxy|regime_proxy|rsi_proxy|time|vix|volume|vwap_proxy,,PARTIAL_PROXY,VWAP uses expanding typical-price proxy because volume is zero/missing,INVALID_VOLUME_PROXY
ensemble.mean_reversion_signal,strategies.ensemble,mean_reversion_signal,close|vwap|rsi_mom,atr_proxy|close|date|high|instrument|low|open|orb_proxy|regime_proxy|rsi_proxy|time|vix|volume|vwap_proxy,,PARTIAL_PROXY,VWAP uses expanding typical-price proxy because volume is zero/missing,INVALID_VOLUME_PROXY
ensemble.orb_breakout_signal,strategies.ensemble,orb_breakout_signal,close|orb_high|orb_low|volume_z,atr_proxy|close|date|high|instrument|low|open|orb_proxy|regime_proxy|rsi_proxy|time|vix|volume|vwap_proxy,zero_volume,PARTIAL_PROXY,volume-dependent input is unavailable or invalid,INVALID_VOLUME_PROXY
ensemble.event_breakout_signal,strategies.ensemble,event_breakout_signal,close|atr|ltp_change_window,atr_proxy|close|date|high|instrument|low|open|orb_proxy|regime_proxy|rsi_proxy|time|vix|volume|vwap_proxy,,SUPPORTED_PROXY,required directional inputs are available as index OHLC proxies,DIRECTIONAL_PROXY
ensemble.micro_pattern_signal,strategies.ensemble,micro_pattern_signal,ltp_change_5m|ltp_change_10m,atr_proxy|close|date|high|instrument|low|open|orb_proxy|regime_proxy|rsi_proxy|time|vix|volume|vwap_proxy,,SUPPORTED_PROXY,required directional inputs are available as index OHLC proxies,DIRECTIONAL_PROXY
ensemble.ensemble_signal,strategies.ensemble,ensemble_signal,close|vwap|atr|orb|regime,atr_proxy|close|date|high|instrument|low|open|orb_proxy|regime_proxy|rsi_proxy|time|vix|volume|vwap_proxy,zero_volume,PARTIAL_PROXY,VWAP uses expanding typical-price proxy because volume is zero/missing,INVALID_VOLUME_PROXY
pairs_arbitrage.generate_signal,strategies.pairs_arbitrage,generate_signal,NIFTY close|BANKNIFTY close|history,atr_proxy|close|date|high|instrument|low|open|orb_proxy|regime_proxy|rsi_proxy|time|vix|volume|vwap_proxy,,SUPPORTED_PROXY,required directional inputs are available as index OHLC proxies,DIRECTIONAL_PROXY
