signal_timestamp,regime,volatility_expansion_metrics,theoretical_entry,actual_option_selected,bid,ask,spread,midpoint,paper_fill,MFE,MAE,exit_reason,expected_R,realized_R
2022-07-01 11:30:00,VOL_EXPANSION,VALID,150.0,NIFTY_ATM_CE,149.46,150.54,1.08,150.0,150.54,0.0,5.73,STOP_LOSS,-1.0,-1.22
2022-07-01 12:00:00,VOL_EXPANSION,VALID,150.0,NIFTY_ATM_CE,149.46,150.54,1.08,150.0,150.54,51.88,5.18,TARGET,2.0,1.95
2022-07-01 12:30:00,VOL_EXPANSION,VALID,150.0,NIFTY_ATM_CE,149.54,150.46,0.92,150.0,150.46,0.0,6.8,STOP_LOSS,-1.0,-1.18
2022-07-01 12:45:00,VOL_EXPANSION,VALID,150.0,NIFTY_ATM_CE,149.55,150.45,0.9,150.0,150.45,14.18,5.07,TARGET,2.0,1.87
2022-07-01 13:00:00,VOL_EXPANSION,VALID,150.0,NIFTY_ATM_CE,149.54,150.46,0.93,150.0,150.46,34.6,12.23,TARGET,2.0,1.93
2022-07-01 13:15:00,VOL_EXPANSION,VALID,150.0,NIFTY_ATM_CE,149.54,150.46,0.91,150.0,150.46,9.32,16.07,STOP_LOSS,-1.0,-1.07
2022-07-01 13:30:00,VOL_EXPANSION,VALID,150.0,NIFTY_ATM_CE,149.52,150.48,0.96,150.0,150.48,0.15,5.5,STOP_LOSS,-1.0,-1.19
2022-07-01 13:45:00,VOL_EXPANSION,VALID,150.0,NIFTY_ATM_CE,149.57,150.43,0.86,150.0,150.43,2.55,22.05,STOP_LOSS,-1.0,-1.04
2022-07-01 14:00:00,VOL_EXPANSION,VALID,150.0,NIFTY_ATM_CE,149.58,150.42,0.83,150.0,150.42,9.0,9.98,STOP_LOSS,-1.0,-1.17
2022-07-01 14:15:00,VOL_EXPANSION,VALID,150.0,NIFTY_ATM_CE,149.49,150.51,1.01,150.0,150.51,10.03,0.0,TARGET,2.0,1.8
2022-07-01 14:30:00,VOL_EXPANSION,VALID,150.0,NIFTY_ATM_CE,149.51,150.49,0.98,150.0,150.49,3.62,7.32,STOP_LOSS,-1.0,-1.18
2022-07-05 10:30:00,VOL_EXPANSION,VALID,150.0,NIFTY_ATM_CE,149.56,150.44,0.88,150.0,150.44,20.1,0.32,TARGET,2.0,1.91
2022-07-05 10:45:00,VOL_EXPANSION,VALID,150.0,NIFTY_ATM_CE,149.49,150.51,1.02,150.0,150.51,14.82,8.45,STOP_LOSS,-1.0,-1.13
2022-07-05 11:00:00,VOL_EXPANSION,VALID,150.0,NIFTY_ATM_CE,149.5,150.5,1.0,150.0,150.5,0.0,8.8,STOP_LOSS,-1.0,-1.14
2022-07-05 11:15:00,VOL_EXPANSION,VALID,150.0,NIFTY_ATM_CE,149.6,150.4,0.81,150.0,150.4,13.55,1.1,TARGET,2.0,1.84
2022-07-05 11:30:00,VOL_EXPANSION,VALID,150.0,NIFTY_ATM_CE,149.56,150.44,0.88,150.0,150.44,7.7,14.88,STOP_LOSS,-1.0,-1.06
2022-07-05 11:45:00,VOL_EXPANSION,VALID,150.0,NIFTY_ATM_CE,149.57,150.43,0.86,150.0,150.43,0.0,8.82,STOP_LOSS,-1.0,-1.12
2022-07-05 12:00:00,VOL_EXPANSION,VALID,150.0,NIFTY_ATM_CE,149.53,150.47,0.94,150.0,150.47,7.1,5.3,STOP_LOSS,-1.0,-1.19
2022-07-05 12:15:00,VOL_EXPANSION,VALID,150.0,NIFTY_ATM_CE,149.54,150.46,0.92,150.0,150.46,5.25,7.15,STOP_LOSS,-1.0,-1.18
2022-07-05 12:30:00,VOL_EXPANSION,VALID,150.0,NIFTY_ATM_CE,149.46,150.54,1.08,150.0,150.54,0.5,6.5,STOP_LOSS,-1.0,-1.22
2022-07-05 12:45:00,VOL_EXPANSION,VALID,150.0,NIFTY_ATM_CE,149.59,150.41,0.81,150.0,150.41,9.18,5.47,STOP_LOSS,-1.0,-1.16
2022-07-05 13:00:00,VOL_EXPANSION,VALID,150.0,NIFTY_ATM_CE,149.48,150.52,1.05,150.0,150.52,5.6,6.73,STOP_LOSS,-1.0,-1.21
2022-07-05 13:15:00,VOL_EXPANSION,VALID,150.0,NIFTY_ATM_CE,149.46,150.54,1.09,150.0,150.54,6.65,7.27,STOP_LOSS,-1.0,-1.22
2022-07-05 14:00:00,VOL_EXPANSION,VALID,150.0,NIFTY_ATM_PE,149.56,150.44,0.89,150.0,150.44,46.57,7.43,EOD_SQUAREOFF,0.89,0.87
2022-07-05 14:15:00,VOL_EXPANSION,VALID,150.0,NIFTY_ATM_PE,149.48,150.52,1.05,150.0,150.52,35.92,12.4,EOD_SQUAREOFF,1.02,0.96
2022-07-05 14:30:00,VOL_EXPANSION,VALID,150.0,NIFTY_ATM_PE,149.6,150.4,0.81,150.0,150.4,3.55,5.88,STOP_LOSS,-1.0,-1.16
2022-08-04 10:15:00,VOL_EXPANSION,VALID,150.0,NIFTY_ATM_PE,149.55,150.45,0.9,150.0,150.45,37.38,6.62,TARGET,2.0,1.95
2022-08-04 10:30:00,VOL_EXPANSION,VALID,150.0,NIFTY_ATM_PE,149.49,150.51,1.01,150.0,150.51,27.35,10.25,TARGET,2.0,1.92
2022-08-04 10:45:00,VOL_EXPANSION,VALID,150.0,NIFTY_ATM_PE,149.47,150.53,1.06,150.0,150.53,0.58,9.7,STOP_LOSS,-1.0,-1.18
2022-08-04 11:00:00,VOL_EXPANSION,VALID,150.0,NIFTY_ATM_PE,149.46,150.54,1.07,150.0,150.54,21.27,0.58,TARGET,2.0,1.86
2022-08-04 11:15:00,VOL_EXPANSION,VALID,150.0,NIFTY_ATM_PE,149.47,150.53,1.05,150.0,150.53,35.52,0.0,TARGET,2.0,1.94
2022-08-04 11:30:00,VOL_EXPANSION,VALID,150.0,NIFTY_ATM_PE,149.56,150.44,0.87,150.0,150.44,68.33,49.2,STOP_LOSS,-1.0,-1.02
2022-08-04 11:45:00,VOL_EXPANSION,VALID,150.0,NIFTY_ATM_PE,149.46,150.54,1.08,150.0,150.54,35.43,41.07,STOP_LOSS,-1.0,-1.03
2022-08-04 12:00:00,VOL_EXPANSION,VALID,150.0,NIFTY_ATM_PE,149.47,150.53,1.06,150.0,150.53,0.0,19.5,STOP_LOSS,-1.0,-1.07
