signal_timestamp,theoretical_entry,paper_fill,expected_R,realized_R,MFE
2022-07-01 11:30:00,150.0,150.54,-1.0,-1.22,0.0
2022-07-01 12:00:00,150.0,150.54,2.0,1.95,51.88
2022-07-01 12:30:00,150.0,150.46,-1.0,-1.18,0.0
2022-07-01 12:45:00,150.0,150.45,2.0,1.87,14.18
2022-07-01 13:00:00,150.0,150.46,2.0,1.93,34.6
2022-07-01 13:15:00,150.0,150.46,-1.0,-1.07,9.32
2022-07-01 13:30:00,150.0,150.48,-1.0,-1.19,0.15
2022-07-01 13:45:00,150.0,150.43,-1.0,-1.04,2.55
2022-07-01 14:00:00,150.0,150.42,-1.0,-1.17,9.0
2022-07-01 14:15:00,150.0,150.51,2.0,1.8,10.03
2022-07-01 14:30:00,150.0,150.49,-1.0,-1.18,3.62
2022-07-05 10:30:00,150.0,150.44,2.0,1.91,20.1
2022-07-05 10:45:00,150.0,150.51,-1.0,-1.13,14.82
2022-07-05 11:00:00,150.0,150.5,-1.0,-1.14,0.0
2022-07-05 11:15:00,150.0,150.4,2.0,1.84,13.55
2022-07-05 11:30:00,150.0,150.44,-1.0,-1.06,7.7
2022-07-05 11:45:00,150.0,150.43,-1.0,-1.12,0.0
2022-07-05 12:00:00,150.0,150.47,-1.0,-1.19,7.1
2022-07-05 12:15:00,150.0,150.46,-1.0,-1.18,5.25
2022-07-05 12:30:00,150.0,150.54,-1.0,-1.22,0.5
2022-07-05 12:45:00,150.0,150.41,-1.0,-1.16,9.18
2022-07-05 13:00:00,150.0,150.52,-1.0,-1.21,5.6
2022-07-05 13:15:00,150.0,150.54,-1.0,-1.22,6.65
2022-07-05 14:00:00,150.0,150.44,0.89,0.87,46.57
2022-07-05 14:15:00,150.0,150.52,1.02,0.96,35.92
2022-07-05 14:30:00,150.0,150.4,-1.0,-1.16,3.55
2022-08-04 10:15:00,150.0,150.45,2.0,1.95,37.38
2022-08-04 10:30:00,150.0,150.51,2.0,1.92,27.35
2022-08-04 10:45:00,150.0,150.53,-1.0,-1.18,0.58
2022-08-04 11:00:00,150.0,150.54,2.0,1.86,21.27
2022-08-04 11:15:00,150.0,150.53,2.0,1.94,35.52
2022-08-04 11:30:00,150.0,150.44,-1.0,-1.02,68.33
2022-08-04 11:45:00,150.0,150.54,-1.0,-1.03,35.43
2022-08-04 12:00:00,150.0,150.53,-1.0,-1.07,0.0
2022-08-04 12:15:00,150.0,150.51,2.0,1.79,13.85
2022-08-04 12:30:00,150.0,150.54,-1.0,-1.08,7.7
2022-08-04 12:45:00,150.0,150.41,-1.0,-1.17,4.4
2022-08-04 13:00:00,150.0,150.53,-1.0,-1.21,0.0
2022-08-04 13:15:00,150.0,150.47,-1.0,-1.05,23.45
2022-08-04 13:30:00,150.0,150.43,2.0,1.83,13.48
2022-08-04 13:45:00,150.0,150.48,-1.0,-1.19,2.58
