strategy,window,trades,expectancy
TrendContinuation_EMA_PULLBACK,2022Q3,38,-0.41277891349073387
TrendContinuation_EMA_PULLBACK,2022Q4,17,0.3734709187112674
TrendContinuation_EMA_PULLBACK,2023Q2,17,-0.20549833668478232
TrendContinuation_EMA_PULLBACK,2026Q2,14,-0.24255522034353258
TrendContinuation_OPENING_DRIVE,2022Q3,38,-0.22593789008728857
TrendContinuation_OPENING_DRIVE,2022Q4,14,-0.41598135271866293
TrendContinuation_OPENING_DRIVE,2023Q2,9,-0.2813963365588278
TrendContinuation_OPENING_DRIVE,2026Q2,4,-0.4128269235278514
TrendContinuation_VWAP_RECLAIM,2026Q2,1,-1.0980872976949339
TrendContinuation_PDH_PDL,2022Q3,5,0.4597563523575589
TrendContinuation_PDH_PDL,2022Q4,5,-0.6727695140155173
TrendContinuation_PDH_PDL,2023Q2,1,1.5402298850573175
TrendContinuation_PDH_PDL,2026Q2,5,-0.5025906726575011
TrendContinuation_BREAK_AND_RETEST,2022Q3,5,0.5167778674542423
TrendContinuation_BREAK_AND_RETEST,2022Q4,4,0.26821135185515244
TrendContinuation_BREAK_AND_RETEST,2023Q1,2,-1.2267180475272768
TrendContinuation_BREAK_AND_RETEST,2023Q2,1,1.7674418604651754
TrendContinuation_BREAK_AND_RETEST,2026Q2,5,0.058124989620187376
