expired_instrument_key,expiry,option_type,strike,timestamp,session,minute_of_day,days_to_expiry,premium_band,open,high,low,close,volume,open_interest,entry_price_next_open,prior_5m_return_pct,prior_10m_range_pct,prior_5m_volume_ratio,transition_compression_to_lift,transition_put_call_selloff_or_lift,transition_volume_participation,session_id,expiry_id,previous_return,previous_close,previous_volume_ratio,previous_open_interest,return_acceleration,volume_acceleration,oi_change_ratio,bar_acceptance,positive_return,positive_acceleration,volume_participating,positive_weight,weighted_strike_numerator,surface_count,breadth_positive,breadth_acceleration,breadth_volume,surface_median_return,surface_median_acceleration,surface_return_dispersion,breadth_delta,acceleration_breadth_delta,directional_mass_shift,compression_transition_breadth,put_call_transition_breadth,participation_transition_breadth,mirror_return,mirror_acceleration,mirror_volume_ratio,option_asymmetry,mechanism,premium_distance,score,forward_mfe_points,forward_mae_points,forward_close_change_points,forward_expansion_pct,label_horizon_minutes,is_expansion_event,move_cluster_id,gross_return_pct,net_return_pct,stress_return_pct,fold_id,partition
NSE_FO|43893|09-04-2025,2025-04-09,PE,23100.0,2025-04-03 06:29:00+00:00,2025-04-03,719,6,2,77.55,77.7,77.0,77.3,22950,2113500,77.25,0.3896103896103842,6.985769728331184,1.3304347826086957,False,False,False,2025-04-03,2025-04-09,-0.32133676092545027,77.55,0.9372197309417041,2113500.0,0.7109471505358345,0.39321505166699167,0.0,False,1.0,1.0,1.0,3.9121234237106592,90370.05108771623,5,1.0,1.0,0.2,1.1456628477904962,1.0808938367311671,0.46563725799921923,0.6,0.0,61.17668090609368,0.0,0.0,0.0,-0.9139348600867958,-0.0651284940390573,0.6545454545454545,1.30354524969718,quiet_contract_volume_ignition,22.75,4.363709833262038,1.1500000000000057,0.7000000000000028,-0.1599999999999966,1.4886731391585832,5,False,,-0.20711974110031922,-0.30711974110031925,-1.2071197411003192,fold_1,research_oof
NSE_FO|43899|09-04-2025,2025-04-09,PE,23250.0,2025-04-03 06:53:00+00:00,2025-04-03,743,6,3,135.0,136.5,134.75,136.19,36825,1389300,136.3,0.806809770540351,3.120640281959028,1.9918864097363083,False,False,True,2025-04-03,2025-04-09,-0.5535055350553542,134.75,1.2466367713004485,1389300.0,1.3603153055957051,0.7452496384358598,0.0,True,1.0,1.0,1.0,8.482765168101968,197224.29015837077,5,1.0,1.0,0.8,0.7336757153338258,0.7336757153338258,0.08071691963500777,0.8,0.39999998,-58.52109217232646,0.0,0.0,0.4,-1.2532789274264045,-1.5158226847192702,3.081081081081081,2.0600886979667554,quiet_contract_volume_ignition,36.30000000000001,7.3527827980060865,3.6999999999999886,0.6500000000000057,2.4499999999999886,2.7146001467351346,5,False,,1.7975055025678564,1.6975055025678563,0.7975055025678564,fold_1,research_oof
NSE_FO|43888|09-04-2025,2025-04-09,PE,23050.0,2025-04-04 06:57:00+00:00,2025-04-04,747,5,3,166.1,173.95,165.75,173.45,95775,1256325,173.55,0.34712178189180154,7.293168059959647,1.5139300533491404,False,False,True,2025-04-04,2025-04-09,-6.764374295377673,165.4,1.1807943094250148,1223325.0,7.111496077269474,0.3331357439241256,0.02697566059714303,True,1.0,1.0,1.0,3.9814061014701845,91771.41063888776,5,0.8,1.0,0.8,0.34712178189180154,5.9075664199116025,0.2526786772172152,0.8,1.0,,0.0,0.0,0.2,-1.620370370370372,-8.983790797923819,1.609442060085837,1.9674921522621736,quiet_contract_volume_ignition,73.55000000000001,11.667018514808374,10.599999999999994,0.6500000000000057,6.049999999999983,6.107749927974644,5,False,,3.4860270815326895,3.3860270815326894,2.4860270815326895,fold_1,research_oof
NSE_FO|48187|17-04-2025,2025-04-17,PE,22650.0,2025-04-11 06:32:00+00:00,2025-04-11,722,6,3,115.75,121.35,115.75,118.65,104925,984375,117.9,0.5508474576271238,6.86894226717236,2.89648033126294,False,False,True,2025-04-11,2025-04-17,-2.1132713440405793,115.8,0.7308488612836439,984375.0,2.664118801667703,2.1656314699792962,0.0,False,1.0,1.0,1.0,6.368353306951556,144243.20240245273,8,0.5,0.875,1.0,0.23116568137032667,1.9038045936573267,0.8488692559025626,0.5,0.5,,0.0,0.0,1.0,-0.7627458851866664,-1.2820534750668133,3.345029239766082,1.3135933428137903,quiet_contract_volume_ignition,17.900000000000006,7.160851111976767,4.799999999999997,1.7000000000000028,4.349999999999994,4.07124681933842,5,False,,3.68956743002544,3.58956743002544,2.68956743002544,fold_1,research_oof
NSE_FO|48197|17-04-2025,2025-04-17,PE,22750.0,2025-04-11 07:57:00+00:00,2025-04-11,807,6,3,161.1,163.25,160.65,162.15,157050,1836975,162.65,0.5955704448166843,7.462226333641686,2.129130655821047,False,False,True,2025-04-11,2025-04-17,0.03763171098845053,159.5,0.8174885612608033,1836975.0,0.5579387338282338,1.311642094560244,0.0,True,1.0,1.0,1.0,7.125598881724538,162107.37455923323,8,1.0,0.875,1.0,1.9217712958984001,0.924613456048673,5.419160976633052,0.0,-0.125,-45.47577826650377,0.0,0.375,1.0,-1.7304929093521437,-1.7304929093521437,1.8961625282167043,2.326063354168828,quiet_contract_volume_ignition,62.650000000000006,0.12121447176151962,19.75,2.25,9.299999999999983,12.142637565324316,5,False,,5.717798954810933,5.617798954810933,4.717798954810933,fold_1,research_oof
NSE_FO|52000|30-04-2025,2025-04-30,CE,24350.0,2025-04-24 07:01:00+00:00,2025-04-24,751,6,3,161.4,161.6,159.94,160.9,23925,750675,160.9,0.4996876951905094,4.387818520820386,2.3284671532846715,False,False,True,2025-04-24,2025-04-30,-0.9230769230769265,161.0,1.313868613138686,744825.0,1.4227646182674358,1.0145985401459854,0.007854193938173397,False,1.0,1.0,1.0,5.038211624100398,122680.45304684468,5,0.8,1.0,0.8,0.2897950734837451,0.882090756261833,0.21835464474644037,0.8,0.0,,0.0,0.0,0.8,-2.634619828980811,-3.474367904558151,1.6339869281045751,3.1343075241713203,quiet_contract_volume_ignition,60.900000000000006,8.198536371285885,0.03999999999999204,8.900000000000006,-7.960000000000008,0.0248601615910454,5,False,,-4.947172156619023,-5.047172156619022,-5.947172156619023,fold_1,research_oof
NSE_FO|51993|30-04-2025,2025-04-30,PE,24250.0,2025-04-24 07:31:00+00:00,2025-04-24,781,6,3,164.65,165.1,164.15,165.0,27975,759900,164.7,0.8249312557286892,1.4606060606060587,1.4949899799599198,False,False,False,2025-04-24,2025-04-30,0.5507955936352449,164.3,1.066132264529058,772575.0,0.2741356620934443,0.4288577154308617,-0.016406174157848754,False,1.0,1.0,1.0,8.446555500338121,204828.97088319945,8,0.875,0.75,0.5,0.827059326040136,0.18163111090411244,1.0407830950254278,0.0,0.0,-950.1971162232185,0.125,0.0,0.25,-1.06888361045131,-0.2400889147373575,1.9705159705159705,1.8938148661799992,quiet_contract_volume_ignition,64.69999999999999,-8.202197789208002,0.30000000000001137,1.799999999999983,-1.299999999999983,0.18214936247723826,5,False,,-0.7893139040679922,-0.8893139040679922,-1.7893139040679922,fold_1,research_oof
NSE_FO|51988|30-04-2025,2025-04-30,CE,24200.0,2025-04-29 07:00:00+00:00,2025-04-29,750,1,3,140.69,147.0,140.15,145.94,163425,3873750,146.1,0.6135815236125275,7.194737563382211,1.757258064516129,False,False,True,2025-04-29,2025-04-30,-3.1947784266575074,140.9,1.0419354838709678,3854550.0,3.808359950270035,0.7153225806451613,0.004981126201502121,False,1.0,1.0,1.0,7.365503519513426,178245.1851722249,5,0.6,1.0,1.0,0.13550135501356753,4.889683120391741,0.6378392425514904,0.6,0.39999998,,0.0,0.0,0.4,-2.003034901365719,-8.285438073064421,1.3070066568881868,2.6166164249782464,quiet_contract_volume_ignition,46.099999999999994,7.561220557345579,2.3400000000000034,4.699999999999989,1.1500000000000057,1.6016427104722817,5,False,,0.7871321013004831,0.6871321013004831,-0.21286789869951694,fold_1,research_oof
NSE_FO|51990|30-04-2025,2025-04-30,CE,24250.0,2025-04-30 09:00:00+00:00,2025-04-30,870,0,3,100.5,101.8,100.3,100.45,180675,2998125,100.3,0.09965122072745913,5.0273768043802995,1.6875656742556917,False,False,True,2025-04-30,2025-04-30,-0.496277915632759,100.25,0.5401050788091069,2998125.0,0.5959291363602182,1.1474605954465849,0.0,True,1.0,1.0,1.0,1.206224280113259,29250.938792746532,5,0.4,0.4,0.8,-0.4859086491739606,0.0,4.885504728470945,0.2,-0.6,15.65908067971759,0.0,0.0,0.8,-25.00000000000001,-21.66666666666668,6.107553080403759,25.09965122072747,quiet_contract_volume_ignition,0.29999999999999716,8.372229126677084,0.04999999999999716,12.349999999999994,-7.450000000000003,0.049850448654035054,5,False,,-7.427716849451649,-7.527716849451648,-8.427716849451649,fold_1,research_oof
NSE_FO|38600|08-05-2025,2025-05-08,CE,24250.0,2025-05-06 07:15:00+00:00,2025-05-06,765,2,3,174.8,177.0,174.8,176.4,37125,937950,176.4,0.11350737797957144,4.166666666666679,1.683673469387755,False,False,True,2025-05-06,2025-05-08,-1.1331444759206777,174.5,0.8571428571428571,939675.0,1.2466518539002491,0.826530612244898,-0.0018357410806927926,True,1.0,1.0,1.0,1.194332895774055,28962.572722520836,6,0.33333334,0.8333333,0.16666667,-0.29706646862235897,1.1212705871577966,1.0392242963534066,0.33333334,0.8333333,,0.0,0.0,0.16666666666666666,-8.550724637681162,-3.3333333333333437,1.9632911392405064,8.664232015660733,quiet_contract_volume_ignition,76.4,5.748802201260457,0.25,5.450000000000017,-5.450000000000017,0.1417233560090703,5,False,,-3.089569160997742,-3.189569160997742,-4.089569160997742,fold_1,research_oof
NSE_FO|38600|08-05-2025,2025-05-08,CE,24250.0,2025-05-06 07:35:00+00:00,2025-05-06,785,2,3,164.2,167.0,163.5,167.0,36375,959475,166.95,0.14992503748125774,6.107784431137718,1.549520766773163,False,False,True,2025-05-06,2025-05-08,-1.8540669856459302,164.1,0.35782747603833864,959475.0,2.003992023127188,1.1916932907348243,0.0,False,1.0,1.0,1.0,1.5744624431041576,38180.71424527582,6,0.33333334,0.8333333,0.8333333,0.0,2.173095654278956,0.33386164947008246,0.33333334,0.0,,0.0,0.0,0.5,-3.9110861001688257,-3.9110861001688257,1.4959893048128343,4.061011137650084,quiet_contract_volume_ignition,66.94999999999999,4.88338410035826,5.050000000000011,3.5999999999999943,-3.5999999999999943,3.024857741838881,5,False,,-2.1563342318059266,-2.2563342318059267,-3.1563342318059266,fold_1,research_oof
