expired_instrument_key,expiry,option_type,strike,timestamp,session,minute_of_day,days_to_expiry,premium_band,open,high,low,close,volume,open_interest,entry_price_next_open,prior_5m_return_pct,prior_10m_range_pct,prior_5m_volume_ratio,transition_compression_to_lift,transition_put_call_selloff_or_lift,transition_volume_participation,session_id,expiry_id,previous_return,previous_close,previous_volume_ratio,previous_open_interest,return_acceleration,volume_acceleration,oi_change_ratio,bar_acceptance,positive_return,positive_acceleration,volume_participating,positive_weight,weighted_strike_numerator,surface_count,breadth_positive,breadth_acceleration,breadth_volume,surface_median_return,surface_median_acceleration,surface_return_dispersion,breadth_delta,acceleration_breadth_delta,directional_mass_shift,compression_transition_breadth,put_call_transition_breadth,participation_transition_breadth,mirror_return,mirror_acceleration,mirror_volume_ratio,option_asymmetry,mechanism,premium_distance,extremity_score,forward_mfe_points,forward_mae_points,forward_close_change_points,forward_expansion_pct,label_horizon_minutes,is_expansion_event,move_cluster_id,gross_return_pct,net_return_pct,stress_return_pct,fold_id,partition,ledger_role,previous_timestamp
NSE_FO|54714|03-04-2025,2025-04-03,CE,23550.0,2025-03-28 08:18:00+00:00,2025-03-28,828,6,2,105.5,105.5,93.8,93.85,783375,3670200,93.3,-14.836660617059893,28.609483217900916,3.3835438937479756,False,False,True,2025-03-28,2025-04-03,-0.18832391713747842,106.0,0.7373303556090018,3692325.0,-14.648336699922414,2.6462135381389738,-0.005992159411752757,False,0.0,0.0,1.0,0.0,0.0,5,0.0,0.0,1.0,-14.885844748858446,-14.648336699922414,0.7382569020885136,-0.4,-1.0,,0.0,0.0,1.0,15.496976696786469,15.69222563918804,4.326051269099634,-30.33363731384636,late_day_ce_inventory_rebound_v3,56.7,63.202178524576645,4.1000000000000085,2.0,1.6500000000000057,4.394426580921767,5,False,,1.7684887459807137,1.6684887459807136,0.7684887459807137,fold_1,research_oof,research_oof_primary,
NSE_FO|51994|30-04-2025,2025-04-30,CE,24300.0,2025-04-30 07:30:00+00:00,2025-04-30,780,0,1,51.5,53.3,47.05,47.05,2780700,11745825,46.9,-19.641332194705384,29.330499468650384,3.3243073612480947,False,False,True,2025-04-30,2025-04-30,-11.158798283261806,51.75,1.9206311259861344,11745825.0,-8.482533911443578,1.4036762352619603,0.0,False,0.0,0.0,1.0,0.0,0.0,5,0.0,0.0,1.0,-19.641332194705384,-7.346967362375686,10.49861050965565,0.0,0.0,,0.0,0.0,1.0,44.53125,23.319128787878785,3.368995286266617,-64.17258219470538,late_day_ce_inventory_rebound_v3,103.1,95.62075566210244,3.75,0.14999999999999858,0.30000000000000426,7.995735607675907,5,False,,0.6396588486140816,0.5396588486140816,-0.3603411513859184,fold_1,research_oof,research_oof_primary,
NSE_FO|38604|08-05-2025,2025-05-08,CE,24350.0,2025-05-08 07:53:00+00:00,2025-05-08,803,0,1,40.5,41.2,30.95,31.35,7183500,11881800,30.95,-23.536585365853657,49.2822966507177,5.052220698385906,False,False,True,2025-05-08,2025-05-08,3.544303797468351,40.9,0.944209118269981,11881800.0,-27.08088916332201,4.1080115801159245,0.0,False,0.0,0.0,1.0,0.0,0.0,5,0.0,0.0,1.0,-9.427121102248003,-14.710743801652892,6.883638855010997,-1.0,-1.0,,0.0,0.0,1.0,90.47619047619048,89.03734155532717,4.35529140521996,-114.01277584204414,late_day_ce_inventory_rebound_v3,119.05,169.6824710696057,4.84,6.099999999999998,2.900000000000002,15.638126009693053,5,False,,9.369951534733447,9.269951534733448,8.369951534733447,fold_1,research_oof,research_oof_primary,
NSE_FO|49245|22-05-2025,2025-05-22,CE,25000.0,2025-05-20 07:42:00+00:00,2025-05-20,792,2,2,64.7,64.84,59.2,60.35,1509900,18690000,60.35,-14.457831325301196,19.05550952775476,2.9851720047449586,False,False,True,2025-05-20,2025-05-22,-5.595930232558133,64.95,0.6659252669039146,18690000.0,-8.861901092743064,2.319246737841044,0.0,False,0.0,0.0,1.0,0.0,0.0,7,0.0,0.0,0.71428573,-14.390490642387455,-8.443094089126514,5.463764581257205,0.0,0.0,,0.0,0.0,0.7142857142857143,8.425531914893615,6.140055081317875,1.1099123398516522,-22.88336324019481,late_day_ce_inventory_rebound_v3,89.65,49.18826766298403,2.3500000000000014,2.25,-0.7000000000000028,3.893951946975976,5,False,,-1.1599005799502948,-1.259900579950295,-2.159900579950295,fold_1,research_oof,research_oof_primary,
NSE_FO|49245|22-05-2025,2025-05-22,CE,25000.0,2025-05-21 09:12:00+00:00,2025-05-21,882,1,1,51.6,51.6,42.9,46.35,2486625,14640225,46.2,-18.46965699208444,34.62783171521037,2.8476337713647686,False,False,True,2025-05-21,2025-05-22,-11.538461538461542,50.6,1.187494631967706,14640225.0,-6.931195453622896,1.6601391393970626,0.0,False,0.0,0.0,1.0,0.0,0.0,7,0.0,0.0,0.71428573,-17.530163236337827,-6.931195453622896,8.64593593384865,0.0,0.0,,0.0,0.0,0.7142857142857143,8.042242079610084,4.671909082637326,3.158920539730135,-26.511899071694522,late_day_ce_inventory_rebound_v3,103.8,54.76038528876663,5.5,2.6500000000000057,4.049999999999997,11.904761904761903,5,False,,8.766233766233759,8.66623376623376,7.766233766233759,fold_1,research_oof,research_oof_primary,
NSE_FO|40487|05-06-2025,2025-06-05,CE,24900.0,2025-06-02 09:02:00+00:00,2025-06-02,872,3,3,132.8,133.5,121.7,125.9,507150,4914000,126.5,-12.992398064961975,21.088165210484508,3.848605577689243,False,False,True,2025-06-02,2025-06-05,-5.3475935828877,132.75,3.0710417330359987,4914000.0,-7.644804482074275,0.7775638446532445,0.0,False,0.0,0.0,1.0,0.0,0.0,7,0.0,0.0,0.71428573,-11.686460807600952,-6.947818892603397,5.894806400008974,0.0,0.0,,0.0,0.0,0.7142857142857143,7.800511508951402,3.7726015818978054,6.256728778467909,-20.792909573913377,late_day_ce_inventory_rebound_v3,23.5,45.27871769863887,1.3499999999999943,7.5,-1.2999999999999972,1.0671936758893237,5,False,,-1.027667984189721,-1.127667984189721,-2.027667984189721,fold_2,research_oof,research_oof_primary,
NSE_FO|40475|05-06-2025,2025-06-05,CE,24700.0,2025-06-05 08:00:00+00:00,2025-06-05,810,0,2,77.25,77.45,57.1,64.0,5162700,8642250,63.95,-19.698870765370135,64.6875,5.119631103343126,False,False,True,2025-06-05,2025-06-05,-3.4825870646766344,77.6,1.2000604298070023,7621050.0,-16.216283700693502,3.919570673536124,0.1339972838388411,False,0.0,0.0,1.0,0.0,0.0,7,0.14285715,0.0,0.71428573,-1.6650342801175277,-13.628922798502863,8.157593508286721,-0.28571427,-0.14285715,34.5323823079234,0.0,0.0,0.7142857142857143,101.25786163522012,74.46658437665315,6.305227258634588,-120.95673240059025,late_day_ce_inventory_rebound_v3,86.05,162.6821656161555,0.45000000000000284,19.900000000000006,-15.850000000000001,0.703674745895235,5,False,,-24.784988272087567,-24.88498827208757,-25.784988272087567,fold_2,research_oof,research_oof_primary,
NSE_FO|44858|12-06-2025,2025-06-12,CE,24850.0,2025-06-12 07:57:00+00:00,2025-06-12,807,0,3,159.5,159.6,124.0,131.75,390750,591225,130.8,-26.88679245283019,50.664136622390885,12.992518703241895,False,False,True,2025-06-12,2025-06-12,-12.510288065843621,159.45,3.5505050505050506,591225.0,-14.376504386986568,9.442013652736845,0.0,False,0.0,0.0,1.0,0.0,0.0,7,0.0,0.0,0.71428573,-15.370455591348353,-7.898494390984611,10.399565395685771,0.0,0.0,,0.0,0.0,0.7142857142857143,106.06060606060606,58.51962245404868,7.140507751067176,-132.94739851343624,late_day_ce_inventory_rebound_v3,19.19999999999999,187.20321405649491,1.6999999999999886,23.000000000000014,-11.800000000000011,1.2996941896024377,5,False,,-9.021406727828754,-9.121406727828754,-10.021406727828754,fold_2,research_oof,research_oof_primary,
NSE_FO|56888|03-07-2025,2025-07-03,CE,25550.0,2025-06-30 07:45:00+00:00,2025-06-30,795,3,3,116.5,118.0,109.05,110.25,1098600,5859900,110.15,-9.926470588235304,14.331065759637184,2.949657672170761,False,False,True,2025-06-30,2025-07-03,-1.8510727808161431,116.65,0.7505034232782923,5859900.0,-8.075397807419161,2.1991542488924685,0.0,False,0.0,0.0,1.0,0.0,0.0,6,0.0,0.0,0.8333333,-10.182599893209943,-8.278854235761436,4.174610354841858,0.0,0.0,,0.0,0.0,0.8333333333333334,15.279241306638557,12.358798204926558,3.143157157857893,-25.20571189487386,late_day_ce_inventory_rebound_v3,39.849999999999994,46.157237962699085,6.299999999999997,1.5,3.8499999999999943,5.719473445301858,5,False,,3.49523377212891,3.39523377212891,2.49523377212891,fold_2,research_oof,research_oof_primary,
NSE_FO|40051|10-07-2025,2025-07-10,CE,25550.0,2025-07-07 09:01:00+00:00,2025-07-07,871,3,2,77.75,77.95,67.75,69.25,928800,4435200,69.4,-13.545568039950052,22.52707581227436,6.548915917503966,False,False,True,2025-07-07,2025-07-10,-3.900928792569669,77.6,1.3483818330160457,4454775.0,-9.644639247380383,5.20053408448792,-0.004394161321278852,False,0.0,0.0,1.0,0.0,0.0,6,0.0,0.0,0.8333333,-10.887256939633279,-7.6691242671599,4.904531755344966,0.0,0.0,,0.0,0.0,0.8333333333333334,9.656925031766184,7.105904623602921,6.493688639551192,-23.202493071716233,late_day_ce_inventory_rebound_v3,80.6,52.94161627655064,4.3999999999999915,0.0,3.3999999999999915,6.340057636887596,5,False,,4.899135446685866,4.799135446685867,3.8991354466858663,fold_2,research_oof,research_oof_primary,
