ledger_role,fold_id,session_id,timestamp,expired_instrument_key,_merge
holdout_primary,holdout,2026-03-12,2026-03-12 07:35:00+00:00,NSE_FO|57801|17-03-2026,both
holdout_primary,holdout,2026-03-20,2026-03-20 09:20:00+00:00,NSE_FO|62600|24-03-2026,both
holdout_primary,holdout,2026-04-07,2026-04-07 08:27:00+00:00,NSE_FO|40761|07-04-2026,both
holdout_primary,holdout,2026-05-04,2026-05-04 07:53:00+00:00,NSE_FO|74155|05-05-2026,both
holdout_primary,holdout,2026-05-11,2026-05-11 09:17:00+00:00,NSE_FO|41756|12-05-2026,both
holdout_primary,holdout,2026-06-04,2026-06-04 07:44:00+00:00,NSE_FO|42297|09-06-2026,both
holdout_primary,holdout,2026-06-22,2026-06-22 08:10:00+00:00,NSE_FO|56380|23-06-2026,both
holdout_primary,holdout,2026-06-30,2026-06-30 07:50:00+00:00,NSE_FO|79713|30-06-2026,both
holdout_primary,holdout,2026-07-08,2026-07-08 08:16:00+00:00,NSE_FO|51387|14-07-2026,both
holdout_primary,holdout,2026-07-09,2026-07-09 09:10:00+00:00,NSE_FO|51385|14-07-2026,both
holdout_primary,holdout,2026-07-10,2026-07-10 09:01:00+00:00,NSE_FO|51387|14-07-2026,both
holdout_primary,holdout,2026-07-21,2026-07-21 07:30:00+00:00,NSE_FO|57344|21-07-2026,both
research_oof_primary,fold_1,2025-03-28,2025-03-28 08:18:00+00:00,NSE_FO|54714|03-04-2025,both
research_oof_primary,fold_1,2025-04-30,2025-04-30 07:30:00+00:00,NSE_FO|51994|30-04-2025,both
research_oof_primary,fold_1,2025-05-08,2025-05-08 07:53:00+00:00,NSE_FO|38604|08-05-2025,both
research_oof_primary,fold_1,2025-05-20,2025-05-20 07:42:00+00:00,NSE_FO|49245|22-05-2025,both
research_oof_primary,fold_1,2025-05-21,2025-05-21 09:12:00+00:00,NSE_FO|49245|22-05-2025,both
research_oof_primary,fold_2,2025-06-02,2025-06-02 09:02:00+00:00,NSE_FO|40487|05-06-2025,both
research_oof_primary,fold_2,2025-06-05,2025-06-05 08:00:00+00:00,NSE_FO|40475|05-06-2025,both
research_oof_primary,fold_2,2025-06-12,2025-06-12 07:57:00+00:00,NSE_FO|44858|12-06-2025,both
research_oof_primary,fold_2,2025-06-30,2025-06-30 07:45:00+00:00,NSE_FO|56888|03-07-2025,both
research_oof_primary,fold_2,2025-07-07,2025-07-07 09:01:00+00:00,NSE_FO|40051|10-07-2025,both
research_oof_primary,fold_2,2025-07-09,2025-07-09 07:34:00+00:00,NSE_FO|40047|10-07-2025,both
research_oof_primary,fold_2,2025-07-10,2025-07-10 07:36:00+00:00,NSE_FO|40040|10-07-2025,both
research_oof_primary,fold_2,2025-07-11,2025-07-11 07:39:00+00:00,NSE_FO|47293|17-07-2025,both
research_oof_primary,fold_2,2025-07-14,2025-07-14 07:37:00+00:00,NSE_FO|47282|17-07-2025,both
research_oof_primary,fold_2,2025-07-15,2025-07-15 08:37:00+00:00,NSE_FO|47282|17-07-2025,both
research_oof_primary,fold_2,2025-07-17,2025-07-17 07:35:00+00:00,NSE_FO|47282|17-07-2025,both
research_oof_primary,fold_2,2025-07-21,2025-07-21 09:05:00+00:00,NSE_FO|49492|24-07-2025,both
research_oof_primary,fold_2,2025-07-22,2025-07-22 07:35:00+00:00,NSE_FO|49519|24-07-2025,both
research_oof_primary,fold_2,2025-07-23,2025-07-23 07:52:00+00:00,NSE_FO|49519|24-07-2025,both
research_oof_primary,fold_2,2025-07-24,2025-07-24 09:18:00+00:00,NSE_FO|49487|24-07-2025,both
research_oof_primary,fold_3,2025-07-29,2025-07-29 09:06:00+00:00,NSE_FO|55795|31-07-2025,both
research_oof_primary,fold_3,2025-07-30,2025-07-30 07:42:00+00:00,NSE_FO|55797|31-07-2025,both
research_oof_primary,fold_3,2025-08-06,2025-08-06 08:12:00+00:00,NSE_FO|39854|07-08-2025,both
research_oof_primary,fold_3,2025-08-14,2025-08-14 07:59:00+00:00,NSE_FO|44492|14-08-2025,both
research_oof_primary,fold_3,2025-08-18,2025-08-18 08:30:00+00:00,NSE_FO|47248|21-08-2025,both
research_oof_primary,fold_3,2025-08-19,2025-08-19 08:22:00+00:00,NSE_FO|47248|21-08-2025,both
research_oof_primary,fold_3,2025-08-21,2025-08-21 08:11:00+00:00,NSE_FO|47248|21-08-2025,both
research_oof_primary,fold_3,2025-08-29,2025-08-29 08:27:00+00:00,NSE_FO|48935|02-09-2025,both
research_oof_primary,fold_3,2025-09-02,2025-09-02 07:41:00+00:00,NSE_FO|48939|02-09-2025,both
