partition,mechanism,session_id,timestamp,expired_instrument_key,expiry_id,option_type,strike,entry_price_next_open,gross_return_pct,net_return_pct,stress_return_pct,forward_mfe_points,forward_mae_points,forward_expansion_pct,label_horizon_minutes,is_expansion_event,move_cluster_id,prior_5m_return_pct,previous_return,return_acceleration,breadth_positive,breadth_delta,breadth_acceleration,breadth_volume,option_asymmetry,directional_mass_shift,prior_5m_volume_ratio,days_to_expiry,minute_of_day
development,compression_breadth_release,2024-09-27,2024-09-27 04:36:00+00:00,NSE_FO|58565|03-10-2024,2024-10-03,PE,26150.0,90.85,-1.1007154650522841,-1.2007154650522842,-2.100715465052284,1.8500000000000085,4.049999999999997,2.036323610346735,5,False,,2.8380634390651194,1.3057671381936808,1.5322963008714385,0.625,0.0,0.625,0.625,5.1434731628724695,-13.60683154428989,1.3256363159275781,6,606
development,compression_breadth_release,2024-09-30,2024-09-30 05:00:00+00:00,NSE_FO|58571|03-10-2024,2024-10-03,PE,26300.0,310.3,3.1904608443441758,3.0904608443441757,2.1904608443441758,31.649999999999977,2.1999999999999886,10.199806638736698,5,True,NSE_FO|58571|03-10-2024:8913,-1.08322744599747,-3.237639553429017,2.154412107431547,0.125,0.0,0.75,0.75,-0.1871700983272162,-99.99999999999636,1.4433713784021072,3,630
development,compression_breadth_release,2024-10-01,2024-10-01 04:18:00+00:00,NSE_FO|58573|03-10-2024,2024-10-03,PE,26350.0,481.0,0.1663201663201687,0.06632016632016868,-0.8336798336798313,12.0,3.5500000000000114,2.494802494802495,5,False,,1.723590990800461,-0.053016647227233094,1.776607638027694,0.625,0.625,0.625,0.5,6.135355696682809,,1.3333333333333333,2,588
development,compression_breadth_release,2024-10-04,2024-10-04 04:56:00+00:00,NSE_FO|48530|10-10-2024,2024-10-10,CE,25150.0,251.2,-2.5676751592356646,-2.6676751592356647,-3.5676751592356646,2.6500000000000057,12.25,1.0549363057324865,5,False,,2.393023727438637,-0.8100445524503841,3.203068279889021,0.8333333,0.8333333,0.8333333,0.8333333,6.916833251248167,,1.7490441432047272,6,626
development,compression_breadth_release,2024-10-07,2024-10-07 07:11:00+00:00,NSE_FO|48536|10-10-2024,2024-10-10,PE,25200.0,344.65,7.863049470477303,7.763049470477303,6.863049470477303,33.75,2.75,9.79254315972726,5,True,NSE_FO|48536|10-10-2024:4649,3.125000000000022,-2.878129216009595,6.003129216009617,0.71428573,0.71428573,0.71428573,0.85714287,6.794724770642224,,0.8723404255319149,3,761
development,compression_breadth_release,2024-10-08,2024-10-08 04:46:00+00:00,NSE_FO|48538|10-10-2024,2024-10-10,PE,25250.0,453.65,-9.25823873029869,-9.35823873029869,-10.25823873029869,3.8000000000000114,42.0,0.8376501708365505,5,False,,0.8370965965414756,-1.358547983914793,2.1956445804562685,0.375,0.0,0.125,0.5,-1.3745937668076635,-238.95948173362922,3.0303030303030303,2,616
development,compression_breadth_release,2024-10-09,2024-10-09 04:07:00+00:00,NSE_FO|48536|10-10-2024,2024-10-10,PE,25200.0,239.05,-3.241999581677473,-3.3419995816774732,-4.241999581677473,14.899999999999977,11.25,6.2330056473541,5,False,,2.8425965210012727,-1.5012510425354564,4.343847563536729,0.75,0.625,0.75,0.75,-0.32313904696892326,-1270.2653405266065,1.38493353028065,1,577
development,compression_breadth_release,2024-10-10,2024-10-10 04:18:00+00:00,NSE_FO|48538|10-10-2024,2024-10-10,PE,25250.0,259.45,5.434573135478907,5.334573135478907,4.434573135478907,16.55000000000001,1.0600000000000023,6.378878396608215,5,False,,3.805113750754985,1.6011069381300702,2.2040068126249146,0.75,0.0,0.75,0.5,7.305113750754977,-357.7817600442322,0.5189873417721519,0,588
development,compression_breadth_release,2024-10-11,2024-10-11 04:10:00+00:00,NSE_FO|48321|17-10-2024,2024-10-17,PE,25100.0,213.2,-13.227016885553466,-13.327016885553466,-14.227016885553466,6.550000000000011,28.75,3.0722326454033824,5,False,,1.6790597265531337,-0.09606147934677622,1.77512120589991,1.0,0.625,0.75,0.75,7.59256369830954,-351.0715702390189,1.0093640265314086,6,580
development,compression_breadth_release,2024-10-14,2024-10-14 05:12:00+00:00,NSE_FO|48276|17-10-2024,2024-10-17,CE,25000.0,192.65,1.5831819361536377,1.4831819361536376,0.5831819361536377,6.349999999999994,15.099999999999994,3.296132883467425,5,False,,6.949058693244736,1.0663822980538473,5.882676395190889,1.0,0.0,1.0,0.6,14.30199986971532,-6.58475262747379,1.3067984506477894,3,642
