replicate,seed,completed_trades,expectancy,profit_factor,compounded_return,max_drawdown,duplicate_entries,overlap_count
0,20260721,127,0.0013899964293014881,1.1489417076016075,0.13794082629748172,-0.1985408685413782,False,0
1,20260722,127,0.0016800840013056816,1.1818624496289902,0.17664021249000172,-0.177655602900321,False,0
2,20260723,127,0.0010629283331346586,1.0927306077175485,0.0631565927746991,-0.2763164121603662,False,0
3,20260724,127,0.0019373574023055016,1.2046803226901854,0.21657717718847835,-0.1832002828842998,False,0
4,20260725,127,0.0016763863027076235,1.1820455867432063,0.18057054000242356,-0.22138703060191245,False,0
5,20260726,127,0.0026781442805286957,1.313966241825389,0.3515462710464585,-0.19681982998578829,False,0
6,20260727,127,0.0014516667351476254,1.1315431562298448,0.12727361183012098,-0.21786534229857346,False,0
7,20260728,127,-0.0006874011725358767,0.9360743768687871,-0.13152475851910694,-0.36645118738439353,False,0
8,20260729,127,0.0028200410849885875,1.3057007993506293,0.360980836410163,-0.31206454992663935,False,0
9,20260730,127,0.0009614899885979894,1.1031886097269576,0.07722324232756606,-0.20060909799764837,False,0
10,20260731,127,0.0035086770813454234,1.3484432875624979,0.46878091302872527,-0.15332576647690277,False,0
11,20260732,127,0.002584516020022803,1.2925999475442749,0.32282382289959743,-0.19287842326189886,False,0
12,20260733,127,0.0003459437014809353,1.0313419167472286,-0.012801296905416981,-0.27143457467290166,False,0
13,20260734,127,0.0033231077178189493,1.3156047305928573,0.3473751912792944,-0.3703294064407968,False,0
14,20260735,127,0.0033439951923474177,1.3735565765174638,0.4383692905388401,-0.3139485984027963,False,0
15,20260736,127,-0.0015918147134472652,0.8684362931158234,-0.24972784192012165,-0.41602362276808913,False,0
16,20260737,127,0.005152763108659499,1.6441837787638964,0.8200183403393932,-0.17874581418170177,False,0
17,20260738,127,0.0016224591248151128,1.1535858071794332,0.12234802049034776,-0.31880667593407386,False,0
18,20260739,127,0.004190379136420029,1.5378321545394305,0.6252366578215085,-0.15529965672210477,False,0
19,20260740,127,0.0032457534970063776,1.3676293843454574,0.4321206196637528,-0.17120736681696258,False,0
20,20260741,127,0.0010104197366296215,1.097607624086219,0.060004552008310785,-0.29443094282216764,False,0
21,20260742,127,0.006746189258144775,1.9636958065130865,1.2480173266326,-0.13313872161219553,False,0
22,20260743,127,0.003963505837286116,1.5153927285391207,0.5830553576882114,-0.17537959498009315,False,0
23,20260744,127,0.006779959030061815,1.971098423881749,1.2434397592620239,-0.14454522214410315,False,0
24,20260745,127,0.0016032846423394325,1.1556890748917752,0.15411779195397224,-0.25768209048371304,False,0
25,20260746,127,0.0015427725488872705,1.1611985874488207,0.15501215410232172,-0.21244401337441365,False,0
26,20260747,127,0.00197428278537553,1.2312799689327925,0.23301432136225175,-0.22068628719876227,False,0
27,20260748,127,0.0025796134076786444,1.303056918018146,0.32511189497129656,-0.1744749698106398,False,0
28,20260749,127,0.000981254626471127,1.0920407130369054,0.04232523283317091,-0.32648360962779177,False,0
29,20260750,127,0.0007293464712017915,1.0695221383835207,0.028283040208719967,-0.28681017929456487,False,0
30,20260751,127,-0.000999266843637312,0.9111781797829814,-0.16640250787718536,-0.38473287590216154,False,0
31,20260752,127,0.003115277629137088,1.3261944255717377,0.3977996767766865,-0.19680770502851663,False,0
32,20260753,127,0.00015182664211434212,1.0145388240095983,-0.03622641036519281,-0.29527080722779897,False,0
33,20260754,127,0.0033703667773106703,1.3789925670622052,0.4598014442667522,-0.16368963153589144,False,0
34,20260755,127,-0.00038652470766745547,0.967186646151577,-0.13215694834082892,-0.3791362117851502,False,0
35,20260756,127,0.00214209296525571,1.2063278034444869,0.20850585139024536,-0.27352185721241595,False,0
36,20260757,127,5.5431649816041286e-05,1.0045162784460933,-0.09446154454837008,-0.3409942533567112,False,0
37,20260758,127,0.002585515133957322,1.245621073711592,0.2750257151054434,-0.32893487150436374,False,0
38,20260759,127,0.0021756704995767513,1.2549092308275516,0.26319819927568067,-0.14452805004654823,False,0
39,20260760,127,0.00535065563256258,1.6517538507211913,0.8666853247434592,-0.12164834776451561,False,0
40,20260761,127,-4.6749264388107635e-05,0.9954936517397543,-0.0571404600868346,-0.38115172497191396,False,0
41,20260762,127,0.004126280257881141,1.482028113012723,0.6008856351854712,-0.158196746487557,False,0
42,20260763,127,0.0016271030498466105,1.138228460839436,0.14725986794671964,-0.29928421979103614,False,0
43,20260764,127,0.0005710333204926615,1.0566592349843436,0.020328811314439754,-0.24054614149672526,False,0
44,20260765,127,0.002214430694860359,1.2181570254748204,0.24655501044570216,-0.25831400334245913,False,0
45,20260766,127,0.005643623627343249,1.7094181667414967,0.9552990361472717,-0.10355161290428783,False,0
