strategy,exit_type,STOP_LOSS,TARGET,TIME_STOP,VWAP_FAIL
TrendContinuation_EMA_PULLBACK,ATR_Trail,4,0,0,0
TrendContinuation_EMA_PULLBACK,Fixed_1.5R,2,2,0,0
TrendContinuation_EMA_PULLBACK,Fixed_1R,2,2,0,0
TrendContinuation_EMA_PULLBACK,Fixed_2R,2,2,0,0
TrendContinuation_EMA_PULLBACK,Partial_1R,3,1,0,0
TrendContinuation_EMA_PULLBACK,Time_30,3,0,1,0
TrendContinuation_EMA_PULLBACK,Time_45,3,0,1,0
TrendContinuation_EMA_PULLBACK,VWAP_Failure,2,0,0,2
TrendContinuation_OPENING_DRIVE,ATR_Trail,31,0,0,0
TrendContinuation_OPENING_DRIVE,Fixed_1.5R,13,18,0,0
TrendContinuation_OPENING_DRIVE,Fixed_1R,12,19,0,0
TrendContinuation_OPENING_DRIVE,Fixed_2R,22,9,0,0
TrendContinuation_OPENING_DRIVE,Partial_1R,31,0,0,0
TrendContinuation_OPENING_DRIVE,Time_30,27,0,4,0
TrendContinuation_OPENING_DRIVE,Time_45,27,0,4,0
TrendContinuation_OPENING_DRIVE,VWAP_Failure,31,0,0,0
